Plate,Carbon_Source,Compound,Family_compounds,Cnumber,CAS_Number
PM01,A01,Negative Control,negative control,C00259,CAS Negative Control
PM01,A02,L-Arabinose,carbohydrate,C00140,CAS 87-72-9
PM01,A03,N-Acetyl-D-Glucosamine,carbohydrate,C00818,CAS 7512-17-6
PM01,A04,D-Saccharic acid,carboxylic acid,C00042,CAS 576-42-1
PM01,A05,Succinic acid,carboxylic acid,C00124,CAS 6106-21-4
PM01,A06,D-Galactose,carbohydrate,C00049,CAS 59-23-4
PM01,A07,L-Aspartic acid,amino acid,C00148,CAS 3792-50-5
PM01,A08,L-Proline,amino acid,C00133,CAS 147-85-3
PM01,A09,D-Alanine,amino acid,C01083,CAS 338-69-2
PM01,A10,D-Trehalose,carbohydrate,C00159,CAS 6138-23-4
PM01,A11,D-Mannose,carbohydrate,C01697,CAS 3458-28-4
PM01,A12,Dulcitol,carbohydrate,C00740,CAS 608-66-2
PM01,B01,D-Serine,amino acid,C00794,CAS 312-84-5
PM01,B02,D-Sorbitol,carbohydrate,C00116,CAS 50-70-4
PM01,B03,Glycerol,carbohydrate,C01019,CAS 56-81-5
PM01,B04,L-Fucose,carbohydrate,C00191,CAS 2438-80-4
PM01,B05,D-Glucuronic acid,carboxylic acid,C00257,CAS 14984-34-0
PM01,B06,D-Gluconic acid,carboxylic acid,C00093,CAS 527-07-1
PM01,B07,DL-a-Glycerol Phosphate,carbohydrate,C00181,CAS 3325-00-6
PM01,B08,D-Xylose,carbohydrate,C00186,CAS 58-86-6
PM01,B09,L-Lactic acid,carboxylic acid,C00058,CAS 50-21-5
PM01,B10,Formic acid,carboxylic acid,C00392,CAS 141-53-7
PM01,B11,D-Mannitol,carbohydrate,C00025,CAS 69-65-8
PM01,B12,L-Glutamic acid,amino acid,C00092,CAS 142-47-2
PM01,C01,D-Glucose-6-Phosphate,carbohydrate,C03383,CAS 3671-99-6
PM01,C02,D-Galactonic acid-g-Lactone,carboxylic acid,D04843,CAS 2782-07-2
PM01,C03,DL-Malic acid,carboxylic acid,C00121,CAS 6915-15-7
PM01,C04,D-Ribose,carbohydrate,C11624,CAS 50-69-1
PM01,C05,Tween 20,fatty acid,C00507,CAS 9005-64-5
PM01,C06,L-Rhamnose,carbohydrate,C00095,CAS 3615-41-6
PM01,C07,D-Fructose,carbohydrate,C00033,CAS 57-48-7
PM01,C08,Acetic acid,carboxylic acid,C00031,CAS 127-09-3
PM01,C09,a-D-Glucose,carbohydrate,C00208,CAS 50-99-7
PM01,C10,Maltose,carbohydrate,C05402,CAS 6363-53-7
PM01,C11,D-Melibiose,carbohydrate,C00214,CAS 585-99-9
PM01,C12,Thymidine,carbohydrate,C00152,CAS 50-89-5
PM01,D01,L-Asparagine,amino acid,C00402,CAS 70-47-3
PM01,D02,D-Aspartic acid,amino acid,C03752,CAS 1783-96-6
PM01,D03,D-Glucosaminic acid,carboxylic acid,C00583,CAS 3646-68-2
PM01,D04,"1,2-Propanediol",alcohol,D05566,CAS 57-55-6
PM01,D05,Tween 40,fatty acid,C00026,CAS 9005-66-7
PM01,D06,a-Ketoglutaric acid,carboxylic acid,C00109,CAS 22202-68-2
PM01,D07,a-Ketobutyric acid,carboxylic acid,,CAS 2013-26-5
