	Sample.ID	Microbe	Rep	Sample	Area	Mean	Row	Column	Well	Plate	White.pixels	Black.pixels	Germination
1057	FSC_PM2_REP3	FSC	REP3	1	11304	1	1	1	A01	PM02A	46	11258	0
289	FSC_PM2_REP1	FSC	REP1	1	11304	1	1	1	A01	PM02A	61	11243	0
1441	FSC_PM2_REP3	FSC	REP4	1	11304	1	1	1	A01	PM02A	65	11239	0
961	FSC_PM1_REP3	FSC	REP3	1	11304	2	1	1	A01	PM01	68	11236	0
193	FSC_PM1_REP1	FSC	REP1	1	11304	2	1	1	A01	PM01	70	11234	1
1345	FSC_PM1_REP3	FSC	REP4	1	11304	2	1	1	A01	PM01	75	11229	0
577	FSC_PM1_REP2	FSC	REP2	1	11304	12	1	1	A01	PM01	515	10789	1
673	FSC_PM2_REP2	FSC	REP2	1	11304	20	1	1	A01	PM02A	838	10466	1
769	MF_PM1_REP3	MF	REP3	1	11304	6	1	1	A01	PM01	22	11282	0
1	MF_PM1_REP1	MF	REP1	1	11304	6	1	1	A01	PM01	276	11028	1
865	MF_PM2_REP3	MF	REP3	1	11304	8	1	1	A01	PM02A	288	11016	1
97	MF_PM2_REP1	MF	REP1	1	11304	8	1	1	A01	PM02A	336	10968	1
1153	MF_PM1_REP3	MF	REP4	1	11304	6	1	1	A01	PM01	492	10812	1
1249	MF_PM2_REP3	MF	REP4	1	11304	8	1	1	A01	PM02A	563	10741	1
481	MF_PM2_REP2	MF	REP2	1	11304	14	1	1	A01	PM02A	612	10692	1
385	MF_PM1_REP2	MF	REP2	1	11304	15	1	1	A01	PM01	669	10635	1
194	FSC_PM1_REP1	FSC	REP1	2	11304	1	1	2	A02	PM01	64	11240	0
962	FSC_PM1_REP3	FSC	REP3	2	11304	1	1	2	A02	PM01	72	11232	0
578	FSC_PM1_REP2	FSC	REP2	2	11304	2	1	2	A02	PM01	90	11214	0
1346	FSC_PM1_REP3	FSC	REP4	2	11304	1	1	2	A02	PM01	101	11203	1
1058	FSC_PM2_REP3	FSC	REP3	2	11304	13	1	2	A02	PM02A	102	11202	1
1442	FSC_PM2_REP3	FSC	REP4	2	11304	13	1	2	A02	PM02A	193	11111	1
290	FSC_PM2_REP1	FSC	REP1	2	11304	13	1	2	A02	PM02A	588	10716	1
674	FSC_PM2_REP2	FSC	REP2	2	11304	21	1	2	A02	PM02A	853	10451	1
1154	MF_PM1_REP3	MF	REP4	2	11304	6	1	2	A02	PM01	51	11253	0
386	MF_PM1_REP2	MF	REP2	2	11304	1	1	2	A02	PM01	59	11245	0
866	MF_PM2_REP3	MF	REP3	2	11304	4	1	2	A02	PM02A	65	11239	0
98	MF_PM2_REP1	MF	REP1	2	11304	4	1	2	A02	PM02A	173	11131	1
2	MF_PM1_REP1	MF	REP1	2	11304	6	1	2	A02	PM01	277	11027	1
770	MF_PM1_REP3	MF	REP3	2	11304	6	1	2	A02	PM01	322	10982	1
482	MF_PM2_REP2	MF	REP2	2	11304	10	1	2	A02	PM02A	465	10839	1
1250	MF_PM2_REP3	MF	REP4	2	11304	4	1	2	A02	PM02A	614	10690	1
195	FSC_PM1_REP1	FSC	REP1	3	11304	9.48E-01	1	3	A03	PM01	42	11262	0
1059	FSC_PM2_REP3	FSC	REP3	3	11304	1	1	3	A03	PM02A	50	11254	0
291	FSC_PM2_REP1	FSC	REP1	3	11304	1	1	3	A03	PM02A	52	11252	0
963	FSC_PM1_REP3	FSC	REP3	3	11304	9.48E-01	1	3	A03	PM01	63	11241	0
579	FSC_PM1_REP2	FSC	REP2	3	11304	2	1	3	A03	PM01	72	11232	0
1347	FSC_PM1_REP3	FSC	REP4	3	11304	9.48E-01	1	3	A03	PM01	99	11205	0
1443	FSC_PM2_REP3	FSC	REP4	3	11304	1	1	3	A03	PM02A	139	11165	1
675	FSC_PM2_REP2	FSC	REP2	3	11304	5	1	3	A03	PM02A	163	11141	1
1251	MF_PM2_REP3	MF	REP4	3	11304	3	1	3	A03	PM02A	67	11237	0
99	MF_PM2_REP1	MF	REP1	3	11304	3	1	3	A03	PM02A	154	11150	1
3	MF_PM1_REP1	MF	REP1	3	11304	7	1	3	A03	PM01	313	10991	1
387	MF_PM1_REP2	MF	REP2	3	11304	10	1	3	A03	PM01	429	10875	1
1155	MF_PM1_REP3	MF	REP4	3	11304	7	1	3	A03	PM01	489	10815	1
867	MF_PM2_REP3	MF	REP3	3	11304	3	1	3	A03	PM02A	596	10708	1
771	MF_PM1_REP3	MF	REP3	3	11304	7	1	3	A03	PM01	655	10649	1
483	MF_PM2_REP2	MF	REP2	3	11304	15	1	3	A03	PM02A	680	10624	1
1444	FSC_PM2_REP3	FSC	REP4	4	11304	16	1	4	A04	PM02A	58	11246	0
