	Rep	Medium	Microbes	Carbon	Carbon2	Rep	Time	Area	Length
1	R1	MS	MF	Water	Water	1	72h	0.263	3.097
2	R1	MS	MF	Water	Water	2	72h	0.185	2.215
3	R1	MS	MF	Water	Water	3	72h	0.327	3.854
4	R1	MS	MF	Water	Water	4	72h	0.298	3.52
5	R1	MS	MF	Water	Water	5	72h	0.256	2.977
6	R1	MS	MF	Water	Water	6	72h	0.284	3.316
7	R1	MS	MF	Water	Water	7	72h	0.305	3.577
8	R1	MS	MF	Water	Water	8	72h	0.263	3.092
9	R1	MS	MF	Water	Water	9	72h	0.206	2.382
10	R1	MS	MF	Water	Water	10	72h	0.234	2.773
11	R1	MS	MF	Water	Water	11	72h	0.277	3.284
12	R1	MS	MF	Water	Water	12	72h	0.284	3.285
13	R1	MS	MF	Water	Water	13	72h	0.199	2.361
14	R1	MS	MF	Water	Water	14	72h	0.249	2.888
15	R1	MS	MF	Water	Water	15	72h	0.234	2.721
16	R1	MS	MF	Water	Water	16	72h	0.249	2.873
17	R1	MS	MF	Water	Water	17	72h	0.284	3.308
18	R1	MS	MF	Water	Water	18	72h	0.149	1.694
19	R1	MS	MF	Water	Water	19	72h	0.234	2.728
20	R1	MS	MF	Water	Water	20	72h	0.227	2.587
21	R1	MS	MF	Water	Water	21	72h	0.213	2.502
22	R1	MS	MF	Water	Water	22	72h	0.199	2.282
23	R1	MS	MF	Water	Water	23	72h	0.284	3.304
24	R1	MS	MF	Water	Water	24	72h	0.284	3.338
25	R1	MS	MF	Water	Water	25	72h	0.192	2.233
26	R1	MS	MF	Water	Water	26	72h	0.192	2.258
27	R1	MS	MF	Water	Water	27	72h	0.156	1.793
28	R1	MS	MF	Water	Water	28	72h	0.249	2.886
29	R1	MS	MF	Water	Water	29	72h	0.142	1.673
30	R1	MS	MF	Water	Water	30	72h	0.128	1.42
31	R1	MS	MF	Water	Water	31	72h	0.121	1.425
32	R1	MS	MF	Water	Water	32	72h	0.263	3.093
33	R1	MS	MF	Water	Water	33	72h	0.284	3.274
34	R1	MS	MF	Water	Water	34	72h	0.178	2.063
