Sample_ID	Sample_Name	Environment	Strain	Time	Media	Bio_rep	Rep	Root_length
1	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	1	1.893
2	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	2	1.891
3	water-72h001.tif:3:Blue	Root	F16	72h	Water	Rep 1	3	1.057
4	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	4	1.837
5	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	5	1.813
6	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	6	2.233
7	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	7	1.146
8	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	8	0.769
9	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	9	1.144
10	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	10	1.282
11	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	11	0.831
12	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	12	1.053
13	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	13	0.986
14	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	14	1.026
15	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	15	0.68
16	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	16	1.04
17	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	17	0.833
18	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	18	1.099
19	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	19	1.176
20	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	20	1.394
21	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	21	1.367
22	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	22	1.51
23	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	23	1.059
24	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	24	1.402
25	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	25	1.257
26	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	26	1.119
27	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	27	0.547
28	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	28	0.817
29	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	29	0.512
30	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	30	1.075
31	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	31	1.391
32	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	32	1.026
33	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	33	1.409
34	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	34	0.666
35	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	35	1.35
36	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	36	1.478
37	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	37	1.191
38	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	38	1.241
39	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	39	1.624
40	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	40	1.231
41	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	41	0.953
42	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	42	0.959
43	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	43	1.179
44	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	44	1.209
45	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	45	0.68
46	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	46	1.235
47	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	47	0.618
48	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	48	1.331
49	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	49	0.697
50	water-72h001.tif:Blue	Root	F16	72h	Water	Rep 1	50	1.002
51	water-72h001.tif:Red	Root	F16	72h	Water	Rep 2	1	1.022
