Rows,ID2,System,Plant,Experiment,Bio_rep,Tech_Rep,Microbes,Treatment,Element,Weight_length,Nb,Microbial_ID
1,Flowpots_Arabidopsis_thaliana_Rs1_1_1_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,1,MF,Water,Shoot,101.2,6,Pathogens
2,Flowpots_Arabidopsis_thaliana_Rs1_1_2_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,2,MF,Water,Shoot,60.7,4,Pathogens
3,Flowpots_Arabidopsis_thaliana_Rs1_1_3_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,3,MF,Water,Shoot,117.2,5,Pathogens
4,Flowpots_Arabidopsis_thaliana_Rs1_1_4_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,4,MF,Water,Shoot,94.8,4,Pathogens
5,Flowpots_Arabidopsis_thaliana_Rs1_1_5_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,5,MF,Water,Shoot,111.5,5,Pathogens
6,Flowpots_Arabidopsis_thaliana_Rs1_1_6_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,6,MF,Water,Shoot,87.6,5,Pathogens
7,Flowpots_Arabidopsis_thaliana_Rs1_1_7_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,7,MF,Water,Shoot,119.3,5,Pathogens
8,Flowpots_Arabidopsis_thaliana_Rs1_1_8_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,8,MF,Water,Shoot,109.9,5,Pathogens
9,Flowpots_Arabidopsis_thaliana_Rs1_1_1_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,1,MF,3OMG,Shoot,35.3,5,Pathogens
10,Flowpots_Arabidopsis_thaliana_Rs1_1_2_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,2,MF,3OMG,Shoot,22.9,5,Pathogens
11,Flowpots_Arabidopsis_thaliana_Rs1_1_3_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,3,MF,3OMG,Shoot,84,6,Pathogens
12,Flowpots_Arabidopsis_thaliana_Rs1_1_4_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,4,MF,3OMG,Shoot,6.8,2,Pathogens
13,Flowpots_Arabidopsis_thaliana_Rs1_1_5_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,5,MF,3OMG,Shoot,72.2,5,Pathogens
14,Flowpots_Arabidopsis_thaliana_Rs1_1_6_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,6,MF,3OMG,Shoot,91.9,7,Pathogens
15,Flowpots_Arabidopsis_thaliana_Rs1_1_7_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,7,MF,3OMG,Shoot,77.8,5,Pathogens
16,Flowpots_Arabidopsis_thaliana_Rs1_1_8_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,8,MF,3OMG,Shoot,55.5,5,Pathogens
17,Flowpots_Arabidopsis_thaliana_Rs1_1_1_Rs_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,1,Rs,Water,Shoot,0,0,Pathogens
18,Flowpots_Arabidopsis_thaliana_Rs1_1_2_Rs_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,2,Rs,Water,Shoot,0.6,2,Pathogens
19,Flowpots_Arabidopsis_thaliana_Rs1_1_3_Rs_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,3,Rs,Water,Shoot,1.3,3,Pathogens
20,Flowpots_Arabidopsis_thaliana_Rs1_1_4_Rs_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,4,Rs,Water,Shoot,0.5,1,Pathogens
21,Flowpots_Arabidopsis_thaliana_Rs1_1_5_Rs_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,5,Rs,Water,Shoot,0.2,1,Pathogens
22,Flowpots_Arabidopsis_thaliana_Rs1_1_6_Rs_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,6,Rs,Water,Shoot,1.5,4,Pathogens
23,Flowpots_Arabidopsis_thaliana_Rs1_1_7_Rs_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,7,Rs,Water,Shoot,0,0,Pathogens
24,Flowpots_Arabidopsis_thaliana_Rs1_1_8_Rs_M9_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,8,Rs,Water,Shoot,1.9,3,Pathogens
25,Flowpots_Arabidopsis_thaliana_Rs1_1_1_Rs_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,1,Rs,3OMG,Shoot,0,0,Pathogens
26,Flowpots_Arabidopsis_thaliana_Rs1_1_2_Rs_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,2,Rs,3OMG,Shoot,0.4,4,Pathogens
27,Flowpots_Arabidopsis_thaliana_Rs1_1_3_Rs_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,3,Rs,3OMG,Shoot,0,2,Pathogens
28,Flowpots_Arabidopsis_thaliana_Rs1_1_4_Rs_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,4,Rs,3OMG,Shoot,0.7,3,Pathogens
29,Flowpots_Arabidopsis_thaliana_Rs1_1_5_Rs_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,5,Rs,3OMG,Shoot,0.3,2,Pathogens
30,Flowpots_Arabidopsis_thaliana_Rs1_1_6_Rs_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,6,Rs,3OMG,Shoot,0.2,1,Pathogens
31,Flowpots_Arabidopsis_thaliana_Rs1_1_7_Rs_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,7,Rs,3OMG,Shoot,2.2,5,Pathogens
32,Flowpots_Arabidopsis_thaliana_Rs1_1_8_Rs_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Rs1,1,8,Rs,3OMG,Shoot,1.8,4,Pathogens
33,Flowpots_Arabidopsis_thaliana_Pu1_1_1_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,1,MF,Water,Shoot,118.2,5,Pathogens
34,Flowpots_Arabidopsis_thaliana_Pu1_1_2_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,2,MF,Water,Shoot,154,4,Pathogens
35,Flowpots_Arabidopsis_thaliana_Pu1_1_3_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,3,MF,Water,Shoot,183.8,5,Pathogens
36,Flowpots_Arabidopsis_thaliana_Pu1_1_4_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,4,MF,Water,Shoot,126.1,5,Pathogens
37,Flowpots_Arabidopsis_thaliana_Pu1_1_5_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,5,MF,Water,Shoot,88.6,5,Pathogens
38,Flowpots_Arabidopsis_thaliana_Pu1_1_6_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,6,MF,Water,Shoot,114.4,4,Pathogens
39,Flowpots_Arabidopsis_thaliana_Pu1_1_7_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,7,MF,Water,Shoot,139.2,5,Pathogens
40,Flowpots_Arabidopsis_thaliana_Pu1_1_8_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,8,MF,Water,Shoot,117.5,5,Pathogens
41,Flowpots_Arabidopsis_thaliana_Pu1_1_1_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,1,MF,3OMG,Shoot,128.2,5,Pathogens
42,Flowpots_Arabidopsis_thaliana_Pu1_1_2_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,2,MF,3OMG,Shoot,78.8,4,Pathogens
43,Flowpots_Arabidopsis_thaliana_Pu1_1_3_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,3,MF,3OMG,Shoot,68.9,5,Pathogens
