	ID2	System	Plant	Experiment	Bio_rep	Tech_Rep	Microbes	Treatment	Element	Weight	Tube	Tube+element	Microbial ID	Primers	CT	UBQ10	Kingdom
1	Flowpots_Arabidopsis_thaliana_MiniSC_1_1_MF_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	1	MF	Water	Matrix	299.3	1639.6	1938.9	MiniSC	Primer_16S	22.83		Bacteria
2	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_MF_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	MF	Water	Matrix	301	1679.5	1980.5	MiniSC	Primer_16S	38.57		Bacteria
3	Flowpots_Arabidopsis_thaliana_MiniSC_1_3_MF_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	3	MF	Water	Matrix	465.9	1679.6	2145.5	MiniSC	Primer_16S	17.18		Bacteria
4	Flowpots_Arabidopsis_thaliana_MiniSC_1_4_MF_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	4	MF	Water	Matrix	346.5	1898.4	2244.9	MiniSC	Primer_16S	19.41		Bacteria
5	Flowpots_Arabidopsis_thaliana_MiniSC_1_5_MF_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	5	MF	Water	Matrix	348.5	1899	2247.5	MiniSC	Primer_16S	20.74		Bacteria
6	Flowpots_Arabidopsis_thaliana_MiniSC_1_6_MF_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	6	MF	Water	Matrix	414.7	1892.4	2307.1	MiniSC	Primer_16S	18.8		Bacteria
7	Flowpots_Arabidopsis_thaliana_MiniSC_1_7_MF_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	7	MF	Water	Matrix	273.4	1877	2150.4	MiniSC	Primer_16S	19.85		Bacteria
8	Flowpots_Arabidopsis_thaliana_MiniSC_1_8_MF_Water_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	8	MF	Water	Matrix	421.6	1947.1	2368.7	MiniSC	Primer_16S	16.16		Bacteria
9	Flowpots_Arabidopsis_thaliana_MiniSC_1_1_MF_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	1	MF	Glucose	Matrix	617.5	1920.8	2538.3	MiniSC	Primer_16S	15.71		Bacteria
10	Flowpots_Arabidopsis_thaliana_MiniSC_1_2_MF_Glucose_Matrix	Flowpots	Arabidopsis_thaliana	MiniSC	1	2	MF	Glucose	Matrix	321.5	1818.3	2139.8	MiniSC	Primer_16S	19.86		Bacteria
