	Date	Rep	Microbes	Compartment	Media	Concentration_3OMG	Concentration_3OMG_2	Inoc	Rep_Box	Tech_Rep	SFW	Number plants	Percent_survival	SFW_per_plant	PPI
1	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Unique	1	1	105.7	6	100	17.61666667	1761.666667
2	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Unique	1	2	111.7	7	100	15.95714286	1595.714286
3	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Unique	1	3	101.9	6	100	16.98333333	1698.333333
4	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Weekly	1	4	113.8	6	100	18.96666667	1896.666667
5	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Weekly	2	1	72.6	4	80	18.15	1452
6	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Weekly	2	2	33	2	40	16.5	660
7	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Weekly	2	3	107.3	4	80	26.825	2146
8	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Weekly	2	4	80	4	80	20	1600
9	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Weekly	3	1	54.8	2	40	27.4	1096
10	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Weekly	3	2	44.8	4	80	11.2	896
11	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Weekly	3	3	105.4	6	100	17.56666667	1756.666667
12	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM_Weekly	Weekly	3	4	106.8	5	100	21.36	2136
13	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM	Unique	1	1	40.4	3	60	13.46666667	808
14	18.12.24	R1	FSC	Shoots	3OMG	7.5	7.5_mM	Unique	1	2	70	5	100	14	1400
