ID,Time_Points,Microbes,Concentration_3OMG,Concentration_3OMG_2,Tech_Rep,Root_length
72h_MF_0_0_mM_1,72h,MF,0,0_mM,1,0.181
72h_MF_0_0_mM_2,72h,MF,0,0_mM,2,0.09
72h_MF_0_0_mM_3,72h,MF,0,0_mM,3,0.318
72h_MF_0_0_mM_4,72h,MF,0,0_mM,4,0.113
72h_MF_0_0_mM_5,72h,MF,0,0_mM,5,0.171
72h_MF_0_0_mM_6,72h,MF,0,0_mM,6,0.227
72h_MF_0_0_mM_7,72h,MF,0,0_mM,7,0.256
72h_MF_0_0_mM_8,72h,MF,0,0_mM,8,0.244
72h_MF_0_0_mM_9,72h,MF,0,0_mM,9,0.121
72h_MF_0_0_mM_10,72h,MF,0,0_mM,10,0.116
72h_MF_0_0_mM_11,72h,MF,0,0_mM,11,0.198
72h_MF_0_0_mM_12,72h,MF,0,0_mM,12,0.227
72h_MF_0_0_mM_13,72h,MF,0,0_mM,13,0.275
72h_MF_0_0_mM_14,72h,MF,0,0_mM,14,0.278
72h_MF_0_0_mM_15,72h,MF,0,0_mM,15,0.289
72h_MF_0_0_mM_16,72h,MF,0,0_mM,16,0.175
72h_MF_0_0_mM_17,72h,MF,0,0_mM,17,0.179
72h_MF_0_0_mM_18,72h,MF,0,0_mM,18,0.229
72h_MF_0_0_mM_19,72h,MF,0,0_mM,19,0.152
72h_MF_0_0_mM_20,72h,MF,0,0_mM,20,0.202
72h_MF_0_0_mM_21,72h,MF,0,0_mM,21,0.095
72h_MF_0_0_mM_22,72h,MF,0,0_mM,22,0.127
72h_MF_0_0_mM_23,72h,MF,0,0_mM,23,0.219
72h_MF_0_0_mM_24,72h,MF,0,0_mM,24,0.097
72h_MF_0_0_mM_25,72h,MF,0,0_mM,25,0.249
72h_MF_0_0_mM_26,72h,MF,0,0_mM,26,0.154
72h_MF_0_0_mM_27,72h,MF,0,0_mM,27,0.289
72h_MF_0_0_mM_28,72h,MF,0,0_mM,28,0.112
72h_MF_0_0_mM_29,72h,MF,0,0_mM,29,0.088
72h_FSC_0_0_mM_1,72h,FSC,0,0_mM,1,0.126
72h_FSC_0_0_mM_2,72h,FSC,0,0_mM,2,0.118
72h_FSC_0_0_mM_3,72h,FSC,0,0_mM,3,0.209
72h_FSC_0_0_mM_4,72h,FSC,0,0_mM,4,0.287
72h_FSC_0_0_mM_5,72h,FSC,0,0_mM,5,0.209
72h_FSC_0_0_mM_6,72h,FSC,0,0_mM,6,0.22
72h_FSC_0_0_mM_7,72h,FSC,0,0_mM,7,0.211
72h_FSC_0_0_mM_8,72h,FSC,0,0_mM,8,0.139
72h_FSC_0_0_mM_9,72h,FSC,0,0_mM,9,0.247
72h_FSC_0_0_mM_10,72h,FSC,0,0_mM,10,0.084
72h_FSC_0_0_mM_11,72h,FSC,0,0_mM,11,0.15
72h_FSC_0_0_mM_12,72h,FSC,0,0_mM,12,0.133
72h_FSC_0_0_mM_13,72h,FSC,0,0_mM,13,0.148
72h_FSC_0_0_mM_14,72h,FSC,0,0_mM,14,0.17
72h_FSC_0_0_mM_15,72h,FSC,0,0_mM,15,0.16
72h_FSC_0_0_mM_16,72h,FSC,0,0_mM,16,0.045
72h_FSC_0_0_mM_17,72h,FSC,0,0_mM,17,0.054
72h_FSC_0_0_mM_18,72h,FSC,0,0_mM,18,0.148
72h_MF_7.5_7.5_mM_1,72h,MF,7.5,7.5_mM,1,0.14
72h_MF_7.5_7.5_mM_2,72h,MF,7.5,7.5_mM,2,0.182
72h_MF_7.5_7.5_mM_3,72h,MF,7.5,7.5_mM,3,0.104
72h_MF_7.5_7.5_mM_4,72h,MF,7.5,7.5_mM,4,0.214
72h_MF_7.5_7.5_mM_5,72h,MF,7.5,7.5_mM,5,0.164
72h_MF_7.5_7.5_mM_6,72h,MF,7.5,7.5_mM,6,0.212
72h_MF_7.5_7.5_mM_7,72h,MF,7.5,7.5_mM,7,0.197
72h_MF_7.5_7.5_mM_8,72h,MF,7.5,7.5_mM,8,0.187
72h_MF_7.5_7.5_mM_9,72h,MF,7.5,7.5_mM,9,0.175
72h_MF_7.5_7.5_mM_10,72h,MF,7.5,7.5_mM,10,0.099
72h_MF_7.5_7.5_mM_11,72h,MF,7.5,7.5_mM,11,0.137
72h_MF_7.5_7.5_mM_12,72h,MF,7.5,7.5_mM,12,0.261
72h_MF_7.5_7.5_mM_13,72h,MF,7.5,7.5_mM,13,0.248
72h_MF_7.5_7.5_mM_14,72h,MF,7.5,7.5_mM,14,0.139
72h_MF_7.5_7.5_mM_15,72h,MF,7.5,7.5_mM,15,0.153
72h_MF_7.5_7.5_mM_16,72h,MF,7.5,7.5_mM,16,0.113
72h_MF_7.5_7.5_mM_17,72h,MF,7.5,7.5_mM,17,0.086
72h_MF_7.5_7.5_mM_18,72h,MF,7.5,7.5_mM,18,0.197
72h_MF_7.5_7.5_mM_19,72h,MF,7.5,7.5_mM,19,0.247
72h_MF_7.5_7.5_mM_20,72h,MF,7.5,7.5_mM,20,0.135
72h_MF_7.5_7.5_mM_21,72h,MF,7.5,7.5_mM,21,0.215
72h_MF_7.5_7.5_mM_22,72h,MF,7.5,7.5_mM,22,0.073
72h_MF_7.5_7.5_mM_23,72h,MF,7.5,7.5_mM,23,0.085
72h_MF_7.5_7.5_mM_24,72h,MF,7.5,7.5_mM,24,0.113
72h_FSC_7.5_7.5_mM_1,72h,FSC,7.5,7.5_mM,1,0.074
72h_FSC_7.5_7.5_mM_2,72h,FSC,7.5,7.5_mM,2,0.222
72h_FSC_7.5_7.5_mM_3,72h,FSC,7.5,7.5_mM,3,0.06
