"","System","Microbes","Treatment","median_area"
"1","Flowpots","MF","Water",10.3142857142857
"2","Flowpots","MF","3OMG",5.57142857142857
"3","Flowpots","F16","Water",3.55
"4","Flowpots","F16","3OMG",7.89285714285714
"5","Flowpots","F117","Water",3.55714285714286
"6","Flowpots","F117","3OMG",5.92857142857143
"7","Flowpots","F96","Water",0
"8","Flowpots","F96","3OMG",5.38571428571429
"9","Flowpots","F147","Water",0
"10","Flowpots","F147","3OMG",6.02142857142857
"11","Flowpots","F212","Water",7.36428571428571
"12","Flowpots","F212","3OMG",4.74285714285714
"13","Flowpots","F44","Water",5
"14","Flowpots","F44","3OMG",4.32142857142857
"15","Flowpots","F243","Water",6.22142857142857
"16","Flowpots","F243","3OMG",5.58571428571429
"17","Flowpots","F100","Water",6.17857142857143
"18","Flowpots","F100","3OMG",1.81428571428571
"19","Flowpots","F64","Water",5.15714285714286
"20","Flowpots","F64","3OMG",4.23571428571429
"21","Flowpots","Pu","Water",0
"22","Flowpots","Pu","3OMG",0
"23","Flowpots","Rs","Water",0.05
"24","Flowpots","Rs","3OMG",0.142857142857143
"25","MS_agar","MF","Water",13.56
"26","MS_agar","MF","3OMG",12.191
"27","MS_agar","F16","Water",1.382
"28","MS_agar","F16","3OMG",4.285
"29","MS_agar","F117","Water",1.4275
"30","MS_agar","F117","3OMG",7.908
"31","MS_agar","F96","Water",2.0755
"32","MS_agar","F96","3OMG",2.855
"33","MS_agar","F147","Water",1.7
"34","MS_agar","F147","3OMG",8.785
"35","MS_agar","F212","Water",3.5045
"36","MS_agar","F212","3OMG",7.5415
"37","MS_agar","F44","Water",2.626
"38","MS_agar","F44","3OMG",5.252
"39","MS_agar","F243","Water",6.688
"40","MS_agar","F243","3OMG",10.538
"41","MS_agar","F100","Water",4.546
"42","MS_agar","F100","3OMG",6.1935
"43","MS_agar","F64","Water",2.063
"44","MS_agar","F64","3OMG",3.301
"45","MS_agar","Pu","Water",1.007
"46","MS_agar","Pu","3OMG",1.36
"47","MS_agar","Rs","Water",2.728
"48","MS_agar","Rs","3OMG",2.249
