	FEATURE_ID	FEATURE_ID2	Environment	Microbes	Compound	Labelled	Peak_Area	Peak_height
17	3OMG_13C_50mM_01	3OMG_13C_50mM_01_3OMG_C6	3OMG	13C	3OMG_C6	Yes	41584686	1049734
18	3OMG_13C_5mM_01	3OMG_13C_5mM_01_3OMG_C6	3OMG	13C	3OMG_C6	Yes	23720663	1179095
51	3OMG_13C_50mM_01	3OMG_13C_50mM_01_3OMG_COOH_C0	3OMG	13C	3OMG_COOH_C0	No		#N/A
52	3OMG_13C_5mM_01	3OMG_13C_5mM_01_3OMG_COOH_C0	3OMG	13C	3OMG_COOH_C0	No		#N/A
85	3OMG_13C_50mM_01	3OMG_13C_50mM_01_3OMG_COOH_C6	3OMG	13C	3OMG_COOH_C6	Yes	325719289	6664671
86	3OMG_13C_5mM_01	3OMG_13C_5mM_01_3OMG_COOH_C6	3OMG	13C	3OMG_COOH_C6	Yes	178928809	7730727
119	3OMG_13C_50mM_01	3OMG_13C_50mM_01_3OMG6P_C6	3OMG	13C	3OMG6P_C6	Yes		#N/A
120	3OMG_13C_5mM_01	3OMG_13C_5mM_01_3OMG6P_C6	3OMG	13C	3OMG6P_C6	Yes		#N/A
153	3OMG_13C_50mM_01	3OMG_13C_50mM_01_glucose_C0	3OMG	13C	glucose_C0	No		#N/A
154	3OMG_13C_5mM_01	3OMG_13C_5mM_01_glucose_C0	3OMG	13C	glucose_C0	No		#N/A
187	3OMG_13C_50mM_01	3OMG_13C_50mM_01_glucose_C6	3OMG	13C	glucose_C6	Yes	578130913	42909165
188	3OMG_13C_5mM_01	3OMG_13C_5mM_01_glucose_C6	3OMG	13C	glucose_C6	Yes	132411693	11362877
221	3OMG_13C_50mM_01	3OMG_13C_50mM_01_lactic_C0	3OMG	13C	lactic_C0	No		#N/A
222	3OMG_13C_5mM_01	3OMG_13C_5mM_01_lactic_C0	3OMG	13C	lactic_C0	No	38137216	3697897
255	3OMG_13C_50mM_01	3OMG_13C_50mM_01_lactic_03	3OMG	13C	lactic_03	Yes	208363019	4481998
256	3OMG_13C_5mM_01	3OMG_13C_5mM_01_lactic_03	3OMG	13C	lactic_03	Yes	128892944	5069940
289	3OMG_13C_50mM_01	3OMG_13C_50mM_01_3OMG_C0	3OMG	13C	3OMG_C0	No		#N/A
290	3OMG_13C_5mM_01	3OMG_13C_5mM_01_3OMG_C0	3OMG	13C	3OMG_C0	No		#N/A
1	121_Cell_MF_F16	121_Cell_MF_F16_3OMG_C6	Cell	F16	3OMG_C6	Yes	2070211	137642
2	121_S_MF_F16	121_S_MF_F16_3OMG_C6	Supernatant	F16	3OMG_C6	Yes	19350980	724407
3	122_Cell_MF_F16	122_Cell_MF_F16_3OMG_C6	Cell	F16	3OMG_C6	Yes	1664361	101591
4	122_S_MF_F16	122_S_MF_F16_3OMG_C6	Supernatant	F16	3OMG_C6	Yes	18589873	709892
5	123_Cell_MF_F16	123_Cell_MF_F16_3OMG_C6	Cell	F16	3OMG_C6	Yes	1376203	96463
6	123_S_MF_F16	123_S_MF_F16_3OMG_C6	Supernatant	F16	3OMG_C6	Yes	18017201	651170
7	124_Cell_MF_F16	124_Cell_MF_F16_3OMG_C6	Cell	F16	3OMG_C6	Yes	1708173	122302
8	124_S_MF_F16	124_S_MF_F16_3OMG_C6	Supernatant	F16	3OMG_C6	Yes	19228738	676132
35	121_Cell_MF_F16	121_Cell_MF_F16_3OMG_COOH_C0	Cell	F16	3OMG_COOH_C0	No	91416	12747
36	121_S_MF_F16	121_S_MF_F16_3OMG_COOH_C0	Supernatant	F16	3OMG_COOH_C0	No	449641	63193
37	122_Cell_MF_F16	122_Cell_MF_F16_3OMG_COOH_C0	Cell	F16	3OMG_COOH_C0	No	91315	10487
38	122_S_MF_F16	122_S_MF_F16_3OMG_COOH_C0	Supernatant	F16	3OMG_COOH_C0	No	367433	53221
39	123_Cell_MF_F16	123_Cell_MF_F16_3OMG_COOH_C0	Cell	F16	3OMG_COOH_C0	No	77190	12403
40	123_S_MF_F16	123_S_MF_F16_3OMG_COOH_C0	Supernatant	F16	3OMG_COOH_C0	No	409301	56056
41	124_Cell_MF_F16	124_Cell_MF_F16_3OMG_COOH_C0	Cell	F16	3OMG_COOH_C0	No	60073	11548
42	124_S_MF_F16	124_S_MF_F16_3OMG_COOH_C0	Supernatant	F16	3OMG_COOH_C0	No	576226	75600
69	121_Cell_MF_F16	121_Cell_MF_F16_3OMG_COOH_C6	Cell	F16	3OMG_COOH_C6	Yes	13286431	753395
70	121_S_MF_F16	121_S_MF_F16_3OMG_COOH_C6	Supernatant	F16	3OMG_COOH_C6	Yes	82407661	2172813
71	122_Cell_MF_F16	122_Cell_MF_F16_3OMG_COOH_C6	Cell	F16	3OMG_COOH_C6	Yes	10873395	626157
72	122_S_MF_F16	122_S_MF_F16_3OMG_COOH_C6	Supernatant	F16	3OMG_COOH_C6	Yes	69784663	1928101
73	123_Cell_MF_F16	123_Cell_MF_F16_3OMG_COOH_C6	Cell	F16	3OMG_COOH_C6	Yes	8934456	504522
74	123_S_MF_F16	123_S_MF_F16_3OMG_COOH_C6	Supernatant	F16	3OMG_COOH_C6	Yes	62502551	1655399
75	124_Cell_MF_F16	124_Cell_MF_F16_3OMG_COOH_C6	Cell	F16	3OMG_COOH_C6	Yes	10404648	568264
76	124_S_MF_F16	124_S_MF_F16_3OMG_COOH_C6	Supernatant	F16	3OMG_COOH_C6	Yes	57580369	1540017
103	121_Cell_MF_F16	121_Cell_MF_F16_3OMG6P_C6	Cell	F16	3OMG6P_C6	Yes	2180455	172096
104	121_S_MF_F16	121_S_MF_F16_3OMG6P_C6	Supernatant	F16	3OMG6P_C6	Yes	75290	16192
105	122_Cell_MF_F16	122_Cell_MF_F16_3OMG6P_C6	Cell	F16	3OMG6P_C6	Yes	1926286	149560
106	122_S_MF_F16	122_S_MF_F16_3OMG6P_C6	Supernatant	F16	3OMG6P_C6	Yes	89608	14716
107	123_Cell_MF_F16	123_Cell_MF_F16_3OMG6P_C6	Cell	F16	3OMG6P_C6	Yes	1179835	97031
108	123_S_MF_F16	123_S_MF_F16_3OMG6P_C6	Supernatant	F16	3OMG6P_C6	Yes	76851	13390
109	124_Cell_MF_F16	124_Cell_MF_F16_3OMG6P_C6	Cell	F16	3OMG6P_C6	Yes	1157119	100098
