	CAZYName	Substrates	Substrates2
1	GH135	galactan	alpha-galactan
2	GH71	glucan	alpha-glucan
3	GH13	glucan	alpha-glucan
4	GH13	glycogen	glycogen
5	GH13	sucrose	sucrose
6	GH13	glucosylglycerate	glucosylglycerate
7	GH13	glucosylglycerol	glucosylglycerol
8	GH13	starch	starch
9	GH13	trehalose	trehalose
10	GH114	mannan	alpha-mannan
11	GH125	mannan	alpha-mannan
12	GH76	mannan	alpha-mannan
13	GH76	glucan	alpha-glucan
14	GH38	mannan	alpha-mannan
15	GH38	host glycan	host glycan
16	GH146	arabinan	arabinan
17	GH49	arabinan	arabinan
18	GH49	glucan	alpha-glucan
19	GH154	arabinogalactan protein	arabinogalactan protein
20	GH53	arabinogalactan protein	arabinogalactan protein
21	PL42	arabinogalactan protein	arabinogalactan protein
22	GH115	arabinogalactan protein	arabinogalactan protein
23	GH115	xylan	xylan
24	GH35	galactan	beta-galactan
25	GH35	chitin	chitin
26	GH35	pectin	pectin
27	CBM24	glucan	beta-glucan
28	CBM43	glucan	beta-glucan
29	GH128	glucan	beta-glucan
30	GH131	glucan	beta-glucan
31	GH132	glucan	beta-glucan
32	GH152	glucan	beta-glucan
33	GH64	glucan	beta-glucan
34	GH72	glucan	beta-glucan
35	GH81	glucan	beta-glucan
36	CBM6	glucan	beta-glucan
37	CBM6	xylan	xylan
38	CBM6	cellulose	cellulose
39	GH17	glucan	beta-glucan
40	GH17	abscisic acid	abscisic acid
41	GH39	glucan	beta-glucan
42	GH39	galactan	beta-galactan
43	GH39	xylan	xylan
44	GH39	cellulose	cellulose
45	GH39	host glycan	host glycan
46	GH134	mannan	beta-mannan
47	AA16	cellulose	cellulose
48	AA9	cellulose	cellulose
49	CBM63	cellulose	cellulose
50	GH6	cellulose	cellulose
51	CBM1	cellulose	cellulose
52	CBM1	chitin	chitin
53	CBM2	cellulose	cellulose
54	CBM2	chitin	chitin
55	CBM2	xylan	xylan
56	AA10	cellulose	cellulose
57	AA10	chitin	chitin
58	AA10	xylan	xylan
59	AA3	cellulose	cellulose
60	AA3	lignin	lignin
61	AA11	chitin	chitin
62	CBM12	chitin	chitin
63	CBM14	chitin	chitin
64	CBM18	chitin	chitin
65	CBM5	chitin	chitin
66	CBM73	chitin	chitin
67	CBM50	chitin	chitin
68	CBM50	peptidoglycan	peptidoglycan
69	GH23	chitin	chitin
70	GH23	peptidoglycan	peptidoglycan
71	CE4	chitin	chitin
72	CE4	peptidoglycan	peptidoglycan
73	CE4	xylan	xylan
74	GH75	chitosan	chitosan
75	GH7	chitosan	chitosan
76	GH7	cellulose	cellulose
77	CE5	cutin	cutin
78	CE5	xylan	xylan
79	GH20	exo-polysaccharide	exo-polysaccharide
80	GH20	host glycan	host glycan
81	GH20	human milk polysaccharide	human milk polysaccharide
82	CBM38	fructan	fructan
83	GH32	fructan	fructan
84	AA7	glucooligosaccharide	glucooligosaccharide
85	AA7	chitooligosaccharide	chitooligosaccharide
86	AA7	cellooligosaccharide	cellooligosaccharide
87	CBM48	glycogen	glycogen
88	CBM32	host glycan	host glycan
89	CE9	host glycan	host glycan
90	GH29	host glycan	host glycan
91	GH47	host glycan	host glycan
92	GH85	host glycan	host glycan
93	GH88	host glycan	host glycan
94	GH92	host glycan	host glycan
95	GH63	host glycan	host glycan
96	GH63	glucan	alpha-glucan
97	AA1	lignin	lignin
98	AA2	lignin	lignin
99	AA4	lignin	lignin
100	AA6	lignin	lignin
101	AA8	lignin	lignin
102	CE15	lignin	lignin
103	AA0	NA	NA
104	AA1_2	NA	NA
105	AA1_3	NA	NA
106	AA3_1	NA	NA
107	AA3_2	NA	NA
108	AA3_3	NA	NA
109	AA5_1	NA	NA
110	AA5_2	NA	NA
111	CBM0	NA	NA
112	CE0	NA	NA
113	CE18	NA	NA
114	GH0	NA	NA
115	GH13_1	NA	NA
116	GH13_11	NA	NA
117	GH13_17	NA	NA
118	GH13_25	NA	NA
119	GH13_39	NA	NA
120	GH13_40	NA	NA
121	GH13_5	NA	NA
122	GH130_3	NA	NA
123	GH16_1	NA	NA
124	GH16_18	NA	NA
125	GH16_19	NA	NA
126	GH16_2	NA	NA
127	GH16_20	NA	NA
128	GH16_22	NA	NA
129	GH16_23	NA	NA
130	GH16_3	NA	NA
131	GH16_4	NA	NA
132	GH30_7	NA	NA
133	GH31_1	NA	NA
134	GH31_15	NA	NA
135	GH31_2	NA	NA
136	GH31_20	NA	NA
137	GH31_3	NA	NA
138	GH31_4	NA	NA
139	GH43_1	NA	NA
140	GH43_11	NA	NA
141	GH43_13	NA	NA
142	GH43_14	NA	NA
143	GH43_21	NA	NA
144	GH43_24	NA	NA
145	GH43_26	NA	NA
146	GH43_29	NA	NA
147	GH43_30	NA	NA
148	GH43_34	NA	NA
149	GH43_36	NA	NA
150	GH43_5	NA	NA
151	GH43_6	NA	NA
152	GH45_1	NA	NA
153	GH5_11	NA	NA
154	GH5_12	NA	NA
155	GH5_15	NA	NA
156	GH5_16	NA	NA
157	GH5_22	NA	NA
158	GH5_24	NA	NA
159	GH5_27	NA	NA
160	GH5_4	NA	NA
161	GH5_5	NA	NA
162	GH5_7	NA	NA
163	GH5_9	NA	NA
164	GH51_1	NA	NA
165	GH51_2	NA	NA
166	GH55_2	NA	NA
167	GT0	NA	NA
168	GT1	NA	NA
169	GT105	NA	NA
170	GT106	NA	NA
171	GT13	NA	NA
172	GT15	NA	NA
173	GT18	NA	NA
174	GT2	NA	NA
175	GT20	NA	NA
176	GT21	NA	NA
177	GT22	NA	NA
178	GT23	NA	NA
179	GT24	NA	NA
180	GT25	NA	NA
181	GT27	NA	NA
182	GT28	NA	NA
183	GT3	NA	NA
184	GT30	NA	NA
185	GT31	NA	NA
186	GT32	NA	NA
187	GT33	NA	NA
188	GT34	NA	NA
189	GT35	NA	NA
190	GT39	NA	NA
191	GT4	NA	NA
192	GT41	NA	NA
193	GT43	NA	NA
194	GT47	NA	NA
195	GT48	NA	NA
196	GT50	NA	NA
197	GT57	NA	NA
198	GT58	NA	NA
199	GT59	NA	NA
200	GT61	NA	NA
201	GT62	NA	NA
202	GT64	NA	NA
203	GT65	NA	NA
204	GT66	NA	NA
205	GT69	NA	NA
206	GT7	NA	NA
207	GT76	NA	NA
208	GT8	NA	NA
209	GT87	NA	NA
210	GT9	NA	NA
211	GT90	NA	NA
212	GT92	NA	NA
213	GT95	NA	NA
214	PL1_1	pectin	pectin
215	PL1_2	pectin	pectin
216	PL1_4	pectin	pectin
217	PL1_7	pectin	pectin
218	PL11_2	NA	NA
219	PL3_2	pectin	pectin
220	PL35	NA	NA
221	PL4_1	NA	NA
222	PL4_3	NA	NA
223	PL4_5	NA	NA
224	PL9_3	pectin	pectin
225	CE8	pectin	pectin
226	GH28	pectin	pectin
227	PL26	pectin	pectin
228	GH95	pectin	pectin
229	GH95	xylan	xylan
230	GH95	host glycan	host glycan
231	GH95	xyloglucan	xyloglucan
232	GH95	host glycan	host glycan
233	GH2	pectin	pectin
234	GH2	mannan	alpha-mannan
235	GH2	host glycan	host glycan
236	GH2	chitosan	chitosan
237	GH2	glucan	beta-glucan
238	GH2	galactan	beta-galactan
239	GH2	mannan	beta-mannan
240	GH2	glucuronan	beta-glucuronan
241	GH2	xylan	xylan
242	GH2	arabinan	arabinan
243	GH78	pectin	pectin
244	GH78	rhamnoside	alpha-rhamnoside
245	GH24	peptidoglycan	peptidoglycan
246	GH3	peptidoglycan	peptidoglycan
247	GH3	glucan	beta-glucan
248	GH3	xyloglucan	xyloglucan
249	GH3	polyphenol	polyphenol
250	GH3	xylan	xylan
251	GH3	host glycan	host glycan
252	GH3	chitin	chitin
253	GH3	arabinan	arabinan
254	GH18	peptidoglycan	peptidoglycan
255	GH18	chitin	chitin
256	GH18	host glycan	host glycan
257	AA12	polyphenol	polyphenol
258	GH36	raffinose	raffinose
259	GH36	galactan	alpha-galactan
260	GH36	host glycan	host glycan
261	GH27	raffinose	raffinose
262	GH27	galactan	alpha-galactan
263	GH27	host glycan	host glycan
264	GH27	arabinogalactan protein	arabinogalactan protein
265	GH27	starch	starch
266	CBM20	starch	starch
267	CBM21	starch	starch
268	CBM45	starch	starch
269	GH15	starch	starch
270	GH15	trehalose	trehalose
271	GH31	starch	starch
272	GH31	xyloglucan	xyloglucan
273	GH31	polyphenol	polyphenol
274	GH31	galactan	alpha-galactan
275	GH31	mannan	alpha-mannan
276	GH31	sucrose	sucrose
277	GH31	host glycan	host glycan
278	GH33	sialic acid	sialic acid
279	GH33	pectin	pectin
280	GH100	sucrose	sucrose
281	GH37	trehalose	trehalose
282	GH105	ulvan	ulvan
283	GH105	pectin	pectin
284	GH1	uric acid	uric acid
285	GH1	beta-glucan	beta-glucan
286	GH1	polyphenol	polyphenol
287	GH1	alkaloid	alkaloid
288	GH1	human milk polysaccharide	human milk polysaccharide
289	GH1	beta-galactan	beta-galactan
290	GH1	beta-mannan	beta-mannan
291	GH1	beta-glucuronan	beta-glucuronan
292	GH1	xylan	xylan
293	GH1	beta-fucosides	beta-fucosides
294	AA14	xylan	xylan
295	CBM13	xylan	xylan
296	CBM91	xylan	xylan
297	CE16	xylan	xylan
298	CE2	xylan	xylan
299	GH11	xylan	xylan
300	GH67	xylan	xylan
301	CBM35	xylan	xylan
302	CBM35	beta-mannan	beta-mannan
303	CBM35	beta-galactan	beta-galactan
304	GH10	xylan	xylan
305	GH10	alkaloid	alkaloid
306	GH10	beta-glucan	beta-glucan
307	GH30	xylan	xylan
308	GH30	arabinogalactan protein	arabinogalactan protein
309	GH30	beta-glucan	beta-glucan
310	GH30	beta-glucuronan	beta-glucuronan
311	GH30	beta-fucosides	beta-fucosides
312	GH30	host glycan	host glycan
313	CE12	xylan	xylan
314	CE12	pectin	pectin
315	CE1	xylan	xylan
316	CE1	trehalose	trehalose
317	CE1	polyphenol	polyphenol
318	GH12	xyloglucan	xyloglucan
319	GH12	cellulose	cellulose
320	GH12	beta-glucan	beta-glucan
