TranscriptID	Control_3OMG_F16_1	Control_3OMG_F16_2	Control_3OMG_F16_3	Control_3OMG_F16_4	Control_Water_F16_1	Control_Water_F16_2	Control_Water_F16_3	Plant_3OMG_F16_1	Plant_3OMG_F16_2	Plant_3OMG_F16_3	Plant_3OMG_F16_4	m3OMG_microbeFree_1	m3OMG_microbeFree_2	m3OMG_microbeFree_3	m3OMG_microbeFree_4	Plant_Water_F16_1	Plant_Water_F16_2	Plant_Water_F16_3	Plant_Water_F16_4	water_microbeFree_1	water_microbeFree_2	water_microbeFree_3	water_microbeFree_4
gene_8819	175	169	133	221	240	218	309	29	43	40	21	0	0	0	0	74	48	68	53	0	0	0	0
gene_8820	25	31	41	28	34	37	28	9	4	7	5	0	0	0	0	19	2	5	6	0	0	0	0
gene_8821	3	9	7	3	4	17	4	0	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0
gene_8824	100	88	62	88	90	135	109	24	40	41	25	0	0	0	0	82	31	65	44	0	0	0	0
gene_8829	2	5	12	16	7	30	13	9	9	4	0	0	0	0	0	19	7	19	8	0	0	0	0
gene_8832	7	11	14	15	13	30	20	1	5	8	5	0	0	0	0	12	5	5	5	0	0	0	0
gene_39	34	18	13	23	29	40	32	8	7	19	8	0	0	0	0	19	5	14	16	0	0	0	0
gene_8839	4	2	6	12	6	13	9	3	3	5	2	0	0	0	0	6	1	7	2	0	0	0	0
gene_8841	139	126	104	187	110	158	130	18	38	36	17	0	0	0	0	44	21	44	27	0	0	0	0
gene_8842	100	87	93	119	115	129	138	14	26	14	10	0	0	0	0	42	14	16	31	0	0	0	0
gene_8843	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_8844	2	5	1	5	5	5	11	0	1	4	2	0	0	0	0	10	2	1	4	0	0	0	0
gene_8845	181	184	113	174	179	199	205	36	71	69	47	0	0	0	0	113	47	96	66	0	0	0	0
gene_8846	251	221	185	256	279	347	425	79	119	124	111	0	0	0	0	85	77	111	110	0	0	0	0
gene_8849	20	34	25	31	56	29	38	41	74	58	55	1	0	0	0	36	23	48	26	0	0	0	0
gene_8854	104	165	96	128	133	133	138	30	49	49	25	0	0	0	0	60	30	44	42	0	0	0	0
gene_8856	32	31	38	54	31	56	61	4	6	15	2	0	0	0	0	14	3	14	6	0	0	0	0
gene_8857	19	22	18	31	58	31	63	2	12	5	3	0	0	0	0	5	7	6	11	0	0	0	0
gene_8855	9	7	15	5	7	16	14	2	4	4	0	0	0	0	0	2	0	0	5	0	0	0	0
gene_8853	11	19	11	19	26	7	19	0	0	3	6	0	0	0	0	3	0	2	5	0	0	0	0
gene_8863	67	91	48	79	91	85	71	17	19	11	9	0	0	0	0	30	11	26	23	0	0	0	0
gene_8866	58	36	42	71	101	100	149	3	20	14	28	0	0	0	0	81	38	125	45	0	0	0	0
gene_8867	107	70	52	122	88	139	101	6	15	18	9	0	0	0	0	24	3	23	18	0	0	0	0
gene_1073	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_8870	25	17	23	30	26	28	24	8	6	5	3	0	0	0	0	3	0	2	3	0	0	0	0
gene_8869	39	28	31	39	50	48	64	3	10	16	4	0	0	0	0	16	5	7	12	0	0	0	0
gene_8878	36	28	31	36	36	26	35	3	9	4	2	0	0	0	0	10	1	1	5	0	0	0	0
gene_8880	316	315	237	338	334	402	410	35	50	66	25	0	0	0	0	73	32	69	49	0	0	0	0
gene_8889	50	31	25	46	67	63	58	2	2	3	1	0	0	0	0	8	1	3	2	0	0	0	0
gene_8892	6	13	9	9	10	12	10	6	2	2	2	0	0	0	0	6	6	6	6	0	0	0	0
gene_8895	15	8	7	22	36	18	19	12	3	6	8	0	0	0	0	15	8	11	16	0	0	0	0
gene_8897	529	660	426	703	594	746	879	59	81	97	79	0	0	0	0	190	85	134	110	0	0	0	0
gene_8894	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
gene_8893	32	56	30	46	55	69	94	7	26	11	11	0	0	0	0	20	13	27	22	0	0	0	0
gene_8896	46	65	27	43	31	70	54	8	20	20	12	0	0	0	0	9	7	11	5	0	0	0	0
gene_8901	8	3	6	8	3	0	5	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
gene_8906	71	75	76	84	105	149	132	18	37	45	20	0	0	0	0	44	23	57	31	0	0	0	0
gene_8908	45	22	26	17	21	38	31	3	0	5	2	0	0	0	0	5	2	3	4	0	0	0	0
gene_8909	5	11	7	7	11	7	20	0	1	0	3	0	0	0	0	11	0	5	0	0	0	0	0
gene_8912	15	13	7	16	7	10	12	1	4	4	2	0	0	0	0	2	2	1	0	0	0	0	0
gene_8918	103	74	100	110	107	131	158	37	47	41	20	0	0	0	0	84	23	51	34	0	0	0	0
gene_8921	129	113	69	132	91	148	168	11	33	27	31	0	0	0	0	50	17	36	30	0	0	0	0
gene_8926	5	2	1	5	3	2	7	3	0	1	1	0	0	0	0	2	1	1	1	0	0	0	0
