ID,Organism,Treatment,Carbon_source,Bio_Rep,Tech_Rep,Microbial_growth,Time_Points
F16_Water_NC_1,F16,Water,1/2MS,1,1,2.619,D03
F16_Water_NC_2,F16,Water,1/2MS,1,2,2.791,D03
F16_Water_NC_3,F16,Water,1/2MS,1,3,2.584,D03
F16_Water_NC_4,F16,Water,1/2MS,1,4,2.096,D03
F16_3OMG_NC_1,F16,3OMG,1/2MS,1,1,1.888,D03
F16_3OMG_NC_2,F16,3OMG,1/2MS,1,2,2.281,D03
F16_3OMG_NC_3,F16,3OMG,1/2MS,1,3,2.368,D03
F16_3OMG_NC_4,F16,3OMG,1/2MS,1,4,2.5,D03
F16_Water_Carboxymethylcellulose_1,F16,Water,1/2MS+Carboxymethylcellulose,1,1,2.491,D03
F16_Water_Carboxymethylcellulose_2,F16,Water,1/2MS+Carboxymethylcellulose,1,2,2.525,D03
F16_Water_Carboxymethylcellulose_3,F16,Water,1/2MS+Carboxymethylcellulose,1,3,2.938,D03
F16_Water_Carboxymethylcellulose_4,F16,Water,1/2MS+Carboxymethylcellulose,1,4,2.77,D03
F16_3OMG_Carboxymethylcellulose_1,F16,3OMG,1/2MS+Carboxymethylcellulose,1,1,2.21,D03
F16_3OMG_Carboxymethylcellulose_2,F16,3OMG,1/2MS+Carboxymethylcellulose,1,2,2.13,D03
F16_3OMG_Carboxymethylcellulose_3,F16,3OMG,1/2MS+Carboxymethylcellulose,1,3,2.24,D03
F16_3OMG_Carboxymethylcellulose_4,F16,3OMG,1/2MS+Carboxymethylcellulose,1,4,2.149,D03
F16_Water_?-cellulose_1,F16,Water,1/2MS+cellulose,1,1,2.377,D03
F16_Water_?-cellulose_2,F16,Water,1/2MS+cellulose,1,2,2.857,D03
F16_Water_?-cellulose_3,F16,Water,1/2MS+cellulose,1,3,2.69,D03
F16_Water_?-cellulose_4,F16,Water,1/2MS+cellulose,1,4,2.522,D03
F16_3OMG_?-cellulose_1,F16,3OMG,1/2MS+cellulose,1,1,2.248,D03
F16_3OMG_?-cellulose_2,F16,3OMG,1/2MS+cellulose,1,2,2.173,D03
F16_3OMG_?-cellulose_3,F16,3OMG,1/2MS+cellulose,1,3,1.948,D03
F16_3OMG_?-cellulose_4,F16,3OMG,1/2MS+cellulose,1,4,2.394,D03
F16_Water_Pectin_1,F16,Water,1/2MS+Pectin,1,1,2.647,D03
F16_Water_Pectin_2,F16,Water,1/2MS+Pectin,1,2,2.529,D03
F16_Water_Pectin_3,F16,Water,1/2MS+Pectin,1,3,2.813,D03
F16_Water_Pectin_4,F16,Water,1/2MS+Pectin,1,4,2.731,D03
F16_3OMG_Pectin_1,F16,3OMG,1/2MS+Pectin,1,1,2.348,D03
F16_3OMG_Pectin_2,F16,3OMG,1/2MS+Pectin,1,2,2.096,D03
F16_3OMG_Pectin_3,F16,3OMG,1/2MS+Pectin,1,3,2.078,D03
F16_3OMG_Pectin_4,F16,3OMG,1/2MS+Pectin,1,4,2.161,D03
F16_Water_Starch_1,F16,Water,1/2MS+Starch,1,1,2.885,D03
F16_Water_Starch_2,F16,Water,1/2MS+Starch,1,2,2.731,D03
F16_Water_Starch_3,F16,Water,1/2MS+Starch,1,3,2.524,D03
F16_Water_Starch_4,F16,Water,1/2MS+Starch,1,4,2.548,D03
F16_3OMG_Starch_1,F16,3OMG,1/2MS+Starch,1,1,2.292,D03
F16_3OMG_Starch_2,F16,3OMG,1/2MS+Starch,1,2,2.106,D03
F16_3OMG_Starch_3,F16,3OMG,1/2MS+Starch,1,3,2.085,D03
F16_3OMG_Starch_4,F16,3OMG,1/2MS+Starch,1,4,2.211,D03
F16_Water_Xylan_1,F16,Water,1/2MS+Xylan,1,1,2.777,D03
F16_Water_Xylan_2,F16,Water,1/2MS+Xylan,1,2,2.735,D03
F16_Water_Xylan_3,F16,Water,1/2MS+Xylan,1,3,2.748,D03
F16_Water_Xylan_4,F16,Water,1/2MS+Xylan,1,4,2.501,D03
F16_3OMG_Xylan_1,F16,3OMG,1/2MS+Xylan,1,1,2.534,D03
F16_3OMG_Xylan_2,F16,3OMG,1/2MS+Xylan,1,2,2.415,D03
F16_3OMG_Xylan_3,F16,3OMG,1/2MS+Xylan,1,3,2.571,D03
