	Sample_Name	Value	Well	Strains	Strains2	Concentration	Concentration2	Carbon	Carbon2	Measurement_wavelength	Time3	Filename	Row	Row_num	Column	Expe	Media
1	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.1003	A1	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	1	Broth	PGB
2	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.1027	A1	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	1	Broth	PGB
3	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.1091	A1	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	1	Broth	PGB
4	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.1064	A1	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	1	Broth	PGB
5	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.0995	A2	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	2	Broth	PGB
6	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.1	A2	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	2	Broth	PGB
7	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.1031	A2	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	2	Broth	PGB
8	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.103	A2	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	2	Broth	PGB
9	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.1009	A3	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	3	Broth	PGB
10	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.1024	A3	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	3	Broth	PGB
11	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.102	A3	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	3	Broth	PGB
12	P. cucumerina_375 uM_PGB + 3OMG_Broth	0.1052	A3	F16	P. cucumerina	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	3	Broth	PGB
13	D. macrodidyma_375 uM_PGB + 3OMG_Broth	0.0994	A4	F147	D. macrodidyma	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	4	Broth	PGB
14	D. macrodidyma_375 uM_PGB + 3OMG_Broth	0.0994	A4	F147	D. macrodidyma	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	4	Broth	PGB
15	D. macrodidyma_375 uM_PGB + 3OMG_Broth	0.1035	A4	F147	D. macrodidyma	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	4	Broth	PGB
16	D. macrodidyma_375 uM_PGB + 3OMG_Broth	0.1027	A4	F147	D. macrodidyma	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	4	Broth	PGB
17	D. macrodidyma_375 uM_PGB + 3OMG_Broth	0.1001	A5	F147	D. macrodidyma	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	5	Broth	PGB
18	D. macrodidyma_375 uM_PGB + 3OMG_Broth	0.0998	A5	F147	D. macrodidyma	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	5	Broth	PGB
19	D. macrodidyma_375 uM_PGB + 3OMG_Broth	0.1032	A5	F147	D. macrodidyma	375	375 mM	3OMG	PGB + 3OMG	600	0	cytotoxic-05-06-2023.xlsx	A	1	5	Broth	PGB
