	Wells	Plate	Media	Carbon Concentration	Carbon	Ratio	Microbe	Time	Time2	OD600	Fluorescens
1	A1	P1	1/2MS	75mM	3OMG	100_0	F16	0	0h	0.089199997	182
2	A2	P1	1/2MS	75mM	3OMG	100_0	F16	0	0h	0.0867	180
3	A3	P1	1/2MS	75mM	3OMG	100_0	F16	0	0h	0.089000002	182
4	A4	P1	1/2MS	75mM	D.Glucose	0_100	F16	0	0h	0.089100003	170
5	A5	P1	1/2MS	75mM	D.Glucose	0_100	F16	0	0h	0.089199997	185
6	A6	P1	1/2MS	75mM	D.Glucose	0_100	F16	0	0h	0.088299997	179
7	A7	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.087200001	185
8	A8	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.087700002	178
9	A9	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.088100001	183
10	A10	P1	1/2MS	75mM	Water	0_0	F16	0	0h	0.087399997	169
11	A11	P1	1/2MS	75mM	Water	0_0	F16	0	0h	0.088299997	168
12	A12	P1	1/2MS	75mM	Water	0_0	F16	0	0h	0.089599997	170
13	B1	P1	1/2MS	7.5mM	3OMG	100_0	F16	0	0h	0.088399999	170
14	B2	P1	1/2MS	7.5mM	3OMG	100_0	F16	0	0h	0.086800002	174
15	B3	P1	1/2MS	7.5mM	3OMG	100_0	F16	0	0h	0.089000002	177
16	B4	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	0	0h	0.088200003	175
17	B5	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	0	0h	0.089400001	174
18	B6	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	0	0h	0.087300003	172
19	B7	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	0	0h	0.086199999	171
20	B8	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	0	0h	0.086099997	171
21	B9	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	0	0h	0.086999997	169
22	B10	P1	1/2MS	7.5mM	Water	0_0	F16	0	0h	0.086800002	171
23	B11	P1	1/2MS	7.5mM	Water	0_0	F16	0	0h	0.088299997	165
24	B12	P1	1/2MS	7.5mM	Water	0_0	F16	0	0h	0.088299997	166
25	C1	P1	1/2MS	0.75mM	3OMG	100_0	F16	0	0h	0.0867	167
26	C2	P1	1/2MS	0.75mM	3OMG	100_0	F16	0	0h	0.089400001	177
27	C3	P1	1/2MS	0.75mM	3OMG	100_0	F16	0	0h	0.091899998	177
28	C4	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	0	0h	0.088100001	171
29	C5	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	0	0h	0.090599999	174
30	C6	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	0	0h	0.089199997	167
31	C7	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.086999997	167
32	C8	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.088699996	170
33	C9	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.092200004	184
34	C10	P1	1/2MS	0.75mM	Water	0_0	F16	0	0h	0.088100001	168
35	C11	P1	1/2MS	0.75mM	Water	0_0	F16	0	0h	0.089299999	169
36	C12	P1	1/2MS	0.75mM	Water	0_0	F16	0	0h	0.089400001	175
37	D1	P1	1/2MS	0mM	3OMG	100_0	F16	0	0h	0.087499999	167
38	D2	P1	1/2MS	0mM	3OMG	100_0	F16	0	0h	0.088699996	172
39	D3	P1	1/2MS	0mM	3OMG	100_0	F16	0	0h	0.091700003	179
40	D4	P1	1/2MS	0mM	D.Glucose	0_100	F16	0	0h	0.091600001	180
41	D5	P1	1/2MS	0mM	D.Glucose	0_100	F16	0	0h	0.089500003	180
42	D6	P1	1/2MS	0mM	D.Glucose	0_100	F16	0	0h	0.087800004	167
43	D7	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	0	0h	0.087499999	170
44	D8	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	0	0h	0.088500001	174
45	D9	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	0	0h	0.088100001	170
46	D10	P1	1/2MS	0mM	Water	0_0	F16	0	0h	0.0889	173
47	D11	P1	1/2MS	0mM	Water	0_0	F16	0	0h	0.087700002	168
48	D12	P1	1/2MS	0mM	Water	0_0	F16	0	0h	0.090700001	171
49	E1	P1	M9	75mM	3OMG	100_0	F16	0	0h	0.089699998	168
50	E2	P1	M9	75mM	3OMG	100_0	F16	0	0h	0.092399999	170
51	E3	P1	M9	75mM	3OMG	100_0	F16	0	0h	0.094899997	161
52	E4	P1	M9	75mM	D.Glucose	0_100	F16	0	0h	0.097999997	160
53	E5	P1	M9	75mM	D.Glucose	0_100	F16	0	0h	0.096699998	153
54	E6	P1	M9	75mM	D.Glucose	0_100	F16	0	0h	0.093699999	160
55	E7	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.094400004	166
56	E8	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.092600003	173
57	E9	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.096000001	171
58	E10	P1	M9	75mM	Water	0_0	F16	0	0h	0.095700003	160
59	E11	P1	M9	75mM	Water	0_0	F16	0	0h	0.096299998	169
60	E12	P1	M9	75mM	Water	0_0	F16	0	0h	0.101199999	173
61	F1	P1	M9	7.5mM	3OMG	100_0	F16	0	0h	0.092200004	161
62	F2	P1	M9	7.5mM	3OMG	100_0	F16	0	0h	0.094899997	163
63	F3	P1	M9	7.5mM	3OMG	100_0	F16	0	0h	0.093000002	158
64	F4	P1	M9	7.5mM	D.Glucose	0_100	F16	0	0h	0.092500001	157
65	F5	P1	M9	7.5mM	D.Glucose	0_100	F16	0	0h	0.091600001	157
66	F6	P1	M9	7.5mM	D.Glucose	0_100	F16	0	0h	0.090800002	158
67	F7	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	0	0h	0.095399998	166
68	F8	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	0	0h	0.091600001	160
69	F9	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	0	0h	0.092900001	156
70	F10	P1	M9	7.5mM	Water	0_0	F16	0	0h	0.093000002	164
71	F11	P1	M9	7.5mM	Water	0_0	F16	0	0h	0.092399999	163
72	F12	P1	M9	7.5mM	Water	0_0	F16	0	0h	0.092100002	166
73	G1	P1	M9	0.75mM	3OMG	100_0	F16	0	0h	0.091600001	157
74	G2	P1	M9	0.75mM	3OMG	100_0	F16	0	0h	0.091700003	158
75	G3	P1	M9	0.75mM	3OMG	100_0	F16	0	0h	0.093199998	160
76	G4	P1	M9	0.75mM	D.Glucose	0_100	F16	0	0h	0.099399999	160
77	G5	P1	M9	0.75mM	D.Glucose	0_100	F16	0	0h	0.094700001	164
