	Expe	Plant	System	Bio_rep	Tech_Rep	Microbes	Treatment	Time	Element	Weight_length	Nb	Weight_length_Per_Plant
15	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	2972h	MF	3OMG	1 week	Roots	1.2	1	1.2
28	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	9	MF	3OMG	1 week	Roots	1.58	1	1.58
41	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	7	MF	3OMG	1 week	Roots	1.94	1	1.94
48	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	21	MF	3OMG	1 week	Roots	2.05	1	2.05
66	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	22	MF	3OMG	1 week	Roots	2.53	1	2.53
72	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	8	MF	3OMG	1 week	Roots	3.27	1	3.27
76	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	24	MF	3OMG	1 week	Roots	3.6	1	3.6
81	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	10	MF	3OMG	1 week	Roots	4.21	1	4.21
85	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	15	MF	3OMG	1 week	Roots	4.77	1	4.77
91	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	1	MF	3OMG	1 week	Roots	5.71	1	5.71
93	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	28	MF	3OMG	1 week	Roots	6.05	1	6.05
99	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	12	MF	3OMG	1 week	Roots	7.79	1	7.79
100	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	20	MF	3OMG	1 week	Roots	7.9	1	7.9
103	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	25	MF	3OMG	1 week	Roots	8.7	1	8.7
105	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	18	MF	3OMG	1 week	Roots	9.1	1	9.1
106	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	2	MF	3OMG	1 week	Roots	9.2	1	9.2
107	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	17	MF	3OMG	1 week	Roots	9.23	1	9.23
109	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	5	MF	3OMG	1 week	Roots	9.44	1	9.44
110	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	14	MF	3OMG	1 week	Roots	9.45	1	9.45
112	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	13	MF	3OMG	1 week	Roots	10.34	1	10.34
113	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	26	MF	3OMG	1 week	Roots	10.35	1	10.35
114	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	4	MF	3OMG	1 week	Roots	10.41	1	10.41
115	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	6	MF	3OMG	1 week	Roots	10.77	1	10.77
116	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	19	MF	3OMG	1 week	Roots	11.15	1	11.15
117	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	3	MF	3OMG	1 week	Roots	11.29	1	11.29
120	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	27	MF	3OMG	1 week	Roots	11.6	1	11.6
121	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	11	MF	3OMG	1 week	Roots	11.75	1	11.75
123	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	16	MF	3OMG	1 week	Roots	13.16	1	13.16
125	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	23	MF	3OMG	1 week	Roots	13.65	1	13.65
197	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	9	MF	Water	1 week	Roots	1.77	1	1.77
211	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	6	MF	Water	1 week	Roots	2.28	1	2.28
229	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	25	MF	Water	1 week	Roots	3.07	1	3.07
232	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	21	MF	Water	1 week	Roots	3.51	1	3.51
234	Concentration_Gradient_Agar	Arabidopsis_thaliana	Agar	R1	14	MF	Water	1 week	Roots	3.84	1	3.84
