ID;Expe;Condition;Time;Microbe;Plotting_3OMG;Plotting_Glucose;Conc_3OMG;Conc_Glucose;Rep;Root_Length;Comment;Area_Fungi
;Plant;C1;D03;MF;YES;YES;7.5;7.5;1;1.889;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;2;1.444;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;3;1.96;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;4;1.461;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;5;1.769;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;6;1.513;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;7;2.503;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;8;1.685;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;9;1.544;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;10;2.527;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;11;2.095;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;12;1.376;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;13;1.306;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;14;1.463;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;15;1.546;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;16;1.456;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;17;1.386;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;18;1.271;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;19;1.199;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;20;1.441;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;21;1.525;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;22;1.291;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;23;1.498;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;24;2.057;;NA
;Plant;C1;D03;MF;YES;YES;7.5;7.5;25;1.445;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;1;1.949;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;2;1.567;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;3;1.625;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;4;1.653;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;5;1.324;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;6;1.828;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;7;1.218;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;8;1.155;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;9;1.526;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;10;1.869;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;11;2.221;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;12;1.407;;NA
;Plant;C2;D03;MF;YES;NO;7.5;3.75;13;1.484;;NA
