ID,Treatment,Bio_Rep,Plant,Concentration,Time_Inoc,Time_Measurement,Time_Inoc2,Time_Measurement2,DAI,Date,Root_Length,Comment,No.growth
3OMG_R1_1_15mM_D0_D03,3OMG,R0,1,15mM,D0,D03,0,3,3,22.09.25,2.45,,
3OMG_R1_2_15mM_D0_D03,3OMG,R0,2,15mM,D0,D03,0,3,3,22.09.25,3.209,,
3OMG_R1_3_15mM_D0_D03,3OMG,R0,3,15mM,D0,D03,0,3,3,22.09.25,3.797,,
3OMG_R1_4_15mM_D0_D03,3OMG,R0,4,15mM,D0,D03,0,3,3,22.09.25,3.031,,
3OMG_R1_5_15mM_D0_D03,3OMG,R0,5,15mM,D0,D03,0,3,3,22.09.25,1.909,,
3OMG_R1_6_15mM_D0_D03,3OMG,R0,6,15mM,D0,D03,0,3,3,22.09.25,2.557,,
3OMG_R1_7_15mM_D0_D03,3OMG,R0,7,15mM,D0,D03,0,3,3,22.09.25,2.964,,
3OMG_R1_8_15mM_D0_D03,3OMG,R0,8,15mM,D0,D03,0,3,3,22.09.25,3.425,,
3OMG_R1_9_15mM_D0_D03,3OMG,R0,9,15mM,D0,D03,0,3,3,22.09.25,2.791,,
3OMG_R1_10_15mM_D0_D03,3OMG,R0,10,15mM,D0,D03,0,3,3,22.09.25,3.982,,
3OMG_R1_11_15mM_D0_D03,3OMG,R0,11,15mM,D0,D03,0,3,3,22.09.25,3.553,,
3OMG_R1_12_15mM_D0_D03,3OMG,R0,12,15mM,D0,D03,0,3,3,22.09.25,3.89,,
Water_R1_1_15mM_D0_D03,Water,R0,1,15mM,D0,D03,0,3,3,22.09.25,2.71,,
Water_R1_2_15mM_D0_D03,Water,R0,2,15mM,D0,D03,0,3,3,22.09.25,2.856,,
Water_R1_3_15mM_D0_D03,Water,R0,3,15mM,D0,D03,0,3,3,22.09.25,3.327,,
Water_R1_4_15mM_D0_D03,Water,R0,4,15mM,D0,D03,0,3,3,22.09.25,2.822,,
Water_R1_5_15mM_D0_D03,Water,R0,5,15mM,D0,D03,0,3,3,22.09.25,2.912,,
Water_R1_6_15mM_D0_D03,Water,R0,6,15mM,D0,D03,0,3,3,22.09.25,3.68,,
Water_R1_7_15mM_D0_D03,Water,R0,7,15mM,D0,D03,0,3,3,22.09.25,1.943,,
Water_R1_8_15mM_D0_D03,Water,R0,8,15mM,D0,D03,0,3,3,22.09.25,2.457,,
Water_R1_9_15mM_D0_D03,Water,R0,9,15mM,D0,D03,0,3,3,22.09.25,3.261,,
Water_R1_10_15mM_D0_D03,Water,R0,10,15mM,D0,D03,0,3,3,22.09.25,4.132,,
Water_R1_11_15mM_D0_D03,Water,R0,11,15mM,D0,D03,0,3,3,22.09.25,4.02,,
Water_R1_12_15mM_D0_D03,Water,R0,12,15mM,D0,D03,0,3,3,22.09.25,3.219,,
3OMG_R1_1_15mM_D0_D04,3OMG,R0,1,15mM,D0,D04,0,4,4,23.09.25,4.069,,
3OMG_R1_2_15mM_D0_D04,3OMG,R0,2,15mM,D0,D04,0,4,4,23.09.25,5.468,,
3OMG_R1_3_15mM_D0_D04,3OMG,R0,3,15mM,D0,D04,0,4,4,23.09.25,5.484,,
3OMG_R1_4_15mM_D0_D04,3OMG,R0,4,15mM,D0,D04,0,4,4,23.09.25,4.619,,
3OMG_R1_5_15mM_D0_D04,3OMG,R0,5,15mM,D0,D04,0,4,4,23.09.25,3.225,,
3OMG_R1_6_15mM_D0_D04,3OMG,R0,6,15mM,D0,D04,0,4,4,23.09.25,3.836,,
3OMG_R1_7_15mM_D0_D04,3OMG,R0,7,15mM,D0,D04,0,4,4,23.09.25,3.712,,
3OMG_R1_8_15mM_D0_D04,3OMG,R0,8,15mM,D0,D04,0,4,4,23.09.25,5.57,,
3OMG_R1_9_15mM_D0_D04,3OMG,R0,9,15mM,D0,D04,0,4,4,23.09.25,4.415,,
3OMG_R1_10_15mM_D0_D04,3OMG,R0,10,15mM,D0,D04,0,4,4,23.09.25,5.455,,
3OMG_R1_11_15mM_D0_D04,3OMG,R0,11,15mM,D0,D04,0,4,4,23.09.25,5.591,,
3OMG_R1_12_15mM_D0_D04,3OMG,R0,12,15mM,D0,D04,0,4,4,23.09.25,6.303,,
Water_R1_1_15mM_D0_D04,Water,R0,1,15mM,D0,D04,0,4,4,23.09.25,4.69,,
Water_R1_2_15mM_D0_D04,Water,R0,2,15mM,D0,D04,0,4,4,23.09.25,4.922,,
Water_R1_3_15mM_D0_D04,Water,R0,3,15mM,D0,D04,0,4,4,23.09.25,5.443,,
Water_R1_4_15mM_D0_D04,Water,R0,4,15mM,D0,D04,0,4,4,23.09.25,4.705,,
Water_R1_5_15mM_D0_D04,Water,R0,5,15mM,D0,D04,0,4,4,23.09.25,4.635,,
Water_R1_6_15mM_D0_D04,Water,R0,6,15mM,D0,D04,0,4,4,23.09.25,6.645,,
Water_R1_7_15mM_D0_D04,Water,R0,7,15mM,D0,D04,0,4,4,23.09.25,1.581,,
Water_R1_8_15mM_D0_D04,Water,R0,8,15mM,D0,D04,0,4,4,23.09.25,4.25,,
Water_R1_9_15mM_D0_D04,Water,R0,9,15mM,D0,D04,0,4,4,23.09.25,5.656,,
Water_R1_10_15mM_D0_D04,Water,R0,10,15mM,D0,D04,0,4,4,23.09.25,6.887,,
Water_R1_11_15mM_D0_D04,Water,R0,11,15mM,D0,D04,0,4,4,23.09.25,6.285,,
Water_R1_12_15mM_D0_D04,Water,R0,12,15mM,D0,D04,0,4,4,23.09.25,5.233,,
3OMG_R1_1_15mM_D03_D04,3OMG,R1,1,15mM,D03,D04,3,4,1,23.09.25,1.974,,
3OMG_R1_2_15mM_D03_D04,3OMG,R1,2,15mM,D03,D04,3,4,1,23.09.25,1.482,,
3OMG_R1_3_15mM_D03_D04,3OMG,R1,3,15mM,D03,D04,3,4,1,23.09.25,1.528,,
3OMG_R1_4_15mM_D03_D04,3OMG,R1,4,15mM,D03,D04,3,4,1,23.09.25,2.15,,
3OMG_R1_5_15mM_D03_D04,3OMG,R1,5,15mM,D03,D04,3,4,1,23.09.25,1.637,,
3OMG_R1_6_15mM_D03_D04,3OMG,R1,6,15mM,D03,D04,3,4,1,23.09.25,2.406,,
3OMG_R1_7_15mM_D03_D04,3OMG,R1,7,15mM,D03,D04,3,4,1,23.09.25,1.826,,
3OMG_R1_8_15mM_D03_D04,3OMG,R1,8,15mM,D03,D04,3,4,1,23.09.25,0.77,,No growth
3OMG_R1_9_15mM_D03_D04,3OMG,R1,9,15mM,D03,D04,3,4,1,23.09.25,3.832,,
3OMG_R1_10_15mM_D03_D04,3OMG,R1,10,15mM,D03,D04,3,4,1,23.09.25,1.856,,
3OMG_R1_11_15mM_D03_D04,3OMG,R1,11,15mM,D03,D04,3,4,1,23.09.25,2.362,,
3OMG_R1_12_15mM_D03_D04,3OMG,R1,12,15mM,D03,D04,3,4,1,23.09.25,1.933,,
Water_R1_1_15mM_D03_D04,Water,R1,1,15mM,D03,D04,3,4,1,23.09.25,2.614,,
Water_R1_2_15mM_D03_D04,Water,R1,2,15mM,D03,D04,3,4,1,23.09.25,2.652,,
