	SAMPLE_ID	GROUP	Plant	Treatment	Time	Mg.Plant	Unit	Compound	Labelled	PEAK_AREA	PEAK_AREA_Norm
1	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_3OMG_00	No	10245606	573662150.1
2	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_3OMG_00	No	32312910	1926828265
3	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_3OMG_00	No	48011143	826495834.1
4	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_3OMG_00	No	27035243	769358082
5	05_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.01604	Milligrams	13C_3OMG_00	No	16176132	1008487032
6	06_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.0211	Milligrams	13C_3OMG_00	No	31602496	1497748626
7	07_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02504	Milligrams	13C_3OMG_00	No	30100914	1202113179
8	08_Col0_3OMG_72h	Col0::3OMG::72h	Col0	3OMG	72h	0.02831	Milligrams	13C_3OMG_00	No	34651133	1223989156
9	09_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01452	Milligrams	13C_3OMG_00	No	10478500	721659779.6
10	10_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.01253	Milligrams	13C_3OMG_00	No	13477251	1075598643
11	11_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0146	Milligrams	13C_3OMG_00	No	15608101	1069048014
12	12_Col0_Water_1week	Col0::water::1W	Col0	Water	1week	0.0172	Milligrams	13C_3OMG_00	No	18878514	1097588023
13	13_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01189	Milligrams	13C_3OMG_00	No	14165893	1191412363
14	14_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.01859	Milligrams	13C_3OMG_00	No	18252081	981822539
15	15_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02102	Milligrams	13C_3OMG_00	No	20185675	960308040
16	16_Col0_3OMG_1week	Col0::3OMG::1W	Col0	3OMG	1week	0.02745	Milligrams	13C_3OMG_00	No	23091762	841229945.4
17	17_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06864	Milligrams	13C_3OMG_00	No	27182478	396015122.4
18	18_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05491	Milligrams	13C_3OMG_00	No	39229609	714434693.1
19	19_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.06627	Milligrams	13C_3OMG_00	No	41608531	627863754.3
20	20_Col0_Water_2weeks	Col0::water::2W	Col0	Water	2weeks	0.05377	Milligrams	13C_3OMG_00	No	29979741	557555160.9
21	21_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04707	Milligrams	13C_3OMG_00	No	24219047	514532547.3
22	22_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.04385	Milligrams	13C_3OMG_00	No	29433762	671237445.8
23	23_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.06271	Milligrams	13C_3OMG_00	No	26791773	427232865.6
24	24_Col0_3OMG_2weeks	Col0::3OMG::2W	Col0	3OMG	2weeks	0.02978	Milligrams	13C_3OMG_00	No	18598310	624523505.7
25	Pool_cells_01	POOL	cells	1	Control	NA	Milligrams	13C_3OMG_00	No	25788884	NA
26	Pool_cells_02	POOL	cells	2	Control	NA	Milligrams	13C_3OMG_00	No	24792563	NA
27	Pool_cells_03	POOL	cells	3	Control	NA	Milligrams	13C_3OMG_00	No	24584253	NA
28	00_Ctrl_Ctrl_Ctrl	ctrol::ctrol::1W	Ctrl	Ctrl	Ctrl	NA	Milligrams	13C_3OMG_00	No	NA	NA
29	01_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01786	Milligrams	13C_3OMG_06	Yes	0	0
30	02_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.01677	Milligrams	13C_3OMG_06	Yes	0	0
31	03_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.05809	Milligrams	13C_3OMG_06	Yes	0	0
32	04_Col0_Water_72h	Col0::water::72h	Col0	Water	72h	0.03514	Milligrams	13C_3OMG_06	Yes	0	0
