	locus_name	symbol	full_name
1	18S RRNA	18S RRNA	NULL
2	25S RRNA	25S RRNA	NULL
3	5.8S RRNA	5.8S RRNA	NULL
4	AAN	AAN	ANOTHER ANDANTE
5	AAR1	AAR1	ALLYL ALCOHOL RESISTANT 1
6	AAR2	AAR2	ALLYL ALCOHOL RESISTANT 2
7	ACL1	ACL1	ACAULIS 1
8	ACL2	ACL2	ACAULIS 2
9	ACL3	ACL3	ACAULIS 3
10	ACL4	ACL4	ACAULIS 4
11	ADD1	ADD1	ARRESTED DEVELOPMENT 1
12	ADD2	ADD2	ARRESTED DEVELOPMENT 2
13	ADD3	ADD3	ARRESTED DEVELOPMENT 3
14	ADE1	ADE1	ABA DEREGULATED GENE EXPRESSION 1
15	AGE1	AGE1	AUXIN ALTERED GENE EXPRESSION 1
16	AGE2	AGE2	AUXIN ALTERED GENE EXPRESSION 2
17	AGI1	AGI1	ABERRANT GST1 INDUCTION
18	AHR1	AHR1	ALTERED HYDROTROPIC RESPONSE 1
19	AK2	AK2	ASPARTATE KINASE 2
20	ALB2	ALB2	ALBINA 2
21	ALB2	M4-6-18	NULL
22	ALF3	ALF3	ABERRANT LATERAL ROOT FORMATION 3
23	ALI	ALI	ALIEN
24	ALR-104	ALR-104	ALUMINUM RESISTANT 104
25	ALR-128	ALR-128	ALUMINUM RESISTANT 128
26	ALS2	ALS2	ALUMINUM SENSITIVE 2
27	ALS4	ALS4	ALUMINUM SENSITIVE 4
28	ALS5	ALS5	ALUMINUM SENSITIVE 5
29	ALS7	ALS7	ALUMINUM SENSITIVE 7
30	AMOS2	AMOS2	ammonium overly sensitive 2
31	AND	AND	ANDANTE
32	ANL1	ANL1	ANTHOCYANINLESS 1
33	ARA1	Ara1	Ara1
34	ARA2	ARA2	NULL
35	ARC10	ARC10	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 10
36	ARC4	ARC4	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 4
37	ARC7	ARC7	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 7
38	ARC8	ARC8	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 8
39	ARC9	ARC9	ACCUMULATION AND REPLICATION OF CHLOROPLASTS 9
40	ARP1	ARP1	ALTERED RNASE PROFILES 1
41	ARS1	ARS1	ARSENIC RESISTANCE 1
42	ASC1	ASC1	ACCELERATION OF SYMPTOMS BY CAMV N7 1
43	AT1G01010	ANAC001	NAC domain containing protein 1
44	AT1G01010	NAC001	NAC domain containing protein 1
45	AT1G01010	NTL10	NULL
46	AT1G01020	ARV1	NULL
47	AT1G01030	NGA3	NGATHA3
48	AT1G01040	ASU1	ABNORMAL SUSPENSOR 1
49	AT1G01040	ATDCL1	DICER-LIKE 1
50	AT1G01040	CAF	CARPEL FACTORY
51	AT1G01040	DCL1	dicer-like 1
52	AT1G01040	EMB60	EMBRYO DEFECTIVE 60
53	AT1G01040	EMB76	EMBRYO DEFECTIVE 76
54	AT1G01040	SIN1	SHORT INTEGUMENTS 1
55	AT1G01040	SUS1	SUSPENSOR 1
56	AT1G01046	MIR838A	microRNA838A
57	AT1G01050	AtPPa1	pyrophosphorylase 1
58	AT1G01050	PPa1	pyrophosphorylase 1
59	AT1G01060	LHY	LATE ELONGATED HYPOCOTYL
60	AT1G01060	LHY1	LATE ELONGATED HYPOCOTYL 1
61	AT1G01070	UMAMIT28	Usually multiple acids move in and out Transporters 28
62	AT1G01080	CP28B	CHLOROPLAST RNA BINDING PROTEIN 28B
63	AT1G01090	PDH-E1 ALPHA	pyruvate dehydrogenase E1 alpha
64	AT1G01100	P1w	Ribosomal Protein P1w
65	AT1G01100	RPP1.1	RPP1 co-orthologous gene 1
66	AT1G01100	RPP1A	60S acidic ribosomal protein P1-1
67	AT1G01110	IQD18	IQ-domain 18
68	AT1G01120	KCS1	3-ketoacyl-CoA synthase 1
69	AT1G01140	CIPK9	CBL-interacting protein kinase 9
70	AT1G01140	PKS6	PROTEIN KINASE 6
71	AT1G01140	SnRK3.12	SNF1-RELATED PROTEIN KINASE 3.12
72	AT1G01160	GIF2	GRF1-interacting factor 2
73	AT1G01183	MIR165	MICRORNA 165
74	AT1G01183	MIR165A	microRNA165A
75	AT1G01184	miPEP165a	miPEP165a
76	AT1G01190	CYP78A8	"cytochrome P450, family 78, subfamily A, polypeptide 8"
77	AT1G01200	ATRAB-A3	ARABIDOPSIS RAB GTPASE HOMOLOG A3
78	AT1G01200	ATRABA3	RAB GTPase homolog A3
79	AT1G01200	RABA3	RAB GTPase homolog A3
80	AT1G01220	AtFKGP	Arabidopsis thaliana L-fucokinase/GDP-L-fucose pyrophosphorylase
81	AT1G01220	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
82	AT1G01230	AtORM1	NULL
83	AT1G01230	ORM1	Orosomucoid-like 1
84	AT1G01260	bHLH013	NULL
85	AT1G01260	bHLH13	NULL
