TranscriptID	Control_3OMG_F16_1	Control_3OMG_F16_2	Control_3OMG_F16_3	Control_3OMG_F16_4	Control_Water_F16_1	Control_Water_F16_2	Control_Water_F16_3	m3OMG_F16_1	m3OMG_F16_2	m3OMG_F16_3	m3OMG_F16_4	m3OMG_microbeFree_1	m3OMG_microbeFree_2	m3OMG_microbeFree_3	m3OMG_microbeFree_4	water_F16_1	water_F16_2	water_F16_3	water_F16_4	water_microbeFree_1	water_microbeFree_2	water_microbeFree_3	water_microbeFree_4
AT1G01010.1	AT1G01010.1	0	0	0	0	0	0	0	37	62	65	30	27	6	39	45	30	50	65	58	48	49	9	55
AT1G01020.1	AT1G01020.1	0	0	0	0	0	0	0	9	18	23	14	10	0	27	23	19	33	25	43	30	28	31	25
AT1G01020.2	AT1G01020.2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	1	6	0	2	0	0	3
AT1G01020.3	AT1G01020.3	0	0	0	0	0	0	0	2	18	5	0	12	0	1	24	0	2	18	0	0	9	0	0
AT1G01020.4	AT1G01020.4	0	0	0	0	0	0	0	2	6	0	21	0	0	0	0	0	0	0	10	5	0	0	5
AT1G01020.5	AT1G01020.5	0	0	0	0	0	0	0	10	8	0	0	6	5	4	8	6	3	13	7	9	11	0	4
AT1G01020.6	AT1G01020.6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	2	0	0	0	0
AT1G01030.1	AT1G01030.1	0	0	0	0	0	0	0	8	15	20	18	7	0	22	23	16	11	17	24	28	18	19	17
AT1G01030.2	AT1G01030.2	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	8	0	0	0	0	0	0	0
AT1G01040.1	AT1G01040.1	0	0	0	0	0	0	0	227	404	380	271	150	80	152	320	92	135	385	381	235	162	122	185
AT1G01040.2	AT1G01040.2	0	0	0	0	0	0	0	18	0	19	18	0	0	23	8	65	72	0	36	0	0	0	0
AT1G01050.1	AT1G01050.1	0	0	0	0	0	0	0	230	482	362	242	172	84	238	351	244	284	421	390	341	270	127	284
AT1G01050.2	AT1G01050.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060.1	AT1G01060.1	0	0	0	0	0	0	0	0	0	22	39	79	0	43	0	0	0	0	51	0	135	90	162
AT1G01060.2	AT1G01060.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	30	0	0
AT1G01060.3	AT1G01060.3	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	2	6
AT1G01060.4	AT1G01060.4	0	0	0	0	0	0	0	36	0	6	0	0	57	74	110	89	42	57	33	211	50	0	18
AT1G01060.5	AT1G01060.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060.6	AT1G01060.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060.7	AT1G01060.7	0	0	0	0	0	0	0	16	53	20	0	0	0	0	20	7	8	4	0	0	0	0	0
AT1G01060.8	AT1G01060.8	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	39	57	24	0	0	0	0
AT1G01070.1	AT1G01070.1	0	0	0	0	0	0	0	19	12	20	16	8	0	0	10	20	19	5	20	17	4	13	14
AT1G01070.2	AT1G01070.2	0	0	0	0	0	0	0	0	5	0	0	0	1	8	0	0	0	7	8	0	12	5	0
AT1G01080.1	AT1G01080.1	0	0	0	0	0	0	0	466	738	668	487	372	133	530	606	475	453	765	729	475	491	107	418
AT1G01080.2	AT1G01080.2	0	0	0	0	0	0	0	0	50	19	7	0	0	0	15	7	18	44	19	83	0	89	51
AT1G01080.3	AT1G01080.3	0	0	0	0	0	0	0	59	77	81	87	38	25	68	53	70	137	95	109	87	62	26	34
AT1G01090.1	AT1G01090.1	0	0	0	0	0	4	0	1184	1720	1736	1332	1210	710	1765	1797	1406	1131	1863	1840	2001	1899	1086	1678
AT1G01100.1	AT1G01100.1	0	0	0	0	0	0	0	0	43	8	9	238	444	143	49	87	13	0	65	361	468	954	531
AT1G01100.2	AT1G01100.2	0	0	0	0	0	0	0	487	927	646	432	1082	875	877	1005	763	578	763	645	1654	1759	1578	1669
AT1G01100.3	AT1G01100.3	0	0	2	0	0	0	0	8	10	2	29	0	6	7	93	0	13	40	8	9	18	5	19
AT1G01100.4	AT1G01100.4	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	15	0	0	0	0	0
AT1G01110.1	AT1G01110.1	0	0	0	0	0	0	0	14	7	4	7	0	9	0	0	0	4	0	0	0	0	7	17
AT1G01110.2	AT1G01110.2	0	0	0	0	0	0	0	4	28	54	31	11	0	26	25	24	28	31	31	27	16	0	0
AT1G01120.1	AT1G01120.1	0	0	0	0	0	0	0	335	497	574	391	301	131	511	545	515	389	664	601	543	493	248	411
AT1G01130.1	AT1G01130.1	0	0	0	0	0	0	0	4	8	11	3	10	12	15	1	10	3	10	8	23	14	6	8
AT1G01140.1	AT1G01140.1	0	0	0	0	0	0	0	175	297	219	224	195	120	412	284	292	230	381	281	382	301	186	363
AT1G01140.2	AT1G01140.2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	7	0	0	13	21	0	0	0	0
AT1G01140.3	AT1G01140.3	0	0	0	0	0	0	0	0	0	101	0	0	0	0	23	0	0	0	89	0	0	0	0
AT1G01150.1	AT1G01150.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01150.2	AT1G01150.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01150.3	AT1G01150.3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
AT1G01160.1	AT1G01160.1	0	0	0	0	0	0	0	67	143	80	80	58	35	90	109	97	59	87	116	105	101	61	97
AT1G01160.2	AT1G01160.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AT1G01170.1	AT1G01170.1	0	0	0	0	0	0	0	95	156	137	66	88	66	84	149	64	83	174	141	136	103	75	98
AT1G01170.2	AT1G01170.2	0	0	0	0	0	0	0	1	12	6	0	2	0	0	2	1	11	6	10	3	2	0	1
AT1G01180.1	AT1G01180.1	0	0	0	0	0	0	0	10	52	54	48	25	13	47	36	29	35	41	31	49	58	9	30
AT1G01190.1	AT1G01190.1	0	0	0	0	0	0	0	0	7	0	0	2	1	0	1	0	2	0	2	8	2	3	1
AT1G01190.2	AT1G01190.2	0	0	0	0	0	0	0	0	14	18	11	0	0	3	0	6	0	6	10	0	0	0	0
AT1G01200.1	AT1G01200.1	0	0	0	0	0	0	0	8	19	11	4	8	7	11	14	22	9	11	11	25	22	21	14
AT1G01210.1	AT1G01210.1	0	0	0	0	0	0	0	18	31	23	14	52	29	40	45	29	24	21	28	95	48	65	52
AT1G01210.2	AT1G01210.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01210.3	AT1G01210.3	0	0	0	0	0	0	0	10	6	1	7	4	3	1	3	3	3	8	1	11	17	7	15
AT1G01220.1	AT1G01220.1	0	0	0	0	0	0	0	115	52	85	154	77	0	69	180	0	144	232	175	0	9	0	9
AT1G01220.2	AT1G01220.2	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	16	0	0	0	0
AT1G01220.3	AT1G01220.3	0	0	0	0	0	0	0	0	7	0	5	0	0	0	13	0	7	32	0	0	0	0	0
AT1G01220.4	AT1G01220.4	0	0	0	0	0	0	0	0	76	90	0	0	0	0	7	0	0	0	18	34	0	0	0
AT1G01220.5	AT1G01220.5	0	0	0	0	0	0	0	61	0	0	27	0	0	6	0	22	0	9	0	0	0	0	0
