locus_name	symbol	ENTREZID	3OMGMF_WaterMF	3OMGF16_WaterF16
AT1G01790	KEA1	837332	837332	NULL
AT1G02920	GSTF7	839295	NULL	839295
AT1G02930	GST1	839515	NULL	839515
AT1G04270	RPS15	839564	839564	NULL
AT1G10130	ECA3	837550	837550	NULL
AT1G10760	GWD	837619	837619	NULL
AT1G11600	CYP77B1	837704	837704	NULL
AT1G13030	COILIN	837860	837860	NULL
AT1G18570	MYB51	838438	NULL	838438
AT1G21100	IGMT1	838706	NULL	838706
AT1G21120	IGMT2	838708	NULL	838708
AT1G21250	WAK1	838721	NULL	838721
AT1G22770	FB	838883	838883	NULL
AT1G24100	UGT74B1	839022	NULL	839022
AT1G25220	TRP4	839103	NULL	839103
AT1G26380	FOX	839180	NULL	839180
AT1G26410	AtBBE6	839183	NULL	839183
AT1G26420	AtBBE7	839184	NULL	839184
AT1G26880	NA	838331	838331	NULL
AT1G27320	HK3	839621	839621	NULL
AT1G30360	ERD4	839916	839916	NULL
AT1G30755	PSI2	839956	NULL	839956
AT1G43850	SEU	840981	840981	NULL
AT1G48630	RACK1B	841284	841284	NULL
AT1G50030	TOR	841427	841427	NULL
AT1G53230	TCP3	841756	841756	NULL
AT1G56240	PP2-B13	842077	NULL	842077
AT1G56250	PP2-B14	842078	NULL	842078
AT1G59218	RPP13	842234	842234	NULL
AT1G59620	CW9	842252	842252	NULL
AT1G59750	ARF1	842268	842268	NULL
AT1G59870	PDR8	842281	842281	NULL
AT1G61340	FBS1	842428	NULL	842428
AT1G63700	MAPKKK4	842674	842674	NULL
AT1G64160	DIR5	842720	NULL	842720
AT1G64170	CHX16	842721	842721	NULL
AT1G65310	XTH17	842839	NULL	842839
AT1G65390	PP2-A5	842851	NULL	842851
AT1G66270	BGLU21	842944	NULL	842944
AT1G66280	BGLU22	842945	NULL	842945
AT1G66580	RPL10C	842976	842976	NULL
AT1G66700	PXMT1	842988	NULL	842988
AT1G67980	CCOAMT	843126	NULL	843126
AT1G69830	AMY3	843319	843319	NULL
AT1G69920	GSTU12	843328	NULL	843328
AT1G72390	PHL	843571	843571	NULL
AT1G73260	KTI1	843660	843660	NULL
AT1G74100	SOT16	843750	NULL	843750
AT1G79680	WAKL10	844307	NULL	844307
AT1G80490	TPR1	844388	844388	NULL
AT1G80680	SAR3	844407	844407	NULL
AT1G80750	RPL7A	844414	844414	NULL
AT1G80820	CCR2	844421	NULL	844421
AT2G01170	GABP	814645	814645	NULL
AT2G02010	GAD4	814732	NULL	814732
AT2G02930	GSTF3	814822	NULL	814822
AT2G04390	dS17	814978	814978	NULL
AT2G04400	IGPS	814980	NULL	814980
AT2G19730	NA	816492	816492	NULL
AT2G19750	RPS30A	816494	816494	NULL
AT2G20060	NA	816525	816525	NULL
AT2G20300	ALE2	816549	816549	NULL
AT2G20450	NA	816564	816564	NULL
AT2G22330	CYP79B3	816765	NULL	816765
AT2G24180	CYP71B6	816952	NULL	816952
AT2G24850	TAT	817022	NULL	817022
AT2G25930	ELF3	817134	817134	NULL
AT2G26560	PLA	817197	NULL	817197
AT2G27530	PGY1	817299	817299	NULL
AT2G29460	GSTU4	817495	NULL	817495
AT2G37270	RPS5B	818304	818304	NULL
AT2G38470	WRKY33	818429	NULL	818429
AT2G39460	RPL23A	818531	818531	NULL
AT2G40840	DPE2	818682	818682	NULL
AT2G41100	TCH3	818709	NULL	818709
AT2G43000	JUB1	818902	NULL	818902
AT2G44950	HUB1	819104	819104	NULL
AT2G46400	WRKY46	819248	NULL	819248
AT2G46650	CB5-C	819277	NULL	819277
AT3G01280	VDAC1	820914	820914	NULL
AT3G01500	SABP3	821134	821134	NULL
AT3G02560	NA	821308	821308	NULL
AT3G03600	RPS2	821211	821211	NULL
AT3G03670	NA	821193	NULL	821193
AT3G04400	RPL23	819595	819595	NULL
AT3G04840	NA	819644	819644	NULL
AT3G05830	AtNEAP1	819752	819752	NULL
AT3G08760	ATSIK	820023	NULL	820023
AT3G12280	RBR1	820408	820408	NULL
AT3G12980	HAC5	820484	820484	NULL
AT3G14470	NA	820670	820670	NULL
AT3G15880	TPR4	820831	820831	NULL
AT3G16080	NA	820853	820853	NULL
AT3G16390	NSP3	820886	NULL	820886
AT3G23390	RPL36	821920	821920	NULL
AT3G26830	PAD3	822298	NULL	822298
AT3G28930	AIG2	822529	NULL	822529
AT3G44860	FAMT	823620	NULL	823620
AT3G46970	PHS2	823850	823850	NULL
AT3G48090	EDS1	823964	NULL	823964
AT3G49240	emb1796	824085	824085	NULL
AT3G50480	HR4	824212	NULL	824212
AT3G51240	F3H	824287	824287	NULL
AT3G52430	PAD4	824408	NULL	824408
AT3G54640	TRP3	824629	NULL	824629
AT3G55750	NA	824741	824741	NULL
AT3G55980	SZF1	824764	NULL	824764
AT3G56400	WRKY70	824807	NULL	824807
AT3G57520	RS2	824919	NULL	824919
AT3G61060	PP2-A13	825278	NULL	825278
AT3G62870	NA	825462	825462	NULL
AT4G00450	CCT	827954	827954	NULL
AT4G02520	GSTF2	827931	NULL	827931
AT4G10120	SPS4F	826603	NULL	826603
AT4G12320	CYP706A6	826841	NULL	826841
AT4G14690	ELIP2	827119	827119	NULL
AT4G15290	CSLB05	827195	NULL	827195
AT4G16110	RR2	827297	827297	NULL
AT4G16860	RPP4	827395	827395	NULL
AT4G16890	SNC1	827397	827397	NULL
AT4G16950	RPP5	827403	827403	NULL
AT4G17230	SCL13	827435	NULL	827435
AT4G17330	G2484-1	827445	827445	NULL
AT4G18390	TCP2	827568	827568	NULL
AT4G18760	RLP51	827610	827610	NULL
AT4G22330	ATCES1	828328	828328	NULL
AT4G27070	TSB2	828815	NULL	828815
AT4G28370	FLY1	828953	828953	NULL
AT4G29140	ADP1	829035	829035	NULL
AT4G30530	GGP1	829176	NULL	829176
AT4G31500	CYP83B1	829277	NULL	829277
AT4G32551	RON2	829390	829390	NULL
AT4G33530	KUP5	829492	829492	NULL
AT4G34555	NA	829607	829607	NULL
AT4G36140	NA	829771	829771	NULL
AT4G36670	PMT6	829820	829820	NULL
AT4G39950	CYP79B2	830154	NULL	830154
AT5G01770	RAPTOR2	831681	831681	NULL
AT5G04360	PU1	830315	830315	NULL
AT5G05730	TRP5	830457	NULL	830457
AT5G08520	MYBS2	830751	830751	NULL
AT5G17880	CSA1	831656	831656	NULL
AT5G17990	TRP1	831666	NULL	831666
AT5G20230	BCB	832145	NULL	832145
AT5G21930	HMA8	832253	832253	NULL
AT5G23150	ART1	832379	832379	NULL
AT5G23740	RPS11-BETA	832439	832439	NULL
AT5G25250	FLOT1	832596	NULL	832596
AT5G26570	GWD3	832706	832706	832706
AT5G44070	PCS1	834430	NULL	834430
