sampleID	plant_reads	fungal_reads	total_reads	prop.plant	prop.fungi
1	Control_3OMG_F16_1	216	1042391	1042607	0.000207172980806766	0.999792827019193
2	Control_3OMG_F16_2	390	1083305	1083695	0.000359879855494396	0.999640120144506
3	Control_3OMG_F16_3	136	820076	820212	0.000165810790381023	0.999834189209619
4	Control_3OMG_F16_4	214	1239581	1239795	0.000172609181356595	0.999827390818643
5	Control_Water_F16_1	439	1181799	1182238	0.000371329630751169	0.999628670369249
6	Control_Water_F16_2	374	1388071	1388445	0.000269366089402173	0.999730633910598
7	Control_Water_F16_3	210	1538419	1538629	0.00013648514359212	0.999863514856408
8	m3OMG_F16_1	4353504	225432	4578936	0.95076760190577	0.0492323980942298
9	m3OMG_F16_2	7013755	362443	7376198	0.950863168260939	0.0491368317390612
10	m3OMG_F16_3	6975676	347672	7323348	0.952525538865557	0.0474744611344429
11	m3OMG_F16_4	5060610	246325	5306935	0.95358431938586	0.0464156806141398
12	m3OMG_microbeFree_1	4017003	4452	4021455	0.998892938003782	0.00110706199621779
13	m3OMG_microbeFree_2	2331247	3699	2334946	0.998415809187878	0.00158419081212157
14	m3OMG_microbeFree_3	5930693	1181	5931874	0.999800906088026	0.000199093911974529
15	m3OMG_microbeFree_4	6335946	44	6335990	0.999993055544595	6.94445540475916e-06
16	water_F16_1	5604987	593326	6198313	0.904276211930569	0.0957237880694311
17	water_F16_2	4769914	250899	5020813	0.950028212562388	0.0499717874376122
18	water_F16_3	7309812	473308	7783120	0.939187883522289	0.0608121164777107
19	water_F16_4	7229987	380688	7610675	0.949979732415325	0.0500202675846755
20	water_microbeFree_1	6748891	966	6749857	0.999856885856989	0.000143114143010733
21	water_microbeFree_2	5928774	1920	5930694	0.999676260484861	0.000323739515139375
22	water_microbeFree_3	3752353	7769	3760122	0.997933843635925	0.00206615636407542
23	water_microbeFree_4	6215493	1572	6217065	0.999747147568829	0.0002528524311713
