Row,Experiment,ID,Plant,Microbes,Treatment,Bio_rep,Rep,Time_Point,Nb,Root_Length
1,Sugars,#REF!,Col0,MF,Water,Rep 1,1,D07,NA,17
2,Sugars,#REF!,Col0,MF,Water,Rep 1,2,D07,NA,9
3,Sugars,#REF!,Col0,MF,Water,Rep 1,3,D07,NA,10
4,Sugars,#REF!,Col0,MF,Water,Rep 1,4,D07,NA,3
5,Sugars,#REF!,Col0,MF,Water,Rep 1,5,D07,NA,16
6,Sugars,#REF!,Col0,MF,Water,Rep 1,6,D07,NA,13
7,Sugars,#REF!,Col0,MF,Water,Rep 1,7,D07,NA,18
8,Sugars,#REF!,Col0,MF,Water,Rep 1,8,D07,NA,16
9,Sugars,#REF!,Col0,MF,Water,Rep 1,9,D07,NA,16
10,Sugars,#REF!,Col0,MF,Water,Rep 1,10,D07,NA,9
11,Sugars,#REF!,Col0,MF,Water,Rep 1,11,D07,NA,14
12,Sugars,#REF!,Col0,MF,Water,Rep 1,12,D07,NA,19
13,Sugars,#REF!,Col0,MF,Water,Rep 1,13,D07,NA,17
14,Sugars,#REF!,Col0,MF,Water,Rep 1,14,D07,NA,13
15,Sugars,#REF!,Col0,MF,Water,Rep 1,15,D07,NA,13
16,Sugars,#REF!,Col0,MF,Water,Rep 1,16,D07,NA,17
17,Sugars,#REF!,Col0,MF,Water,Rep 1,17,D07,NA,11
18,Sugars,#REF!,Col0,MF,Water,Rep 1,18,D07,NA,12
19,Sugars,#REF!,Col0,MF,Water,Rep 1,19,D07,NA,13
20,Sugars,#REF!,Col0,MF,Water,Rep 1,20,D07,NA,17
21,Sugars,#REF!,Col0,MF,Water,Rep 1,21,D07,NA,17
22,Sugars,#REF!,Col0,MF,Water,Rep 1,22,D07,NA,15
23,Sugars,#REF!,Col0,MF,Water,Rep 1,23,D07,NA,14
24,Sugars,#REF!,Col0,MF,Water,Rep 1,24,D07,NA,17
25,Sugars,#REF!,Col0,MF,Water,Rep 1,25,D07,NA,22
26,Sugars,#REF!,Col0,MF,Water,Rep 1,26,D07,NA,18
27,Sugars,#REF!,Col0,MF,Water,Rep 1,27,D07,NA,12
28,Sugars,#REF!,Col0,MF,Water,Rep 1,28,D07,NA,15
29,Sugars,#REF!,Col0,MF,Water,Rep 1,29,D07,NA,12
30,Sugars,#REF!,Col0,MF,Water,Rep 1,30,D07,NA,13
31,Sugars,#REF!,Col0,MF,Water,Rep 1,31,D07,NA,14
32,Sugars,#REF!,Col0,MF,Water,Rep 1,32,D07,NA,10
33,Sugars,#REF!,Col0,MF,Water,Rep 1,33,D07,NA,14
34,Sugars,#REF!,Col0,MF,Water,Rep 1,34,D07,NA,15
35,Sugars,#REF!,Col0,MF,Water,Rep 1,35,D07,NA,11
36,Sugars,#REF!,Col0,MF,Water,Rep 1,36,D07,NA,16
37,Sugars,#REF!,Col0,MF,Water,Rep 1,37,D07,NA,15
38,Sugars,#REF!,Col0,MF,Water,Rep 1,38,D07,NA,13
39,Sugars,#REF!,Col0,MF,Water,Rep 1,39,D07,NA,13
40,Sugars,#REF!,Col0,MF,Water,Rep 1,40,D07,NA,14
41,Sugars,#REF!,Col0,MF,Water,Rep 1,41,D07,NA,19
42,Sugars,#REF!,Col0,MF,Water,Rep 1,42,D07,NA,14
43,Sugars,#REF!,Col0,MF,Water,Rep 1,43,D07,NA,16
44,Sugars,#REF!,Col0,MF,Water,Rep 1,44,D07,NA,10
45,Sugars,#REF!,Col0,MF,Water,Rep 1,45,D07,NA,15
46,Sugars,#REF!,Col0,MF,Water,Rep 1,46,D07,NA,12
47,Sugars,#REF!,Col0,MF,Water,Rep 1,47,D07,NA,4
48,Sugars,#REF!,Col0,MF,Water,Rep 1,48,D07,NA,16
49,Sugars,#REF!,Col0,MF,Water,Rep 1,49,D07,NA,11
50,Sugars,#REF!,Col0,MF,Water,Rep 1,50,D07,NA,6
51,Sugars,#REF!,Col0,MF,3OMG,Rep 1,1,D07,NA,14
52,Sugars,#REF!,Col0,MF,3OMG,Rep 1,2,D07,NA,16
53,Sugars,#REF!,Col0,MF,3OMG,Rep 1,3,D07,NA,7
54,Sugars,#REF!,Col0,MF,3OMG,Rep 1,4,D07,NA,16
55,Sugars,#REF!,Col0,MF,3OMG,Rep 1,5,D07,NA,12
56,Sugars,#REF!,Col0,MF,3OMG,Rep 1,6,D07,NA,2
57,Sugars,#REF!,Col0,MF,3OMG,Rep 1,7,D07,NA,12
58,Sugars,#REF!,Col0,MF,3OMG,Rep 1,8,D07,NA,13
59,Sugars,#REF!,Col0,MF,3OMG,Rep 1,9,D07,NA,16
60,Sugars,#REF!,Col0,MF,3OMG,Rep 1,10,D07,NA,3
61,Sugars,#REF!,Col0,MF,3OMG,Rep 1,11,D07,NA,16
62,Sugars,#REF!,Col0,MF,3OMG,Rep 1,12,D07,NA,12
63,Sugars,#REF!,Col0,MF,3OMG,Rep 1,13,D07,NA,4
64,Sugars,#REF!,Col0,MF,3OMG,Rep 1,14,D07,NA,12
65,Sugars,#REF!,Col0,MF,3OMG,Rep 1,15,D07,NA,7
66,Sugars,#REF!,Col0,MF,3OMG,Rep 1,16,D07,NA,14
67,Sugars,#REF!,Col0,MF,3OMG,Rep 1,17,D07,NA,15
68,Sugars,#REF!,Col0,MF,3OMG,Rep 1,18,D07,NA,4
69,Sugars,#REF!,Col0,MF,3OMG,Rep 1,19,D07,NA,8
70,Sugars,#REF!,Col0,MF,3OMG,Rep 1,20,D07,NA,11
71,Sugars,#REF!,Col0,MF,3OMG,Rep 1,21,D07,NA,11
72,Sugars,#REF!,Col0,MF,3OMG,Rep 1,22,D07,NA,11
73,Sugars,#REF!,Col0,MF,3OMG,Rep 1,23,D07,NA,17
74,Sugars,#REF!,Col0,MF,3OMG,Rep 1,24,D07,NA,16
75,Sugars,#REF!,Col0,MF,3OMG,Rep 1,25,D07,NA,17
76,Sugars,#REF!,Col0,MF,3OMG,Rep 1,26,D07,NA,16
77,Sugars,#REF!,Col0,MF,3OMG,Rep 1,27,D07,NA,3
78,Sugars,#REF!,Col0,MF,3OMG,Rep 1,28,D07,NA,13
79,Sugars,#REF!,Col0,MF,3OMG,Rep 1,29,D07,NA,16
80,Sugars,#REF!,Col0,MF,3OMG,Rep 1,30,D07,NA,17
81,Sugars,#REF!,Col0,MF,3OMG,Rep 1,31,D07,NA,3
82,Sugars,#REF!,Col0,MF,3OMG,Rep 1,32,D07,NA,16
83,Sugars,#REF!,Col0,MF,3OMG,Rep 1,33,D07,NA,17
84,Sugars,#REF!,Col0,MF,3OMG,Rep 1,34,D07,NA,18
85,Sugars,#REF!,Col0,MF,3OMG,Rep 1,35,D07,NA,6
86,Sugars,#REF!,Col0,MF,3OMG,Rep 1,36,D07,NA,16
87,Sugars,#REF!,Col0,MF,3OMG,Rep 1,37,D07,NA,14
88,Sugars,#REF!,Col0,MF,3OMG,Rep 1,38,D07,NA,12
89,Sugars,#REF!,Col0,MF,3OMG,Rep 1,39,D07,NA,6
90,Sugars,#REF!,Col0,MF,3OMG,Rep 1,40,D07,NA,13
91,Sugars,#REF!,Col0,MF,3OMG,Rep 1,41,D07,NA,4
92,Sugars,#REF!,Col0,MF,3OMG,Rep 1,42,D07,NA,3
93,Sugars,#REF!,Col0,MF,3OMG,Rep 1,43,D07,NA,15
94,Sugars,#REF!,Col0,MF,3OMG,Rep 1,44,D07,NA,4
95,Sugars,#REF!,Col0,MF,3OMG,Rep 1,45,D07,NA,12
96,Sugars,#REF!,Col0,MF,3OMG,Rep 1,46,D07,NA,11
97,Sugars,#REF!,Col0,MF,3OMG,Rep 1,47,D07,NA,3
98,Sugars,#REF!,Col0,MF,3OMG,Rep 1,48,D07,NA,3
99,Sugars,#REF!,Col0,MF,3OMG,Rep 1,49,D07,NA,7
100,Sugars,#REF!,Col0,MF,3OMG,Rep 1,50,D07,NA,11
101,Sugars,#REF!,HXK1,MF,Water,Rep 1,1,D07,NA,6
102,Sugars,#REF!,HXK1,MF,Water,Rep 1,2,D07,NA,10
103,Sugars,#REF!,HXK1,MF,Water,Rep 1,3,D07,NA,14
104,Sugars,#REF!,HXK1,MF,Water,Rep 1,4,D07,NA,1
105,Sugars,#REF!,HXK1,MF,Water,Rep 1,5,D07,NA,0.98
106,Sugars,#REF!,HXK1,MF,Water,Rep 1,6,D07,NA,2
107,Sugars,#REF!,HXK1,MF,Water,Rep 1,7,D07,NA,5
108,Sugars,#REF!,HXK1,MF,Water,Rep 1,8,D07,NA,2
109,Sugars,#REF!,HXK1,MF,Water,Rep 1,9,D07,NA,13
110,Sugars,#REF!,HXK1,MF,Water,Rep 1,10,D07,NA,15
111,Sugars,#REF!,HXK1,MF,Water,Rep 1,11,D07,NA,3
112,Sugars,#REF!,HXK1,MF,Water,Rep 1,12,D07,NA,8
113,Sugars,#REF!,HXK1,MF,Water,Rep 1,13,D07,NA,5
114,Sugars,#REF!,HXK1,MF,Water,Rep 1,14,D07,NA,9
115,Sugars,#REF!,HXK1,MF,Water,Rep 1,15,D07,NA,2
116,Sugars,#REF!,HXK1,MF,Water,Rep 1,16,D07,NA,1
117,Sugars,#REF!,HXK1,MF,Water,Rep 1,17,D07,NA,1
118,Sugars,#REF!,HXK1,MF,Water,Rep 1,18,D07,NA,0.85
119,Sugars,#REF!,HXK1,MF,Water,Rep 1,19,D07,NA,3
120,Sugars,#REF!,HXK1,MF,Water,Rep 1,20,D07,NA,4
121,Sugars,#REF!,HXK1,MF,Water,Rep 1,21,D07,NA,1
122,Sugars,#REF!,HXK1,MF,Water,Rep 1,22,D07,NA,1
123,Sugars,#REF!,HXK1,MF,Water,Rep 1,23,D07,NA,10
124,Sugars,#REF!,HXK1,MF,Water,Rep 1,24,D07,NA,3
125,Sugars,#REF!,HXK1,MF,Water,Rep 1,25,D07,NA,1
126,Sugars,#REF!,HXK1,MF,Water,Rep 1,26,D07,NA,12
127,Sugars,#REF!,HXK1,MF,Water,Rep 1,27,D07,NA,7
128,Sugars,#REF!,HXK1,MF,Water,Rep 1,28,D07,NA,4
129,Sugars,#REF!,HXK1,MF,Water,Rep 1,29,D07,NA,2
130,Sugars,#REF!,HXK1,MF,Water,Rep 1,30,D07,NA,1
131,Sugars,#REF!,HXK1,MF,Water,Rep 1,31,D07,NA,6
132,Sugars,#REF!,HXK1,MF,Water,Rep 1,32,D07,NA,1
