FEATURE_ID	Sample_ID	Carbon	Microbe	Time.point	Rep	Number.Plants	SFW	SFW.Plant	2(S)-3but GLS	2pe GLS	3but GLS	3bzo GLS	3msp GLS	4bzo GLS	4MOI3M GLS	4msb GLS	4mtb GLS	5msp GLS	7msh	7mth GLS	8mso GLS	8mto GLS	9msn GLS	I3M GLS	NMOI3M GLS	Camalexin
01_Water_MF_72h	1	Water	MF	72h	1	50	12.7	0.254	136746	1216019	105452	68367421	147795	455567	1401031	50203378	369253292	5381147	23006842	53703586	111580313	126147371	162077	22857163	3845526	0
02_Water_MF_72h	2	Water	MF	72h	2	50	12	0.24	101570	572585	64054	33596619	124948	139064	930465	25712267	184437588	3076566	11774222	22660777	50742511	56107818	93532	10214798	1820069	0
03_Water_MF_72h	3	Water	MF	72h	3	50	12.2	0.244	192216	1935090	147720	84055059	240491	552006	1672249	66628977	544408208	6886239	26808780	75225440	137302885	169041262	252599	30507558	5569145	0
04_Water_MF_72h	4	Water	MF	72h	4	50	12.9	0.258	187748	1683070	123578	85584138	194200	614666	1635856	61929444	506746098	6745042	28478221	73829476	134628502	173597100	213065	32817566	6518930	0
05_3OMG_MF_72h	5	3OMG	MF	72h	1	50	12.6	0.252	132298	973734	100307	57914681	144367	349722	1395888	45898432	293985819	5052208	20080399	37395353	94266477	97198607	144463	20585114	3317324	0
06_3OMG_MF_72h	6	3OMG	MF	72h	2	50	12.9	0.258	184729	1388967	142654	77090416	326689	502098	1853814	60989828	427426054	6771561	27212041	59881463	126333975	141411403	187455	26419772	4678520	0
07_3OMG_MF_72h	7	3OMG	MF	72h	3	50	13.1	0.262	139662	905712	110959	66672066	163893	338761	1372821	48110369	300188232	5309724	21185558	39180135	107208063	96718641	168679	20379105	3221888	0
08_3OMG_MF_72h	8	3OMG	MF	72h	4	50	12.8	0.256	163422	917217	107161	55223080	173643	316948	1326195	47132351	288412338	5766222	19248910	37890121	88108787	89731854	133806	17458525	3070238	0
09_Water_F16_72h	9	Water	F16	72h	1	50	12.7	0.254	200026	2135057	152120	99628341	240367	729515	6376929	66983823	587260558	6855091	28568494	83173214	141510183	214183913	244593	30985857	6134620	0
10_Water_F16_72h	10	Water	F16	72h	2	50	13.2	0.264	162838	1278885	134298	64616369	227154	447049	4678410	54063721	371835661	5781470	21651428	48708137	96826931	125122693	157425	20483169	3915749	10200
11_Water_F16_72h	11	Water	F16	72h	3	50	12.7	0.254	203459	1590272	159266	83416594	265924	633935	5639286	61355522	516667270	6575266	24610664	68028607	135901466	177419138	214782	24056018	5522291	17195
12_Water_F16_72h	12	Water	F16	72h	4	50	12	0.24	223600	1958403	185582	97949690	273412	732452	6805822	76676434	582638581	8309838	30347007	75737536	146120341	198559045	238655	30631593	6792401	14840
13_3OMG_F16_72h	13	3OMG	F16	72h	1	50	12.4	0.248	130666	994864	101656	61873580	142653	267829	5159498	43901912	324529737	4867102	20142064	41192454	89231329	101421785	150568	17562342	3292887	12755
14_3OMG_F16_72h	14	3OMG	F16	72h	2	50	12.6	0.252	134427	1272223	103573	65383579	185946	382086	4701990	55640478	376169939	5736371	20908219	47633489	101597025	112005992	164151	19265496	3915895	0
15_3OMG_F16_72h	15	3OMG	F16	72h	3	50	12.3	0.246	117466	571428	72190	37164791	86522	202181	3418994	28487907	168508080	3395027	12825694	22196546	52939586	57464517	84148	9344388	1733277	4470
16_3OMG_F16_72h	16	3OMG	F16	72h	4	50	12.9	0.258	139782	1188761	117919	64842777	211275	393160	6042063	55577976	348234314	6149650	23434877	49979766	109359879	123528984	169743	19837975	3653254	0
17_Water_HK_F16_72h	17	Water	HKF16	72h	1	50	12.9	0.258	130623	1620544	117296	78878138	190746	603409	1618229	58143665	436790837	6122927	24931943	71528327	114404299	154361984	212347	30768644	5444801	0
18_Water_HK_F16_72h	18	Water	HKF16	72h	2	50	12.8	0.256	170211	1269583	133507	68295873	212121	397500	1491100	53861279	367772110	5476932	23172469	51930263	108365585	119712969	185286	23685816	4132249	0
19_Water_HK_F16_72h	19	Water	HKF16	72h	3	50	12.1	0.242	135521	1051554	100608	59195811	156095	399529	1491565	46074855	318398061	5122302	19148517	43488442	100965356	112778688	177498	22317954	4247821	0
21_3OMG_HK_F16_72h	21	3OMG	HKF16	72h	1	50	12.6	0.252	0	151573	0	6136427	173297	44619	1097097	8864796	26954471	507410	996724	5547266	3794660	16149838	0	6882922	6799279	0
22_3OMG_HK_F16_72h	22	3OMG	HKF16	72h	2	50	12.9	0.258	156786	1672188	117805	73487989	172187	534853	2131534	56582233	449019480	5832294	22597795	67480258	116448815	156169516	202169	31118836	7254269	0
23_3OMG_HK_F16_72h	23	3OMG	HKF16	72h	3	50	12.7	0.254	158634	1497413	123975	71178252	220183	536738	1913213	52957720	468762409	5732618	23796543	68540343	112928001	155466837	197532	29648527	5926767	0
24_3OMG_HK_F16_72h	24	3OMG	HKF16	72h	4	50	12.9	0.258	113380	1109031	69113	49116670	152897	360589	1012213	35347898	323611395	3618883	14590796	44534752	76332868	109031829	124919	19524342	3124961	0
25_Water_MF_1week	25	Water	MF	1week	1	10	5.3	0.53	0	154893	0	7079982	143800	77978	1396675	8138620	37194913	504728	1178411	8831207	4583076	24722498	0	6490507	10187784	0
26_Water_MF_1week	26	Water	MF	1week	2	10	5.7	0.57	0	201622	0	8712401	202091	89877	1585950	10358158	38757335	692260	1654800	9999095	6277601	27274278	0	7460841	11074284	0
27_Water_MF_1week	27	Water	MF	1week	3	10	5.7	0.57	0	138627	0	7156048	136499	71433	1315723	8021330	37323278	498709	1041013	7697138	3612945	22131008	0	5484646	7598614	0
28_Water_MF_1week	28	Water	MF	1week	4	10	5.7	0.57	0	180113	0	7442903	233748	63030	1445384	9854291	38200010	653787	1217844	7617732	4286829	22690200	0	7589174	8807234	0
29_3OMG_MF_1week	29	3OMG	MF	1week	1	10	5.8	0.58	0	125148	0	7091864	129594	69691	1411604	8011817	35980605	489804	983888	7257262	4193639	22086677	0	6780838	8016637	0
30_3OMG_MF_1week	30	3OMG	MF	1week	2	10	5.5	0.55	0	117120	0	4715818	177928	48797	1048697	7850110	24694246	431177	799989	4794551	3448513	15782268	0	6467904	6286577	0
31_3OMG_MF_1week	31	3OMG	MF	1week	3	10	5.6	0.56	0	111496	0	5135341	107302	58963	974819	7307024	26456985	469399	888116	5103200	3647843	18668575	0	4714242	6001502	0
32_3OMG_MF_1week	32	3OMG	MF	1week	4	10	5.6	0.56	0	171162	0	6384691	120465	57337	1222942	8200466	35177182	483324	1066388	6960714	3774500	21536140	0	7057610	7581435	0
33_Water_F16_1week	33	Water	F16	1week	1	12	5.5	0.458333333	0	30352	0	1764715	23062	16342	3143044	2560249	8077039	204175	262374	1681591	902909	5471994	0	600081	650764	747621
34_Water_F16_1week	34	Water	F16	1week	2	12	5.4	0.45	0	131511	0	8557406	44082	49362	6618518	6339115	32541181	535620	860748	6140323	3648238	18337209	0	2141403	1879584	946960
35_Water_F16_1week	35	Water	F16	1week	3	12	5.5	0.458333333	0	134178	0	7761325	27007	62945	5665073	7058848	37435151	572160	971641	7545361	3784307	21024639	0	1986456	2290295	1183750
