Experiment,ID,Plant,Plant2,Microbes,Treatment,System,Bio_rep,Rep,Time,Nb,Root.length.Weight,Seeds
Thalianol,ThaS2_MF_Water_Agar_Rep 1_10_72h,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,10,72h,NA,0.02,45
Thalianol,ThaD_MF_Water_Agar_Rep 1_3_1week,ThaD,ThaD,MF,Water,Agar,Rep 1,3,1week,NA,0.043,39
Thalianol,ThaS2_MF_Water_Agar_Rep 1_25_72h,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,25,72h,NA,0.044,45
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_4_72h,ThaH,ThaH,MF,3OMG,Agar,Rep 1,4,72h,NA,0.047,31
Thalianol,ThaH_MF_Water_Agar_Rep 1_18_2weeks,ThaH,ThaH,MF,Water,Agar,Rep 1,18,2weeks,NA,0.047,31
Thalianol,ThaD_F16_3OMG_Agar_Rep 1_12_72h,ThaD,ThaD,F16,3OMG,Agar,Rep 1,12,72h,NA,0.05,27
Thalianol,ThaS2_MF_Water_Agar_Rep 1_34_72h,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,34,72h,NA,0.051,45
Thalianol,ThaS2_F16_Water_Agar_Rep 1_17_72h,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,17,72h,NA,0.053,30
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_13_72h,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,13,72h,NA,0.056,37
Thalianol,ThaD_F16_Water_Agar_Rep 1_12_72h,ThaD,ThaD,F16,Water,Agar,Rep 1,12,72h,NA,0.057,21
Thalianol,ThaH_MF_Water_Agar_Rep 1_5_72h,ThaH,ThaH,MF,Water,Agar,Rep 1,5,72h,NA,0.057,31
Thalianol,ThaS2_MF_Water_Agar_Rep 1_9_72h,ThaS1,ThaS1-2,MF,Water,Agar,Rep 1,9,72h,NA,0.057,45
Thalianol,ThaS2_F16_Water_Agar_Rep 1_22_1week,ThaS1,ThaS1-2,F16,Water,Agar,Rep 1,22,1week,NA,0.057,30
Thalianol,ThaH_F16_3OMG_Agar_Rep 1_8_72h,ThaH,ThaH,F16,3OMG,Agar,Rep 1,8,72h,NA,0.059,33
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_15_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,15,72h,NA,0.06,34
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_8_72h,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,8,72h,NA,0.065,37
Thalianol,ThaD_F16_Water_Agar_Rep 1_16_1week,ThaD,ThaD,F16,Water,Agar,Rep 1,16,1week,NA,0.067,21
Thalianol,ThaH_MF_Water_Agar_Rep 1_3_72h,ThaH,ThaH,MF,Water,Agar,Rep 1,3,72h,NA,0.067,31
Thalianol,ThaH_MF_Water_Agar_Rep 1_1_72h,ThaH,ThaH,MF,Water,Agar,Rep 1,1,72h,NA,0.071,31
Thalianol,ThaS2_F16_3OMG_Agar_Rep 1_24_72h,ThaS1,ThaS1-2,F16,3OMG,Agar,Rep 1,24,72h,NA,0.071,34
Thalianol,ThaH_MF_3OMG_Agar_Rep 1_6_72h,ThaH,ThaH,MF,3OMG,Agar,Rep 1,6,72h,NA,0.072,31
Thalianol,ThaS2_MF_3OMG_Agar_Rep 1_4_72h,ThaS1,ThaS1-2,MF,3OMG,Agar,Rep 1,4,72h,NA,0.073,37
Thalianol,ThaD_MF_Water_Agar_Rep 1_1_2weeks,ThaD,ThaD,MF,Water,Agar,Rep 1,1,2weeks,NA,0.074,39
Thalianol,ThaH_MF_Water_Agar_Rep 1_7_72h,ThaH,ThaH,MF,Water,Agar,Rep 1,7,72h,NA,0.077,31
