,Compounds,blanc1,blanc2,blanc3,QC1,QC2,QC3,1-MS-Shoot,2-MS-Shoot,3-MS-Shoot,4-MS-Root,5-MS-Root,6-MS-Root,7-MS-Glucose-Root,8-MS-Glucose-Root,9-MS-Glucose-Root,10-MS-3OMG-Root,11-MS-3OMG-Root,12-MS-3OMG-Root,13-MS-Glucose-3OMG-Root,14-MS-Glucose-3OMG-Root,15-MS-Glucose-3OMG-Root,16-CAS-Soil-Wash-Soil,17-CAS-Soil-Wash-Soil,18-CAS-Soil-Wash-Soil,19-Peat-Wash-Peat,20-Peat-Wash-Peat,21-Peat-Wash-Peat,22-Water-Control-Water,23-Water-Control-Water,24-Water-Control-Water,25-seedcoat Arabidopsis,26-seedcoat Arabidopsis,27-seedcoat Arabidopsis,28-Embryon Arabidopsis,29-Embryon Arabidopsis,30-Embryon Arabidopsis
1,Pantothenate!1989.4/291_OA,2.27949E-05,0.001575228,0.000136405,0.077532457,0.076867474,0.076844881,0.020497489,0.023195788,0.023640739,0.025934972,0.056543112,0.025266574,0.026266293,0.026792492,0.027335489,0.020458105,0.025291036,0.019736473,0.030820813,0.075786694,0.078617556,0.000124754,7.48177E-05,6.47989E-05,5.40002E-05,0.000341413,0.000393632,7.95106E-05,1.95841E-05,2.24093E-06,7.02866E-06,9.47432E-06,1.05139E-05,5.41577E-06,5.01261E-06,9.52926E-06
2,3-O-methylGlucose$meox2!1831.8/261_SUG,0,0,0,0.087720461,0.086633703,0.087232323,0,0,0,0,0,0,0,0,0,0.149820839,0.173851816,0.161531713,0.087202735,0.170942372,0.186483459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,UGlucosinolatebreakdown140-5!2027.6/140_GLUCOSINOLATE,0,0,0.000115754,0.092439812,0.091375742,0.091529908,0.000138561,0.000249191,0.000253962,0.000955659,0.002121873,0.000590813,0.001403012,0.001199571,0.000934205,0.001276979,0.001444202,0.001548726,0.002323991,0.005789555,0.006198581,0,0,0,0,0,0,0,0,0,0.005176917,0.004304639,0.005222133,0.00302536,0.002097718,0.002400732
4,Arg$1!1456.4/243_AA,0,0,0,0.010133532,0.010211996,0.010265838,0.00728328,0.008485372,0.007522419,0.000221434,0.000367937,2.83217E-05,0.000246665,0.000263237,0.000293959,0.000201596,0.000355886,0.000264341,0.000253723,0.000476289,0.000959691,0,0,0,2.93406E-05,0.000113586,0.000127269,7.48028E-05,0,0,1.73888E-06,6.31609E-06,6.61287E-06,6.04975E-06,2.29101E-06,8.44936E-06
5,Glucose$meox1!1888/319_SUG,0.004521172,0.003975209,0.001415808,2.270703792,2.305057212,2.285290172,0.361661661,0.368116253,0.428309552,0.64608583,0.847597182,0.639195086,0.863602578,0.656067576,0.635364877,0.550891058,0.638698401,0.644379377,0.914200681,1.446352503,1.328636819,0.001211008,0.006576505,0.00160825,0.002436583,0.008538433,0.003171499,0.001241949,0.001015894,0.000883735,0.057101438,0.044987226,0.036824767,0.016361281,0.007771557,0.010324071
6,dissachnonmeox-2715.5/204!2715.5/204_SUG,0,0.000868434,0.000254824,0.013060357,0.012842031,0.01284875,0.003347777,0.002594293,0.003828779,0.003158699,0.005529199,0.003178455,0.003105626,0.003064623,0.002948427,0.003325921,0.003997238,0.003418195,0.004688489,0.007985735,0.007099542,0.000233976,0.000289345,0.000101425,0.000326241,0.000364008,0.000860397,0.000307996,0.000171078,0.000163078,6.97016E-05,0.000173623,0.000129684,7.68611E-05,0.00010643,5.48416E-05
7,Stigmasterol!3310/394_APO,0,0,0,0.00760872,0.007492148,0.007461319,6.56721E-05,6.47872E-05,3.9412E-05,0.004647473,0.009479069,0.00450421,0.004563206,0.004382161,0.004841297,0.004863538,0.005991444,0.004473805,0.004228927,0.009732553,0.009676371,0,0,0,0.000334778,0.000256632,0.000216325,0,0,0,6.03751E-07,6.33138E-07,0,0,0,0
8,Fumarate!1358.8/245_OA,0,0,0,0.118428584,0.120567701,0.118369596,0.064708769,0.075417673,0.096945009,0.005048327,0.003072172,0.001035469,0.003709887,0.001568763,0.002980093,0.001240246,0.003673666,0.000664887,0.007234191,0.011933168,0.015352577,0.000299414,0,0.000226649,0.002885177,0.004430608,0.00515234,0.000212259,0.000570863,0,0.001898358,0.002372946,0.000668485,0.000707189,0.000348512,0.000208315
9,Pentonate$2!1773.5/292_OA,0.004870152,0.005494338,0.005710362,0.014149134,0.014424028,0.014422342,0.000887396,0.000908612,0.001083412,0.004165006,0.005988613,0.005054015,0.005195724,0.005048031,0.00377413,0.004547174,0.005397223,0.003783827,0.005796558,0.011606756,0.012102371,0.002561942,0.002574623,0.002600096,0.003939493,0.003625832,0.004007634,0.003046396,0.003081224,0.002854242,0.000157984,0.000142764,0.000143956,6.1876E-05,9.58529E-05,9.20105E-05
10,U1992.6/204!1992.6/204_U,0.025278368,0.019459025,0,6.050194586,6.056854879,6.172292882,1.911774038,2.117179451,2.242475221,1.860784086,4.084230121,1.812571456,1.867723273,1.951489297,2.015738828,1.584868857,1.778204699,1.531816167,2.16051079,5.190022147,5.65536788,0.003546919,0.005194611,0.001184599,0.001311351,0.001490669,0.001255011,0.000355797,0.000476376,0.000244359,0,0,3.41077E-05,7.04859E-05,0.000183504,4.99842E-05
