,Compounds,QC1,QC2,QC3,Exsudat.Arabido.A1,Exsudat.Arabido.A2,Exsudat.Arabido.A3,Exsudat.Arabido.A4,Exsudat.Arabido.A5,Exsudat.MicroTom.T1,Exsudat.MicroTom.T2,Exsudat.MicroTom.T3,Exsudat.MicroTom.T4,Exsudat.MicroTom.T5,Exsudat.Lotus.japonicus.L1,Exsudat.Lotus.japonicus.L2,Exsudat.Lotus.japonicus.L3,Exsudat.Lotus.japonicus.L4,Exsudat.Lotus.japonicus.L5,Controle.sans.plante.C1,Controle.sans.plante.C2,Controle.sans.plante.C3,Pool.exsudat
1,Borate$3tms!0980.8/221_MA,408.5209248,471.240032,441.8369191,0,0,0,338.3186772,0,992.6362387,534.2583756,1246.501372,774.8958744,1056.104598,1242.488892,497.2784243,493.9822251,791.4371272,561.4884944,430.6104826,596.8665046,303.2963653,0
2,Glycolate!1084.9/147_OA,12.91035684,17.23775916,17.06793759,16.38439212,0,11.71043088,15.71689743,12.39217245,0,0,0,18.35715822,23.34769151,0,0,0,0,0,0,0,0,0
3,Oxalate!1138.5/147_OA,5.127024731,7.677857545,7.866225156,20.50606663,4.248814835,6.950364549,1.946379201,5.963803301,4.932904476,4.409375579,2.87840339,7.394357204,7.533427311,11.79457318,1.510535586,1.641844086,3.365221475,5.974446639,0.088638196,0,0,0
4,Ethanolamine$3tms!1272.5/174_OTHER,5.7483926,5.666402379,5.486106203,2.289519579,11.56189447,4.080991641,7.397160124,4.278321881,6.931768676,3.462185192,8.724755612,5.629608216,19.43532758,6.927332854,1.011043158,0.898163054,3.381387925,7.982368008,0,0,0.252560423,6.114794061
5,Phosphate!1274.7/299_PHOSPHO,365.4472605,292.90152,303.5135689,270.8889287,220.6548962,203.5668611,140.8708632,429.3140044,144.046129,269.1403751,30.81477577,53.00340344,163.9519979,127.7950831,101.1452657,118.0524187,331.9371649,864.2771468,83.39385016,147.9114339,57.94096578,474.1644149
6,Glycerol!1280.7/205_OTHER,30.04682716,28.66371005,28.62099994,15.62011569,10.27244125,15.79479854,18.48759355,22.55166506,22.74197349,18.92732681,45.06698907,27.75523553,65.56737173,60.78556335,18.11135132,21.74648389,44.98128985,62.83293683,3.040710715,4.367262302,3.089152705,34.20132885
7,Isoleucine$2tms!1300.3/158_AA,0,0.103459693,0.271637289,0,2.56444539,0.066080538,0,0.07150822,0,0,0,0,2.276012468,0,0,0,0,0,0,0,0,0
8,Nicotinate!1299.8/180_OA,3.025583884,3.028848109,3.418676167,6.710058119,3.529700779,5.291800368,5.391229134,5.937720253,3.386964248,2.051308787,0,1.156376765,3.339549666,0.955269781,1.094003644,0.863928024,1.501734877,1.282998443,0,0,0,3.155439308
9,Succinate!1320.9/247_OA,1.453057687,1.033195546,1.214965858,0.695928309,0.410802224,0.4135494,2.465345846,0.218785318,0.23476914,0,3.067917369,0.665199922,1.452254964,1.956476217,0.308350051,0.090853056,0.24957617,0.974482075,0,0,0,0.836662648
10,Glycerate!1337.5/292_OA,1.019813927,0.997633088,1.27245047,1.2359543,0.313708132,0.604755843,2.150838338,0.683782706,0,0,0,0.101105692,0.999620841,4.342346769,0.727617105,0.39903992,1.717510573,1.517516721,0,0,0,0.194928761
11,Porphine!1339/184_OTHER,2.77648182,2.31014641,1.917624949,1.497505979,1.146064304,1.005079264,1.155630635,1.796835635,3.112693842,2.067995558,1.91831761,2.163575963,2.503333324,1.909322834,1.279868951,0.943748933,3.301085493,3.378346252,0,0,0,1.110346264
12,Uracil!1343.0/241_OTHER,0,0.555700166,0.85303123,0,0,0,0,0,0.65768685,0,0,0.093766412,1.700670038,0.861046403,0.898436304,0.418144868,1.54923352,2.248382244,0,0,0,2.994611416
13,Alanine$3tms!1366.6/188_AA,1.95903348,3.40154445,4.743557606,0.0650972,0.067115504,0.216001358,49.25458435,0,0.110214345,0.292683546,0.749297691,0.335239465,1.703753434,1.764616462,0,0,0.136482232,3.444718376,0,0,0,3.616959566
14,Malate!1483.7/133_OA,1.993740839,1.77358494,1.788196325,0.835534913,0.626889352,1.007866352,0.451560413,0.676654998,0,0,0.258504206,1.301791346,0.742644428,3.278614519,2.715852571,4.357146969,4.019828559,1.597942995,0,0,0,1.499511218
15,Threitol!1496/217_OTHER,0.649277627,0.762385165,0.816795922,1.037606921,0,0,1.550624787,0,0,0,0,0,0,5.010549255,1.192789882,1.098936333,1.263170547,1.608505612,0,0,0,0
16,Aspartate$3tms!1515.6/232_AA,2.344666179,2.512063477,2.665156183,1.036142978,1.83975892,2.052590408,1.256550103,1.872103984,0,0.403885398,0.530981313,2.039713655,1.025768931,0,1.4155529,1.191715283,1.181464234,1.100546276,0,0,0.40185983,0
17,Glutamate$pyro!1518.7/156_AA,43.3275063,35.77781648,35.8828936,16.64208039,17.87752167,19.36936736,55.19866943,16.18984075,0,0,0,14.97347279,21.04513907,20.02495307,0,0,0,26.24756837,0,0,0,32.05482854
18,GABA$3tms!1528.6/174_AA,12.77979757,11.98356016,12.32232307,5.694073208,6.61950775,7.384612762,8.265560843,7.027924842,1.319365391,0.696085175,9.161559357,7.024434102,3.103340587,55.55893522,14.00802761,19.54435565,20.4355512,17.48351379,0,0,0.691146409,13.73069536
19,Erythronate!1542.0/292_OA,1.006822611,1.309937547,1.530798224,1.798039093,0.080317968,0.989179709,3.218573116,1.003357016,0,0,0,0,0.742007216,1.324006446,0,0,0,0.223688258,0,0,0,0.838738051
20,Threonate!1556.8/292_OA,1.543386051,1.515703052,1.487142282,0.348866867,0,0,0.375879728,0,0,0,1.156740988,0.908471098,0.355462821,12.81867317,2.104262626,1.543883758,5.805050336,2.06591013,0,0,0,0.992952688
21,3-Hydroxy-3-methylglutarate!1604.8/247_OA,0,0.189052708,0.086786172,0,0,0,0,0,0,0,0,0,0,3.133794836,0.280681562,0.18821687,1.214474568,0,0,0,0,0
22,pentofuranose$1613.8/217!1613.8/217_SUG,1.925035668,2.211606925,1.307806762,1.958278207,0.610189283,0.640500036,1.551757815,0.874030908,1.766327017,1.047972265,3.099678506,2.09728546,3.629453431,5.676311463,1.794711139,1.843900559,3.740486438,4.874863574,0,0,0,2.524113768
23,Xylose$Meox1!1653.5/307_SUG,0.199475344,0.396707631,0.365897913,1.036703607,0.21950279,0.688351901,2.802100995,1.015802149,0,0,0,0,0,0.805362062,0,0,0.118240863,0,0,0,0,0
24,Arabinose!1666.5/307_SUG,7.216285682,7.571259179,7.575201584,2.742212627,1.793116196,2.049238813,8.564097389,2.406561371,2.829526186,3.069119582,1.745161615,2.476220502,2.41617926,27.53733432,15.36788244,13.40370124,26.87103771,12.77116139,0,0,0,6.738963033
