"","Compound_Family","Compounds","Condition","median_value","scaled_value"
"1","AA","5-Hydroxynorvaline","MS.Root",0.00032106,0.67900921249651
"2","AA","5-Hydroxynorvaline","MS.Root+3OMG",0.000472409,0.999096938473382
"3","AA","5-Hydroxynorvaline","MS.Root+Glucose",0.000472836,1
"4","AA","Alanine","MS.Root",0.018625114,1
"5","AA","Alanine","MS.Root+3OMG",0.017932661,0.962821542998341
"6","AA","Alanine","MS.Root+Glucose",0.011891268,0.63845343443267
"7","AA","Asn","MS.Root",0.003139407,1
"8","AA","Asn","MS.Root+3OMG",0.002039421,0.649619816736091
"9","AA","Asn","MS.Root+Glucose",0.001541096,0.490887610303475
"10","AA","Aspartate","MS.Root",0.0121019945,0.881513708757193
"11","AA","Aspartate","MS.Root+3OMG",0.0097565983,0.710674191125035
"12","AA","Aspartate","MS.Root+Glucose",0.0137286515,1
"13","AA","Cys","MS.Root",0.005644572,0.992657296232628
"14","AA","Cys","MS.Root+3OMG",0.004372933,0.769026216405147
"15","AA","Cys","MS.Root+Glucose",0.005686325,1
"16","AA","Glutamate","MS.Root",0.068091137,0.983624734578159
"17","AA","Glutamate","MS.Root+3OMG",0.048340647,0.698314908072565
"18","AA","Glutamate","MS.Root+Glucose",0.06922471,1
"19","AA","Glycine","MS.Root",0.048236517,1
"20","AA","Glycine","MS.Root+3OMG",0.036140597,0.749237284275728
"21","AA","Glycine","MS.Root+Glucose",0.029942471,0.620742807777767
"22","AA","Isoleucine","MS.Root",0.00653916,0.725355622433406
"23","AA","Isoleucine","MS.Root+3OMG",0.009015109,1
"24","AA","Isoleucine","MS.Root+Glucose",0.00840135,0.931918848679478
"25","AA","Leucine","MS.Root",0.01066068,0.806517333796534
"26","AA","Leucine","MS.Root+3OMG",0.013218166,1
"27","AA","Leucine","MS.Root+Glucose",0.012588855,0.952390445088978
"28","AA","Lys","MS.Root",0.0024275555,0.707101613785996
"29","AA","Lys","MS.Root+3OMG",0.003433107,1
"30","AA","Lys","MS.Root+Glucose",0.0023404175,0.681719940566956
"31","AA","Methionine","MS.Root",0.001606792,0.591146590220942
"32","AA","Methionine","MS.Root+3OMG",0.002718094,1
"33","AA","Methionine","MS.Root+Glucose",0.00216884,0.797926782517455
"34","AA","O-Acetyl-serine","MS.Root",0.000384188,0.940077371616215
"35","AA","O-Acetyl-serine","MS.Root+3OMG",0.000381371,0.933184397458139
"36","AA","O-Acetyl-serine","MS.Root+Glucose",0.000408677,1
"37","AA","Phenylalanine","MS.Root",0.002279428,0.587599720459196
"38","AA","Phenylalanine","MS.Root+3OMG",0.003879219,1
"39","AA","Phenylalanine","MS.Root+Glucose",0.003066293,0.790440807801777
"40","AA","Proline","MS.Root",0.010472581,0.729529226884726
"41","AA","Proline","MS.Root+3OMG",0.014096756,0.981992453079391
"42","AA","Proline","MS.Root+Glucose",0.014355259,1
"43","AA","Serine","MS.Root",0.084360032,0.980325675314679
"44","AA","Serine","MS.Root+3OMG",0.086053068,1
"45","AA","Serine","MS.Root+Glucose",0.04845058,0.563031407549583
"46","AA","Threonine","MS.Root",0.018368774,0.778071227115046
"47","AA","Threonine","MS.Root+3OMG",0.023608088,1
"48","AA","Threonine","MS.Root+Glucose",0.02107734,0.892801653399462
"49","AA","Tryptophan","MS.Root",0.000500195,0.175664314150776
"50","AA","Tryptophan","MS.Root+3OMG",0.002847448,1
"51","AA","Tryptophan","MS.Root+Glucose",0.001110245,0.389908788501142
"52","AA","Tyrosine","MS.Root",0.007440868,1
"53","AA","Tyrosine","MS.Root+3OMG",0.003894965,0.523455731239958
"54","AA","Tyrosine","MS.Root+Glucose",0.006852986,0.920992819654911
"55","AA","Valine","MS.Root",0.012903751,0.727902700591438
"56","AA","Valine","MS.Root+3OMG",0.017727302,1
"57","AA","Valine","MS.Root+Glucose",0.016094934,0.907917854617697
"58","AA","beta-Alanine","MS.Root",0.003901778,0.624538992130073
"59","AA","beta-Alanine","MS.Root+3OMG",0.00309562,0.49550112661912
"60","AA","beta-Alanine","MS.Root+Glucose",0.006247453,1
"61","APO","Alcenenitrile","MS.Root",0.001261051,0.880063563003652
"62","APO","Alcenenitrile","MS.Root+3OMG",0.000919378,0.641616459942676
"63","APO","Alcenenitrile","MS.Root+Glucose",0.001432909,1
"64","APO","Campesterol","MS.Root",0.002644857,0.895812856100629
"65","APO","Campesterol","MS.Root+3OMG",0.00257884,0.87345290343733
"66","APO","Campesterol","MS.Root+Glucose",0.002952466,1
"67","APO","Monopalmitine","MS.Root",0.005535713,0.944658664638003
"68","APO","Monopalmitine","MS.Root+3OMG",0.004875754,0.832037943936653
"69","APO","Monopalmitine","MS.Root+Glucose",0.005860014,1
"70","APO","Monostearin","MS.Root",0.002462925,1
"71","APO","Monostearin","MS.Root+3OMG",0.00202326,0.821486646974634
"72","APO","Monostearin","MS.Root+Glucose",0.002152367,0.873906838413675
"73","APO","Squalene","MS.Root",0.001060509,1
"74","APO","Squalene","MS.Root+3OMG",0.000654425,0.617085757876642
"75","APO","Squalene","MS.Root+Glucose",0.000930439,0.877351347324728
"76","APO","Stigmasterol","MS.Root",0.004647473,0.955574522086596
"77","APO","Stigmasterol","MS.Root+3OMG",0.004863538,1
"78","APO","Stigmasterol","MS.Root+Glucose",0.004563206,0.938248246441171
"79","APO","beta-Sitosterol","MS.Root",0.020338312,1
"80","APO","beta-Sitosterol","MS.Root+3OMG",0.01689771,0.830831486900191
