"Compound","KEGG_ID","KEGG_Pathways"
"Pantothenate","cpd:C00864","beta-Alanine metabolism; Pantothenate and CoA biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors; Vitamin digestion and absorption"
"3-O-methylGlucose",NA,NA
"UGlucosinolatebreakdown140-5",NA,NA
"Arg","cpd:C00062","Arginine biosynthesis; Monobactam biosynthesis; Arginine and proline metabolism; Clavulanic acid biosynthesis; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; ABC transporters; Efferocytosis; mTOR signaling pathway; Protein digestion and absorption; Amyotrophic lateral sclerosis; Pathways of neurodegeneration - multiple diseases; Chagas disease; Amoebiasis; Central carbon metabolism in cancer"
"Glucose","cpd:C00029","Pentose and glucuronate interconversions; Galactose metabolism; Ascorbate and aldarate metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Neomycin, kanamycin and gentamicin biosynthesis; Biosynthesis of various nucleotide sugars; Teichoic acid biosynthesis; Glycerolipid metabolism; Sulfoquinovose metabolism; Zeatin biosynthesis; Biosynthesis of ansamycins; Biosynthesis of plant secondary metabolites; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of cofactors; Biosynthesis of nucleotide sugars; Neuroactive ligand signaling"
"dissachnonmeox-2715.5/204",NA,NA
"Stigmasterol","cpd:C05442","Steroid biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of terpenoids and steroids; Metabolic pathways; Biosynthesis of secondary metabolites"
"Fumarate","cpd:C00122","Citrate cycle (TCA cycle); Oxidative phosphorylation; Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Tyrosine metabolism; Phenylalanine metabolism; Pyruvate metabolism; Styrene degradation; Butanoate metabolism; Other carbon fixation pathways; Nicotinate and nicotinamide metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Degradation of aromatic compounds; Two-component system; Glucagon signaling pathway; Pathways in cancer; Renal cell carcinoma; Central carbon metabolism in cancer"
"Pentonate","cpd:C00684","Ascorbate and aldarate metabolism; Metabolic pathways"
"U1992.6/204",NA,NA
