,Strain1,Strain2,Host,Media,Growth,OD600,Phylum,Class,Order,Phylum_alternative
1,AA0104,Mortierella_elongata_MPI-CAGE-AA-0104,A_thaliana,Glucose,Glucose [Tf-T0],0.690455556,Mucoromycota,Mortierellomycetes,Mortierellales,Mucoromycota
2,AA0104,Mortierella_elongata_MPI-CAGE-AA-0104,A_thaliana,Glucose,Glucose [Tf-T0],0.694111111,Mucoromycota,Mortierellomycetes,Mortierellales,Mucoromycota
3,AA0104,Mortierella_elongata_MPI-CAGE-AA-0104,A_thaliana,Glucose,Glucose [Tf-T0],0.703455556,Mucoromycota,Mortierellomycetes,Mortierellales,Mucoromycota
4,AA0113,Fusarium_sp._MPI-CAGE-AA-0113,A_thaliana,Glucose,Glucose [Tf-T0],0.542011111,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
5,AA0113,Fusarium_sp._MPI-CAGE-AA-0113,A_thaliana,Glucose,Glucose [Tf-T0],0.529533333,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
6,AA0113,Fusarium_sp._MPI-CAGE-AA-0113,A_thaliana,Glucose,Glucose [Tf-T0],0.512033333,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
7,AT0016,Plectosphaerella_cucumerina_MPI-CAGE-AT-0016,A_thaliana,Glucose,Glucose [Tf-T0],0.574933333,Ascomycota,Sordariomycetes,Glomerellales,Ascomycota
8,AT0016,Plectosphaerella_cucumerina_MPI-CAGE-AT-0016,A_thaliana,Glucose,Glucose [Tf-T0],0.601344444,Ascomycota,Sordariomycetes,Glomerellales,Ascomycota
9,AT0016,Plectosphaerella_cucumerina_MPI-CAGE-AT-0016,A_thaliana,Glucose,Glucose [Tf-T0],0.591577778,Ascomycota,Sordariomycetes,Glomerellales,Ascomycota
10,AT0023,Fusarium_redolens_MPI-CAGE-AT-0023,A_thaliana,Glucose,Glucose [Tf-T0],0.386688889,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
11,AT0023,Fusarium_redolens_MPI-CAGE-AT-0023,A_thaliana,Glucose,Glucose [Tf-T0],0.390633333,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
12,AT0023,Fusarium_redolens_MPI-CAGE-AT-0023,A_thaliana,Glucose,Glucose [Tf-T0],0.387488889,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
13,AT0026,Ilyonectria_europaea_MPI-CAGE-AT-0026,A_thaliana,Glucose,Glucose [Tf-T0],0.533433333,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
14,AT0026,Ilyonectria_europaea_MPI-CAGE-AT-0026,A_thaliana,Glucose,Glucose [Tf-T0],0.441466667,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
15,AT0026,Ilyonectria_europaea_MPI-CAGE-AT-0026,A_thaliana,Glucose,Glucose [Tf-T0],0.488722222,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
16,AT0040,Alternaria_rosae_MPI-PUGE-AT-0040,A_thaliana,Glucose,Glucose [Tf-T0],0.348844444,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
17,AT0040,Alternaria_rosae_MPI-PUGE-AT-0040,A_thaliana,Glucose,Glucose [Tf-T0],0.324655556,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
18,AT0040,Alternaria_rosae_MPI-PUGE-AT-0040,A_thaliana,Glucose,Glucose [Tf-T0],0.385833333,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
19,AT0064,Alternaria_alternata_MPI-PUGE-AT-0064,A_thaliana,Glucose,Glucose [Tf-T0],0.323388889,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
20,AT0064,Alternaria_alternata_MPI-PUGE-AT-0064,A_thaliana,Glucose,Glucose [Tf-T0],0.322844444,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
21,AT0064,Alternaria_alternata_MPI-PUGE-AT-0064,A_thaliana,Glucose,Glucose [Tf-T0],0.351911111,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
22,AT0079,Chaetomium_globosum_MPI-SDFR-AT-0079,A_thaliana,Glucose,Glucose [Tf-T0],0.405822222,Ascomycota,Sordariomycetes,Sordariales,Ascomycota
23,AT0079,Chaetomium_globosum_MPI-SDFR-AT-0079,A_thaliana,Glucose,Glucose [Tf-T0],0.428622222,Ascomycota,Sordariomycetes,Sordariales,Ascomycota
24,AT0079,Chaetomium_globosum_MPI-SDFR-AT-0079,A_thaliana,Glucose,Glucose [Tf-T0],0.381333333,Ascomycota,Sordariomycetes,Sordariales,Ascomycota
25,AT0100,Boeremia_exigua_MPI-SDFR-AT-0100,A_thaliana,Glucose,Glucose [Tf-T0],0.452222222,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
26,AT0100,Boeremia_exigua_MPI-SDFR-AT-0100,A_thaliana,Glucose,Glucose [Tf-T0],0.414688889,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
27,AT0100,Boeremia_exigua_MPI-SDFR-AT-0100,A_thaliana,Glucose,Glucose [Tf-T0],0.478344444,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
28,AT0134,Ilyonectria_sp._MPI-CAGE-AT-0134,A_thaliana,Glucose,Glucose [Tf-T0],0.6808,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
29,AT0134,Ilyonectria_sp._MPI-CAGE-AT-0134,A_thaliana,Glucose,Glucose [Tf-T0],0.540055556,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
30,AT0134,Ilyonectria_sp._MPI-CAGE-AT-0134,A_thaliana,Glucose,Glucose [Tf-T0],0.595555556,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
31,AT0135,Halenospora_varia_MPI-CAGE-AT-0135,A_thaliana,Glucose,Glucose [Tf-T0],0.489322222,Ascomycota,Leotiomycetes,Helotiales,Ascomycota
32,AT0135,Halenospora_varia_MPI-CAGE-AT-0135,A_thaliana,Glucose,Glucose [Tf-T0],0.503466667,Ascomycota,Leotiomycetes,Helotiales,Ascomycota
33,AT0135,Halenospora_varia_MPI-CAGE-AT-0135,A_thaliana,Glucose,Glucose [Tf-T0],0.556888889,Ascomycota,Leotiomycetes,Helotiales,Ascomycota
34,AT0147,Dactylonectria_macrodidyma_MPI-CAGE-AT-0147,A_thaliana,Glucose,Glucose [Tf-T0],0.465077778,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
35,AT0147,Dactylonectria_macrodidyma_MPI-CAGE-AT-0147,A_thaliana,Glucose,Glucose [Tf-T0],0.399388889,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
36,AT0147,Dactylonectria_macrodidyma_MPI-CAGE-AT-0147,A_thaliana,Glucose,Glucose [Tf-T0],0.448144444,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
37,Bn_01,Bn_01,B_napus,Glucose,Glucose [Tf-T0],0.523855556,#N/A,#N/A,#N/A,#N/A
38,Bn_01,Bn_01,B_napus,Glucose,Glucose [Tf-T0],0.489055556,#N/A,#N/A,#N/A,#N/A
39,Bn_01,Bn_01,B_napus,Glucose,Glucose [Tf-T0],0.491088889,#N/A,#N/A,#N/A,#N/A
40,Bn_03,Bn_03,B_napus,Glucose,Glucose [Tf-T0],0.537455556,#N/A,#N/A,#N/A,#N/A
41,Bn_03,Bn_03,B_napus,Glucose,Glucose [Tf-T0],0.5523,#N/A,#N/A,#N/A,#N/A
42,Bn_03,Bn_03,B_napus,Glucose,Glucose [Tf-T0],0.562455556,#N/A,#N/A,#N/A,#N/A
43,Bn_05,Bn_05,B_napus,Glucose,Glucose [Tf-T0],0.311233333,#N/A,#N/A,#N/A,#N/A
44,Bn_05,Bn_05,B_napus,Glucose,Glucose [Tf-T0],0.357322222,#N/A,#N/A,#N/A,#N/A
45,Bn_05,Bn_05,B_napus,Glucose,Glucose [Tf-T0],0.363033333,#N/A,#N/A,#N/A,#N/A
49,AA0104,Mortierella_elongata_MPI-CAGE-AA-0104,A_thaliana,3OMG,3-O-MG [Tf-T0],0.212344444,Mucoromycota,Mortierellomycetes,Mortierellales,Mucoromycota
50,AA0104,Mortierella_elongata_MPI-CAGE-AA-0104,A_thaliana,3OMG,3-O-MG [Tf-T0],0.0995,Mucoromycota,Mortierellomycetes,Mortierellales,Mucoromycota
51,AA0104,Mortierella_elongata_MPI-CAGE-AA-0104,A_thaliana,3OMG,3-O-MG [Tf-T0],0.104577778,Mucoromycota,Mortierellomycetes,Mortierellales,Mucoromycota
52,AA0113,Fusarium_sp._MPI-CAGE-AA-0113,A_thaliana,3OMG,3-O-MG [Tf-T0],0.124433333,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
53,AA0113,Fusarium_sp._MPI-CAGE-AA-0113,A_thaliana,3OMG,3-O-MG [Tf-T0],0.115288889,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
54,AA0113,Fusarium_sp._MPI-CAGE-AA-0113,A_thaliana,3OMG,3-O-MG [Tf-T0],0.104455556,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
55,AT0016,Plectosphaerella_cucumerina_MPI-CAGE-AT-0016,A_thaliana,3OMG,3-O-MG [Tf-T0],0.028055556,Ascomycota,Sordariomycetes,Glomerellales,Ascomycota
56,AT0016,Plectosphaerella_cucumerina_MPI-CAGE-AT-0016,A_thaliana,3OMG,3-O-MG [Tf-T0],0.109022222,Ascomycota,Sordariomycetes,Glomerellales,Ascomycota
57,AT0016,Plectosphaerella_cucumerina_MPI-CAGE-AT-0016,A_thaliana,3OMG,3-O-MG [Tf-T0],0.111477778,Ascomycota,Sordariomycetes,Glomerellales,Ascomycota
58,AT0023,Fusarium_redolens_MPI-CAGE-AT-0023,A_thaliana,3OMG,3-O-MG [Tf-T0],0.133888889,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
59,AT0023,Fusarium_redolens_MPI-CAGE-AT-0023,A_thaliana,3OMG,3-O-MG [Tf-T0],0.171988889,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
60,AT0023,Fusarium_redolens_MPI-CAGE-AT-0023,A_thaliana,3OMG,3-O-MG [Tf-T0],0.191866667,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
61,AT0026,Ilyonectria_europaea_MPI-CAGE-AT-0026,A_thaliana,3OMG,3-O-MG [Tf-T0],0.241477778,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
62,AT0026,Ilyonectria_europaea_MPI-CAGE-AT-0026,A_thaliana,3OMG,3-O-MG [Tf-T0],0.1689,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
63,AT0026,Ilyonectria_europaea_MPI-CAGE-AT-0026,A_thaliana,3OMG,3-O-MG [Tf-T0],0.109077778,Ascomycota,Sordariomycetes,Hypocreales,Ascomycota
64,AT0040,Alternaria_rosae_MPI-PUGE-AT-0040,A_thaliana,3OMG,3-O-MG [Tf-T0],0,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
65,AT0040,Alternaria_rosae_MPI-PUGE-AT-0040,A_thaliana,3OMG,3-O-MG [Tf-T0],0,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
66,AT0040,Alternaria_rosae_MPI-PUGE-AT-0040,A_thaliana,3OMG,3-O-MG [Tf-T0],0,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
67,AT0064,Alternaria_alternata_MPI-PUGE-AT-0064,A_thaliana,3OMG,3-O-MG [Tf-T0],0.138066667,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
68,AT0064,Alternaria_alternata_MPI-PUGE-AT-0064,A_thaliana,3OMG,3-O-MG [Tf-T0],0.124666667,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
69,AT0064,Alternaria_alternata_MPI-PUGE-AT-0064,A_thaliana,3OMG,3-O-MG [Tf-T0],0.167322222,Ascomycota,Dothideomycetes,Pleosporales,Ascomycota
70,AT0079,Chaetomium_globosum_MPI-SDFR-AT-0079,A_thaliana,3OMG,3-O-MG [Tf-T0],0.004044444,Ascomycota,Sordariomycetes,Sordariales,Ascomycota
71,AT0079,Chaetomium_globosum_MPI-SDFR-AT-0079,A_thaliana,3OMG,3-O-MG [Tf-T0],0,Ascomycota,Sordariomycetes,Sordariales,Ascomycota
72,AT0079,Chaetomium_globosum_MPI-SDFR-AT-0079,A_thaliana,3OMG,3-O-MG [Tf-T0],0.072177778,Ascomycota,Sordariomycetes,Sordariales,Ascomycota
