,Time,Media,Plate,Well,Sample,Strain,Strain2,Phylum,Class,Order,Family,Genus,Phylum_alternative,OD600
1,T0,Glucose,P1.1,A1, S1 ,R4,Root4,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Actinobacteria,0.087399997
2,T0,Glucose,P1.1,A2, S2 ,R9,Root9,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,0.085900001
3,T0,Glucose,P1.1,A3, S3 ,R11,Root11,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Firmicutes,0.0845
4,T0,Glucose,P1.1,A4, S4 ,R16D2,Root16D2,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,#REF!,Betaproteobacteria,0.087099999
5,T0,Glucose,P1.1,A5, S5 ,R22,Root22,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,#REF!,Actinobacteria,0.083499998
6,T0,Glucose,P1.1,A6, S6 ,R53,Root53,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Actinobacteria,0.087800004
7,T0,3OMG,P1.1,A7, S1 ,R4,Root4,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Actinobacteria,0.089599997
8,T0,3OMG,P1.1,A8, S2 ,R9,Root9,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,0.086599998
9,T0,3OMG,P1.1,A9, S3 ,R11,Root11,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Firmicutes,0.084600002
10,T0,3OMG,P1.1,A10, S4 ,R16D2,Root16D2,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,#REF!,Betaproteobacteria,0.086900003
11,T0,3OMG,P1.1,A11, S5 ,R22,Root22,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,#REF!,Actinobacteria,0.082500003
12,T0,3OMG,P1.1,A12, S6 ,R53,Root53,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Actinobacteria,0.086800002
13,T0,Glucose,P1.1,B1, S7 ,R61,Root61,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Actinobacteria,0.101499997
14,T0,Glucose,P1.1,B2, S8 ,R65,Root65,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Gammaproteobacteria,0.110699996
15,T0,Glucose,P1.1,B3, S9 ,R68,Root68,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,0.109499998
16,T0,Glucose,P1.1,B4, S10 ,R70,Root70,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Betaproteobacteria,0.0999
17,T0,Glucose,P1.1,B5, S11 ,R71,Root71,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,0.103399999
18,T0,Glucose,P1.1,B6, S12 ,R81,Root81,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Actinobacteria,0.111500002
19,T0,3OMG,P1.1,B7, S7 ,R61,Root61,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Actinobacteria,0.099299997
20,T0,3OMG,P1.1,B8, S8 ,R65,Root65,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Gammaproteobacteria,0.108000003
21,T0,3OMG,P1.1,B9, S9 ,R68,Root68,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,0.104999997
22,T0,3OMG,P1.1,B10, S10 ,R70,Root70,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Betaproteobacteria,0.101199999
23,T0,3OMG,P1.1,B11, S11 ,R71,Root71,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria,0.102700002
24,T0,3OMG,P1.1,B12, S12 ,R81,Root81,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Actinobacteria,0.090700001
25,T0,Glucose,P1.1,C1, S13 ,R83,Root83,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Betaproteobacteria,0.096500002
26,T0,Glucose,P1.1,C2, S14 ,R85,Root85,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,#REF!,Actinobacteria,0.109800003
27,T0,Glucose,P1.1,C3, S15 ,R101,Root101,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter,Actinobacteria,0.101199999
28,T0,Glucose,P1.1,C4, S16 ,R107,Root107,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,#REF!,Actinobacteria,0.099600002
29,T0,Glucose,P1.1,C5, S17 ,R112D2,Root112D2,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,#REF!,Actinobacteria,0.0995
30,T0,Glucose,P1.1,C6, S18 ,R123D2,Root123D2,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Alphaproteobacteria,0.105099998
31,T0,3OMG,P1.1,C7, S13 ,R83,Root83,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Betaproteobacteria,0.101599999
32,T0,3OMG,P1.1,C8, S14 ,R85,Root85,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,#REF!,Actinobacteria,0.100900002
