Strains	Expe	Expe2	Size	Kingdom	Rep	Fluorescens	OD600
BFSC	mono	mono	SynCom	Bacteria.Fungi	R1	573	0.236699998
BFSC	mono	mono	SynCom	Bacteria.Fungi	R1	569	0.226199999
BFSC	mono	mono	SynCom	Bacteria.Fungi	R1	585	0.223000005
BSC	mono	mono	SynCom	Bacteria	R1	362	0.127800004
BSC	mono	mono	SynCom	Bacteria	R1	393	0.132799999
BSC	mono	mono	SynCom	Bacteria	R1	326	0.136599998
FSC	mono	mono	SynCom	Fungi	R1	220	0.0942
FSC	mono	mono	SynCom	Fungi	R1	210	0.094599999
FSC	mono	mono	SynCom	Fungi	R1	210	0.096900001
R09	mono	mono	mono	Bacteria	R1	147	0.077600002
R09	mono	mono	mono	Bacteria	R1	141	0.079899997
R09	mono	mono	mono	Bacteria	R1	134	0.080499999
R16	mono	mono	mono	Bacteria	R1	128	0.084233331
R16	mono	mono	mono	Bacteria	R1	135	0.083233337
R16	mono	mono	mono	Bacteria	R1	146	0.084333333
R147	mono	mono	mono	Bacteria	R1	138	0.0801
R147	mono	mono	mono	Bacteria	R1	138	0.079899997
R147	mono	mono	mono	Bacteria	R1	137	0.079700001
R318	mono	mono	mono	Bacteria	R1	133	0.084399998
R318	mono	mono	mono	Bacteria	R1	137	0.084200002
R318	mono	mono	mono	Bacteria	R1	140	0.0832
R329	mono	mono	mono	Bacteria	R1	162	0.106300002
R329	mono	mono	mono	Bacteria	R1	148	0.102999998
R329	mono	mono	mono	Bacteria	R1	138	0.092399997
R420	mono	mono	mono	Bacteria	R1	129	0.079400003
R420	mono	mono	mono	Bacteria	R1	135	0.080200002
R420	mono	mono	mono	Bacteria	R1	138	0.0801
R431	mono	mono	mono	Bacteria	R1	136	0.080499999
R431	mono	mono	mono	Bacteria	R1	137	0.080200002
R431	mono	mono	mono	Bacteria	R1	137	0.079800002
R565	mono	mono	mono	Bacteria	R1	138	0.078500003
R565	mono	mono	mono	Bacteria	R1	139	0.078400001
R565	mono	mono	mono	Bacteria	R1	136	0.078699999
R568	mono	mono	mono	Bacteria	R1	134	0.0801
R568	mono	mono	mono	Bacteria	R1	134	0.079800002
R568	mono	mono	mono	Bacteria	R1	128	0.081500001
R651	mono	mono	mono	Bacteria	R1	165	0.096199997
R651	mono	mono	mono	Bacteria	R1	173	0.096699998
R651	mono	mono	mono	Bacteria	R1	193	0.100900002
R695	mono	mono	mono	Bacteria	R1	153	0.078199998
R695	mono	mono	mono	Bacteria	R1	146	0.078599997
R695	mono	mono	mono	Bacteria	R1	148	0.078699999
F16	mono	mono	mono	Fungi	R1	153	0.081699997
F16	mono	mono	mono	Fungi	R1	150	0.081100002
F16	mono	mono	mono	Fungi	R1	157	0.083700001
F147	mono	mono	mono	Fungi	R1	133	0.081299998
F147	mono	mono	mono	Fungi	R1	133	0.081900001
F147	mono	mono	mono	Fungi	R1	136	0.083400004
F212	mono	mono	mono	Fungi	R1	128	0.086099997
F212	mono	mono	mono	Fungi	R1	134	0.084100001
F212	mono	mono	mono	Fungi	R1	143	0.083899997
F243	mono	mono	mono	Fungi	R1	131	0.0814
F243	mono	mono	mono	Fungi	R1	136	0.082400002
F243	mono	mono	mono	Fungi	R1	140	0.082400002
F16_BSC	mono	mono	SynCom	Bacteria.Fungi	R1	589	0.217333331
F16_BSC	mono	mono	SynCom	Bacteria.Fungi	R1	582	0.215933337
F16_BSC	mono	mono	SynCom	Bacteria.Fungi	R1	587	0.211433341
BFSC	mono	mono	SynCom	Bacteria.Fungi	R2	523	0.191699997
BFSC	mono	mono	SynCom	Bacteria.Fungi	R2	538	0.191799998
BFSC	mono	mono	SynCom	Bacteria.Fungi	R2	519	0.186700001
BSC	mono	mono	SynCom	Bacteria	R2	257	0.112199999
BSC	mono	mono	SynCom	Bacteria	R2	265	0.112800002
BSC	mono	mono	SynCom	Bacteria	R2	281	0.1197
FSC	mono	mono	SynCom	Fungi	R2	154	0.090300001
FSC	mono	mono	SynCom	Fungi	R2	167	0.091899998
FSC	mono	mono	SynCom	Fungi	R2	161	0.096100003
R09	mono	mono	mono	Bacteria	R2	126	0.082900003
R09	mono	mono	mono	Bacteria	R2	125	0.082800001
R09	mono	mono	mono	Bacteria	R2	126	0.082599998
R16	mono	mono	mono	Bacteria	R2	129	0.0832
R16	mono	mono	mono	Bacteria	R2	133	0.0823
R16	mono	mono	mono	Bacteria	R2	137	0.081699997
R147	mono	mono	mono	Bacteria	R2	136	0.082199998
R147	mono	mono	mono	Bacteria	R2	132	0.081600003
R147	mono	mono	mono	Bacteria	R2	135	0.0814
R318	mono	mono	mono	Bacteria	R2	130	0.087200001
R318	mono	mono	mono	Bacteria	R2	129	0.087300003
R318	mono	mono	mono	Bacteria	R2	128	0.087200001
R329	mono	mono	mono	Bacteria	R2	154	0.090999998
R329	mono	mono	mono	Bacteria	R2	150	0.090700001
R329	mono	mono	mono	Bacteria	R2	151	0.092699997
R420	mono	mono	mono	Bacteria	R2	125	0.0814
R420	mono	mono	mono	Bacteria	R2	133	0.079899997
R420	mono	mono	mono	Bacteria	R2	136	0.0792
