Strains	Expe	Expe2	Size	Kingdom	Rep	Plate	CtITS	Ct16S
BFSC	mono	mono	SynCom	Bacteria.Fungi	R1	P1-R1	25.42	16.45
BFSC	mono	mono	SynCom	Bacteria.Fungi	R1	P1-R1	25.29	15.6
BFSC	mono	mono	SynCom	Bacteria.Fungi	R1	P1-R1	24.36	15.73
BSC	mono	mono	SynCom	Bacteria	R1	P1-R1	34.42	15.73
BSC	mono	mono	SynCom	Bacteria	R1	P1-R1	36.92	16.03
BSC	mono	mono	SynCom	Bacteria	R1	P1-R1	37.1	15.81
FSC	mono	mono	SynCom	Fungi	R1	P1-R1	28.43	32.04
FSC	mono	mono	SynCom	Fungi	R1	P1-R1	29.39	32.55
FSC	mono	mono	SynCom	Fungi	R1	P1-R1	28.03	32.85
R09	mono	mono	mono	Bacteria	R1	P1-R1	NA	24.81
R09	mono	mono	mono	Bacteria	R1	P1-R1	NA	27.09
R09	mono	mono	mono	Bacteria	R1	P1-R1	NA	NA
R16	mono	mono	mono	Bacteria	R1	P1-R1	NA	23.21
R16	mono	mono	mono	Bacteria	R1	P1-R1	NA	22.49
R16	mono	mono	mono	Bacteria	R1	P1-R1	39.34	22.71
R147	mono	mono	mono	Bacteria	R1	P1-R1	NA	29.07
R147	mono	mono	mono	Bacteria	R1	P1-R1	NA	28.36
R147	mono	mono	mono	Bacteria	R1	P1-R1	NA	29.14
R318	mono	mono	mono	Bacteria	R1	P1-R1	NA	23.38
R318	mono	mono	mono	Bacteria	R1	P1-R1	NA	23.6
R318	mono	mono	mono	Bacteria	R1	P1-R1	NA	23.4
R329	mono	mono	mono	Bacteria	R1	P1-R1	NA	15.35
R329	mono	mono	mono	Bacteria	R1	P1-R1	36.03	16.79
R329	mono	mono	mono	Bacteria	R1	P1-R1	NA	NA
R420	mono	mono	mono	Bacteria	R1	P1-R1	34.76	30.06
R420	mono	mono	mono	Bacteria	R1	P1-R1	NA	25.93
R420	mono	mono	mono	Bacteria	R1	P1-R1	NA	24.99
R431	mono	mono	mono	Bacteria	R1	P1-R1	NA	26.82
R431	mono	mono	mono	Bacteria	R1	P1-R1	NA	27.17
R431	mono	mono	mono	Bacteria	R1	P1-R1	NA	26.21
R565	mono	mono	mono	Bacteria	R1	P1-R1	NA	29.73
R565	mono	mono	mono	Bacteria	R1	P1-R1	35.9	29.72
R565	mono	mono	mono	Bacteria	R1	P1-R1	NA	28.64
R568	mono	mono	mono	Bacteria	R1	P1-R1	NA	26.23
R568	mono	mono	mono	Bacteria	R1	P1-R1	NA	25.61
R568	mono	mono	mono	Bacteria	R1	P1-R1	NA	11.77
R651	mono	mono	mono	Bacteria	R1	P1-R1	36.85	23.98
R651	mono	mono	mono	Bacteria	R1	P1-R1	39.15	22.82
R651	mono	mono	mono	Bacteria	R1	P1-R1	36.22	23.26
R695	mono	mono	mono	Bacteria	R1	P1-R1	NA	27.93
R695	mono	mono	mono	Bacteria	R1	P1-R1	NA	28.09
R695	mono	mono	mono	Bacteria	R1	P1-R1	NA	27.94
F16	mono	mono	mono	Fungi	R1	P1-R1	26.59	32.25
F16	mono	mono	mono	Fungi	R1	P1-R1	28.17	31.6
F16	mono	mono	mono	Fungi	R1	P1-R1	28.06	32.25
F147	mono	mono	mono	Fungi	R1	P1-R1	29.67	32.26
F147	mono	mono	mono	Fungi	R1	P1-R1	28.26	32.02
F147	mono	mono	mono	Fungi	R1	P1-R1	30.38	37.47
F212	mono	mono	mono	Fungi	R1	P1-R1	27.66	32.32
F212	mono	mono	mono	Fungi	R1	P1-R1	28.5	32.25
F212	mono	mono	mono	Fungi	R1	P1-R1	28.45	32.22
F243	mono	mono	mono	Fungi	R1	P1-R1	30.8	31.67
F243	mono	mono	mono	Fungi	R1	P1-R1	29.23	31.12
F243	mono	mono	mono	Fungi	R1	P1-R1	30.51	31.85
F16_BSC	mono	mono	SynCom	Bacteria.Fungi	R1	P1-R1	23.24	14.46
F16_BSC	mono	mono	SynCom	Bacteria.Fungi	R1	P1-R1	23.65	14.59
F16_BSC	mono	mono	SynCom	Bacteria.Fungi	R1	P1-R1	23.74	14.38
MgCl2	mono	mono	mono	NA	R1	P1-R1	NA	NA
MgCl2	mono	mono	mono	NA	R1	P1-R1	NA	NA
MgCl2	mono	mono	mono	NA	R1	P1-R1	NA	NA
BFSC	mono	mono	SynCom	Bacteria.Fungi	R2	P1-R2	24.66	18.24
BFSC	mono	mono	SynCom	Bacteria.Fungi	R2	P1-R2	22.91	17.47
BFSC	mono	mono	SynCom	Bacteria.Fungi	R2	P1-R2	23.39	17.77
BSC	mono	mono	SynCom	Bacteria	R2	P1-R2	NA	17.2
BSC	mono	mono	SynCom	Bacteria	R2	P1-R2	37.36	17.21
BSC	mono	mono	SynCom	Bacteria	R2	P1-R2	NA	16.8
FSC	mono	mono	SynCom	Fungi	R2	P1-R2	25.77	32.49
FSC	mono	mono	SynCom	Fungi	R2	P1-R2	25.46	31.51
FSC	mono	mono	SynCom	Fungi	R2	P1-R2	26.03	32.14
R09	mono	mono	mono	Bacteria	R2	P1-R2	NA	23.85
R09	mono	mono	mono	Bacteria	R2	P1-R2	37.89	24.14
R09	mono	mono	mono	Bacteria	R2	P1-R2	39.45	NA
R16	mono	mono	mono	Bacteria	R2	P1-R2	NA	26.23
R16	mono	mono	mono	Bacteria	R2	P1-R2	NA	24.41
R16	mono	mono	mono	Bacteria	R2	P1-R2	NA	26.28
R147	mono	mono	mono	Bacteria	R2	P1-R2	NA	27.72
R147	mono	mono	mono	Bacteria	R2	P1-R2	NA	27.58
R147	mono	mono	mono	Bacteria	R2	P1-R2	NA	28.19
R318	mono	mono	mono	Bacteria	R2	P1-R2	35.42	23.04
R318	mono	mono	mono	Bacteria	R2	P1-R2	35.57	22.68
R318	mono	mono	mono	Bacteria	R2	P1-R2	34.27	22.54
R329	mono	mono	mono	Bacteria	R2	P1-R2	NA	18.16
R329	mono	mono	mono	Bacteria	R2	P1-R2	36.09	17.3
R329	mono	mono	mono	Bacteria	R2	P1-R2	37.29	18.73
R420	mono	mono	mono	Bacteria	R2	P1-R2	NA	30.68
R420	mono	mono	mono	Bacteria	R2	P1-R2	NA	31.35
R420	mono	mono	mono	Bacteria	R2	P1-R2	NA	31.15
R431	mono	mono	mono	Bacteria	R2	P1-R2	31.8	26.35
R431	mono	mono	mono	Bacteria	R2	P1-R2	35.49	28.09
R431	mono	mono	mono	Bacteria	R2	P1-R2	NA	26.86
R565	mono	mono	mono	Bacteria	R2	P1-R2	NA	29.62
R565	mono	mono	mono	Bacteria	R2	P1-R2	32.03	28.78
R565	mono	mono	mono	Bacteria	R2	P1-R2	32.15	30.55
R568	mono	mono	mono	Bacteria	R2	P1-R2	NA	24.37
R568	mono	mono	mono	Bacteria	R2	P1-R2	NA	23.61
R568	mono	mono	mono	Bacteria	R2	P1-R2	NA	26.76
R651	mono	mono	mono	Bacteria	R2	P1-R2	NA	20.92
R651	mono	mono	mono	Bacteria	R2	P1-R2	NA	21.02
R651	mono	mono	mono	Bacteria	R2	P1-R2	35.63	21.08
R695	mono	mono	mono	Bacteria	R2	P1-R2	NA	28.94
R695	mono	mono	mono	Bacteria	R2	P1-R2	NA	29.42
R695	mono	mono	mono	Bacteria	R2	P1-R2	35.03	28.16
F16	mono	mono	mono	Fungi	R2	P1-R2	27.01	32.63
F16	mono	mono	mono	Fungi	R2	P1-R2	25.38	32.37
F16	mono	mono	mono	Fungi	R2	P1-R2	27.65	31.51
F147	mono	mono	mono	Fungi	R2	P1-R2	25.32	32.26
F147	mono	mono	mono	Fungi	R2	P1-R2	24.89	33.01
F147	mono	mono	mono	Fungi	R2	P1-R2	27.4	34.32
F212	mono	mono	mono	Fungi	R2	P1-R2	27.26	32.01
F212	mono	mono	mono	Fungi	R2	P1-R2	26.2	32.44
F212	mono	mono	mono	Fungi	R2	P1-R2	27.37	32.03
F243	mono	mono	mono	Fungi	R2	P1-R2	33.6	31.42
F243	mono	mono	mono	Fungi	R2	P1-R2	32.13	32.04
F243	mono	mono	mono	Fungi	R2	P1-R2	31.12	31.09
F16_BSC	mono	mono	SynCom	Bacteria.Fungi	R2	P1-R2	24.46	15.06
F16_BSC	mono	mono	SynCom	Bacteria.Fungi	R2	P1-R2	24.55	16.01
F16_BSC	mono	mono	SynCom	Bacteria.Fungi	R2	P1-R2	24.02	15.39
MgCl2	mono	mono	mono	NA	R2	P1-R2	NA	29.18
MgCl2	mono	mono	mono	NA	R2	P1-R2	NA	32.69
MgCl2	mono	mono	mono	NA	R2	P1-R2	NA	32.99
BFSC	mono	mono	SynCom	Bacteria.Fungi	R3	P1-R3	22.61	17.44
BFSC	mono	mono	SynCom	Bacteria.Fungi	R3	P1-R3	24.2	18.46
BFSC	mono	mono	SynCom	Bacteria.Fungi	R3	P1-R3	28.52	36.42
BSC	mono	mono	SynCom	Bacteria	R3	P1-R3	NA	18.31
BSC	mono	mono	SynCom	Bacteria	R3	P1-R3	NA	17.97
