1	Well	Plate_ID	OD600	Plecto_ID	Plecto_ID2	Condition	Replicate
2	A1	Plecto_MF_1	0.097000003	P1	P1	MF	1
3	A2	Plecto_MF_1	0.093699999	P2	P2	MF	1
4	A3	Plecto_MF_1	0.092900001	P3	P3	MF	1
5	A4	Plecto_MF_1	0.092699997	P4	P4	MF	1
6	A5	Plecto_MF_1	0.092799999	P5	P5	MF	1
7	A6	Plecto_MF_1	0.094999999	P6	P6	MF	1
8	A7	Plecto_MF_1	0.099200003	P7	P7	MF	1
9	A8	Plecto_MF_1	0.091300003	P8	P8	MF	1
10	A9	Plecto_MF_1	0.097800002	P9	P9	MF	1
11	A10	Plecto_MF_1	0.091899998	P10	P10	MF	1
12	A11	Plecto_MF_1	0.0999	P11	P11	MF	1
13	A12	Plecto_MF_1	0.096699998	P12	P12	MF	1
14	B1	Plecto_MF_1	0.090499997	P13	P13	MF	1
15	B2	Plecto_MF_1	0.086900003	P14	P14	MF	1
16	B3	Plecto_MF_1	0.090300001	P15	P15	MF	1
17	B4	Plecto_MF_1	0.089199997	P16	P16	MF	1
18	B5	Plecto_MF_1	0.089500003	P17	P17	MF	1
19	B6	Plecto_MF_1	0.088	P18	P18	MF	1
20	B7	Plecto_MF_1	0.089199997	P19	P19	MF	1
21	B8	Plecto_MF_1	0.092799999	P20	P20	MF	1
22	B9	Plecto_MF_1	0.088200003	P21	P21	MF	1
23	B10	Plecto_MF_1	0.090000004	P22	P22	MF	1
24	B11	Plecto_MF_1	0.093699999	P23	P23	MF	1
25	B12	Plecto_MF_1	0.091799997	P24	P24	MF	1
26	C1	Plecto_MF_1	0.093999997	P25	P25	MF	1
27	C2	Plecto_MF_1	0.091200002	P26	P26	MF	1
28	C3	Plecto_MF_1	0.092200004	P27	P27	MF	1
29	C4	Plecto_MF_1	0.087399997	P28	P28	MF	1
30	C5	Plecto_MF_1	0.088	P29	P29	MF	1
31	C6	Plecto_MF_1	0.099200003	P30	P30	MF	1
32	C7	Plecto_MF_1	0.090899996	P31	P31	MF	1
33	C8	Plecto_MF_1	0.090800002	P32	P32	MF	1
34	C9	Plecto_MF_1	0.088600002	P33	P33	MF	1
35	C10	Plecto_MF_1	0.090000004	P34	P34	MF	1
36	C11	Plecto_MF_1	0.088	P35	P35	MF	1
37	C12	Plecto_MF_1	0.0973	P36	P36	MF	1
38	D1	Plecto_MF_1	0.0973	P38	P38	MF	1
39	D2	Plecto_MF_1	0.088100001	P39	P39	MF	1
40	D3	Plecto_MF_1	0.088399999	P40	P40	MF	1
41	D4	Plecto_MF_1	0.086199999	P41	P41	MF	1
42	D5	Plecto_MF_1	0.087099999	P42	P42	MF	1
43	D6	Plecto_MF_1	0.090800002	P43	P43	MF	1
44	D7	Plecto_MF_1	0.088600002	P44	P44	MF	1
45	D8	Plecto_MF_1	0.088100001	P45	P45	MF	1
46	D9	Plecto_MF_1	0.088399999	P46	P46	MF	1
47	D10	Plecto_MF_1	0.088799998	P47	P47	MF	1
48	D11	Plecto_MF_1	0.091899998	P48	P48	MF	1
49	D12	Plecto_MF_1	0.093199998	P49	P49	MF	1
50	E1	Plecto_MF_1	0.093400002	P50	P50	MF	1
51	E2	Plecto_MF_1	0.091600001	P51	P51	MF	1
52	E3	Plecto_MF_1	0.092900001	P52	P52	MF	1
53	E4	Plecto_MF_1	0.088	P54	P54	MF	1
54	E5	Plecto_MF_1	0.087200001	P55	P55	MF	1
55	E6	Plecto_MF_1	0.088399999	P56	P56	MF	1
56	E7	Plecto_MF_1	0.088200003	P57	P57	MF	1
57	E8	Plecto_MF_1	0.091399997	P58	P58	MF	1
58	E9	Plecto_MF_1	0.0889	P59	P59	MF	1
59	E10	Plecto_MF_1	0.089900002	P60	P60	MF	1
60	E11	Plecto_MF_1	0.087300003	P61	P61	MF	1
61	E12	Plecto_MF_1	0.096900001	P62	P62	MF	1
62	F1	Plecto_MF_1	0.092500001	P63	P63	MF	1
63	F2	Plecto_MF_1	0.095200002	P64	P64	MF	1
64	F3	Plecto_MF_1	0.097900003	P65	P65	MF	1
65	F4	Plecto_MF_1	0.088799998	P66	P66	MF	1
66	F5	Plecto_MF_1	0.0889	P67	P67	MF	1
67	F6	Plecto_MF_1	0.088399999	P68	P68	MF	1
68	F7	Plecto_MF_1	0.090700001	P117	P117	MF	1
69	F8	Plecto_MF_1	0.093000002	P143	P143	MF	1
70	F9	Plecto_MF_1	0.089100003	P340	P340	MF	1
