Plate,Well,Value,Measurement_wavelength,ID,ID2,Validation_ID,Bacteria,F16
1,A1,0.1514,600nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,A2,0.117700003,600nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,A3,0.136399999,600nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,A4,0.087800004,600nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,A5,0.133300006,600nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,A6,0.091300003,600nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
1,A7,0.136600003,600nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
1,A8,0.100199997,600nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
1,A9,0.091600001,600nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
1,A10,0.136399999,600nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
1,A11,0.133599997,600nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
1,A12,0.145199999,600nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,B1,0.131899998,600nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,B2,0.109099999,600nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
1,B3,0.112899996,600nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
1,B4,0.090099998,600nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
1,B5,0.112499997,600nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,B6,0.101000004,600nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,B7,0.101000004,600nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,B8,0.084299996,600nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,B9,0.114699997,600nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,B10,0.089199997,600nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
1,B11,0.113300003,600nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
1,B12,0.100599997,600nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
1,C1,0.092500001,600nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
1,C2,0.109999999,600nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
1,C3,0.1074,600nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
1,C4,0.103500001,600nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,C5,0.103299998,600nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,C6,0.103600003,600nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
1,C7,0.106299996,600nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
1,C8,0.089599997,600nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
1,C9,0.1096,600nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,C10,0.098399997,600nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,C11,0.103,600nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,C12,0.083700001,600nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,D1,0.126800001,600nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,D2,0.087099999,600nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
1,D3,0.1127,600nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
1,D4,0.090499997,600nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
1,D5,0.086099997,600nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
1,D6,0.107000001,600nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
1,D7,0.111000001,600nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
1,D8,0.111100003,600nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,D9,0.112199999,600nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,D10,0.106299996,600nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
1,D11,0.112999998,600nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
1,D12,0.096199997,600nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
1,E1,0.120899998,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E2,0.106799997,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E3,0.103399999,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E4,0.101599999,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E5,0.104500003,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E6,0.106899999,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E7,0.081900001,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,E8,0.084399998,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,E9,0.086900003,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,E10,0.092699997,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,E11,0.0823,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,E12,0.082699999,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,F1,0.139400005,600nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,F2,0.101199999,600nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,F3,0.101400003,600nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,F4,0.084899999,600nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,F5,0.111699998,600nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,F6,0.088200003,600nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
1,F7,0.114399999,600nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
1,F8,0.091300003,600nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
1,F9,0.088500001,600nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
1,F10,0.117700003,600nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
1,F11,0.125300005,600nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
1,F12,0.130400002,600nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,G1,0.142800003,600nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,G2,0.118799999,600nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
1,G3,0.118500002,600nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
1,G4,0.093400002,600nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
