"Plate";"Plate_Well";"Well";"Condition";"475nm/510nm";"600nm";"row";"col";"borders";"mad_475nm_510nm";"median_475nm_510nm";"TH_low";"TH_high";"adj475nm/510nm";"Interest"
1;"1_H1";"H1";"B329_WT+F16";896;0.1534;"H";"1";"y";110.4537;882.5;NA;NA;1.01529745042493;"No"
1;"1_H2";"H2";"B329_WT+F16";847;0.1483;"H";"2";"y";110.4537;882.5;NA;NA;0.959773371104816;"No"
1;"1_H3";"H3";"B329_WT+F16";1245;0.1668;"H";"3";"y";110.4537;882.5;NA;NA;1.41076487252125;"No"
1;"1_H4";"H4";"B329_WT+F16";1060;0.1777;"H";"4";"y";110.4537;882.5;NA;NA;1.20113314447592;"No"
2;"2_H1";"H1";"B329_WT+F16";1008;0.1569;"H";"1";"y";91.9212;786;NA;NA;1.2824427480916;"No"
2;"2_H2";"H2";"B329_WT+F16";1261;0.1752;"H";"2";"y";91.9212;786;NA;NA;1.60432569974555;"No"
2;"2_H3";"H3";"B329_WT+F16";849;0.1566;"H";"3";"y";91.9212;786;NA;NA;1.08015267175573;"No"
2;"2_H4";"H4";"B329_WT+F16";865;0.1557;"H";"4";"y";91.9212;786;NA;NA;1.10050890585242;"No"
3;"3_H1";"H1";"B329_WT+F16";1006;0.1593;"H";"1";"y";55.5975;787;NA;NA;1.27827191867853;"No"
3;"3_H2";"H2";"B329_WT+F16";808;0.1393;"H";"2";"y";55.5975;787;NA;NA;1.02668360864041;"No"
3;"3_H3";"H3";"B329_WT+F16";825;0.1445;"H";"3";"y";55.5975;787;NA;NA;1.04828462515883;"No"
3;"3_H4";"H4";"B329_WT+F16";919;0.1482;"H";"4";"y";55.5975;787;NA;NA;1.16772554002541;"No"
4;"4_H1";"H1";"B329_WT+F16";1121;0.1543;"H";"1";"y";94.1451;799.5;NA;NA;1.4021263289556;"No"
4;"4_H2";"H2";"B329_WT+F16";1115;0.148;"H";"2";"y";94.1451;799.5;NA;NA;1.39462163852408;"No"
4;"4_H3";"H3";"B329_WT+F16";1121;0.1586;"H";"3";"y";94.1451;799.5;NA;NA;1.4021263289556;"No"
4;"4_H4";"H4";"B329_WT+F16";1262;0.164;"H";"4";"y";94.1451;799.5;NA;NA;1.57848655409631;"No"
5;"5_H1";"H1";"B329_WT+F16";778;0.1446;"H";"1";"y";100.0755;825;NA;NA;0.943030303030303;"No"
5;"5_H2";"H2";"B329_WT+F16";782;0.136;"H";"2";"y";100.0755;825;NA;NA;0.947878787878788;"No"
5;"5_H3";"H3";"B329_WT+F16";818;0.1467;"H";"3";"y";100.0755;825;NA;NA;0.991515151515151;"No"
5;"5_H4";"H4";"B329_WT+F16";865;0.1524;"H";"4";"y";100.0755;825;NA;NA;1.04848484848485;"No"
6;"6_H1";"H1";"B329_WT+F16";867;0.1501;"H";"1";"y";100.8168;877.5;NA;NA;0.988034188034188;"No"
6;"6_H2";"H2";"B329_WT+F16";880;0.1521;"H";"2";"y";100.8168;877.5;NA;NA;1.002849002849;"No"
6;"6_H3";"H3";"B329_WT+F16";1007;0.1653;"H";"3";"y";100.8168;877.5;NA;NA;1.14757834757835;"No"
6;"6_H4";"H4";"B329_WT+F16";928;0.1452;"H";"4";"y";100.8168;877.5;NA;NA;1.05754985754986;"No"
7;"7_H1";"H1";"B329_WT+F16";1021;0.1667;"H";"1";"y";67.4583;819;NA;NA;1.24664224664225;"No"
7;"7_H2";"H2";"B329_WT+F16";928;0.1487;"H";"2";"y";67.4583;819;NA;NA;1.13308913308913;"No"
7;"7_H3";"H3";"B329_WT+F16";888;0.1496;"H";"3";"y";67.4583;819;NA;NA;1.08424908424908;"No"
7;"7_H4";"H4";"B329_WT+F16";918;0.1559;"H";"4";"y";67.4583;819;NA;NA;1.12087912087912;"No"
8;"8_H1";"H1";"B329_WT+F16";798;0.148;"H";"1";"y";117.1254;788;NA;NA;1.01269035532995;"No"
8;"8_H2";"H2";"B329_WT+F16";804;0.1408;"H";"2";"y";117.1254;788;NA;NA;1.02030456852792;"No"
8;"8_H3";"H3";"B329_WT+F16";1031;0.1677;"H";"3";"y";117.1254;788;NA;NA;1.30837563451777;"No"
8;"8_H4";"H4";"B329_WT+F16";945;0.1568;"H";"4";"y";117.1254;788;NA;NA;1.1992385786802;"No"
9;"9_H1";"H1";"B329_WT+F16";803;0.1512;"H";"1";"y";63.7518;752;NA;NA;1.06781914893617;"No"
9;"9_H2";"H2";"B329_WT+F16";763;0.1401;"H";"2";"y";63.7518;752;NA;NA;1.01462765957447;"No"
9;"9_H3";"H3";"B329_WT+F16";769;0.1432;"H";"3";"y";63.7518;752;NA;NA;1.02260638297872;"No"
9;"9_H4";"H4";"B329_WT+F16";858;0.1562;"H";"4";"y";63.7518;752;NA;NA;1.14095744680851;"No"
10;"10_H1";"H1";"B329_WT+F16";751;0.1425;"H";"1";"y";91.1799;777;NA;NA;0.966537966537967;"No"
10;"10_H2";"H2";"B329_WT+F16";808;0.1467;"H";"2";"y";91.1799;777;NA;NA;1.03989703989704;"No"
10;"10_H3";"H3";"B329_WT+F16";735;0.1333;"H";"3";"y";91.1799;777;NA;NA;0.945945945945946;"No"
10;"10_H4";"H4";"B329_WT+F16";876;0.1458;"H";"4";"y";91.1799;777;NA;NA;1.12741312741313;"No"
11;"11_H1";"H1";"B329_WT+F16";715;0.1451;"H";"1";"y";99.3342;715;NA;NA;1;"No"
11;"11_H2";"H2";"B329_WT+F16";780;0.1377;"H";"2";"y";99.3342;715;NA;NA;1.09090909090909;"No"
11;"11_H3";"H3";"B329_WT+F16";700;0.1394;"H";"3";"y";99.3342;715;NA;NA;0.979020979020979;"No"
11;"11_H4";"H4";"B329_WT+F16";752;0.1439;"H";"4";"y";99.3342;715;NA;NA;1.05174825174825;"No"
12;"12_H1";"H1";"B329_WT+F16";752;0.1444;"H";"1";"y";172.7229;870;NA;NA;0.864367816091954;"No"
12;"12_H2";"H2";"B329_WT+F16";939;0.1409;"H";"2";"y";172.7229;870;NA;NA;1.07931034482759;"No"
12;"12_H3";"H3";"B329_WT+F16";827;0.1449;"H";"3";"y";172.7229;870;NA;NA;0.950574712643678;"No"
12;"12_H4";"H4";"B329_WT+F16";923;0.1486;"H";"4";"y";172.7229;870;NA;NA;1.06091954022988;"No"
13;"13_H1";"H1";"B329_WT+F16";1193;0.1373;"H";"1";"y";168.2751;863.5;NA;NA;1.38158656629994;"No"
13;"13_H2";"H2";"B329_WT+F16";833;0.144299999;"H";"2";"y";168.2751;863.5;NA;NA;0.964678633468442;"No"
13;"13_H3";"H3";"B329_WT+F16";884;0.146200001;"H";"3";"y";168.2751;863.5;NA;NA;1.02374059061957;"No"
13;"13_H4";"H4";"B329_WT+F16";922;0.158600003;"H";"4";"y";168.2751;863.5;NA;NA;1.06774753908512;"No"
14;"14_H1";"H1";"B329_WT+F16";935;0.133699998;"H";"1";"y";112.6776;911;NA;NA;1.02634467618002;"No"
14;"14_H2";"H2";"B329_WT+F16";877;0.134100005;"H";"2";"y";112.6776;911;NA;NA;0.962678375411636;"No"
14;"14_H3";"H3";"B329_WT+F16";834;0.136299998;"H";"3";"y";112.6776;911;NA;NA;0.915477497255763;"No"
14;"14_H4";"H4";"B329_WT+F16";914;0.136899993;"H";"4";"y";112.6776;911;NA;NA;1.0032930845225;"No"
15;"15_H1";"H1";"B329_WT+F16";1042;0.155000001;"H";"1";"y";100.0755;870.5;NA;NA;1.19701321079839;"No"
15;"15_H2";"H2";"B329_WT+F16";895;0.136500001;"H";"2";"y";100.0755;870.5;NA;NA;1.02814474439977;"No"
15;"15_H3";"H3";"B329_WT+F16";872;0.1417;"H";"3";"y";100.0755;870.5;NA;NA;1.00172314761631;"No"
15;"15_H4";"H4";"B329_WT+F16";868;0.149700001;"H";"4";"y";100.0755;870.5;NA;NA;0.997128087306146;"No"
16;"16_H1";"H1";"B329_WT+F16";888;0.149800003;"H";"1";"y";139.3644;950.5;NA;NA;0.934245134139926;"No"
16;"16_H2";"H2";"B329_WT+F16";835;0.159400001;"H";"2";"y";139.3644;950.5;NA;NA;0.878485007890584;"No"
16;"16_H3";"H3";"B329_WT+F16";874;0.157900006;"H";"3";"y";139.3644;950.5;NA;NA;0.91951604418727;"No"
16;"16_H4";"H4";"B329_WT+F16";1517;0.160899997;"H";"4";"y";139.3644;950.5;NA;NA;1.59600210415571;"No"
17;"17_H1";"H1";"B329_WT+F16";890;0.153099999;"H";"1";"y";108.9711;908;NA;NA;0.980176211453744;"No"
17;"17_H2";"H2";"B329_WT+F16";909;0.162799999;"H";"2";"y";108.9711;908;NA;NA;1.0011013215859;"No"
17;"17_H3";"H3";"B329_WT+F16";891;0.149599999;"H";"3";"y";108.9711;908;NA;NA;0.981277533039648;"No"
17;"17_H4";"H4";"B329_WT+F16";986;0.150299996;"H";"4";"y";108.9711;908;NA;NA;1.08590308370044;"No"
18;"18_H1";"H1";"B329_WT+F16";947;0.155900002;"H";"1";"y";107.4885;947.5;NA;NA;0.999472295514512;"No"
18;"18_H2";"H2";"B329_WT+F16";960;0.156499997;"H";"2";"y";107.4885;947.5;NA;NA;1.0131926121372;"No"
18;"18_H3";"H3";"B329_WT+F16";906;0.156200007;"H";"3";"y";107.4885;947.5;NA;NA;0.956200527704485;"No"
18;"18_H4";"H4";"B329_WT+F16";1021;0.167300001;"H";"4";"y";107.4885;947.5;NA;NA;1.07757255936675;"No"
19;"19_H1";"H1";"B329_WT+F16";1051;0.164700001;"H";"1";"y";106.0059;957;NA;NA;1.09822361546499;"No"
19;"19_H2";"H2";"B329_WT+F16";991;0.167899996;"H";"2";"y";106.0059;957;NA;NA;1.0355276907001;"No"
19;"19_H3";"H3";"B329_WT+F16";2038;0.181099996;"H";"3";"y";106.0059;957;NA;NA;2.12957157784744;"No"
19;"19_H4";"H4";"B329_WT+F16";1036;0.169100001;"H";"4";"y";106.0059;957;NA;NA;1.08254963427377;"No"
20;"20_H1";"H1";"B329_WT+F16";1107;0.164700001;"H";"1";"y";77.0952;1013;NA;NA;1.09279368213228;"No"
20;"20_H2";"H2";"B329_WT+F16";1040;0.162599996;"H";"2";"y";77.0952;1013;NA;NA;1.02665350444225;"No"
20;"20_H3";"H3";"B329_WT+F16";987;0.167500004;"H";"3";"y";77.0952;1013;NA;NA;0.974333662388944;"No"
20;"20_H4";"H4";"B329_WT+F16";1070;0.181899995;"H";"4";"y";77.0952;1013;NA;NA;1.05626850937808;"No"
21;"21_H1";"H1";"B329_WT+F16";929;0.161500007;"H";"1";"y";70.4235;947.5;NA;NA;0.980474934036939;"No"
21;"21_H2";"H2";"B329_WT+F16";964;0.163200006;"H";"2";"y";70.4235;947.5;NA;NA;1.01741424802111;"No"
21;"21_H3";"H3";"B329_WT+F16";968;0.164299995;"H";"3";"y";70.4235;947.5;NA;NA;1.02163588390501;"No"
21;"21_H4";"H4";"B329_WT+F16";996;0.166099995;"H";"4";"y";70.4235;947.5;NA;NA;1.05118733509235;"No"
22;"22_H1";"H1";"B329_WT+F16";1030;0.174099997;"H";"1";"y";194.2206;1113.5;NA;NA;0.925011225864392;"No"
22;"22_H2";"H2";"B329_WT+F16";1003;0.166800007;"H";"2";"y";194.2206;1113.5;NA;NA;0.900763358778626;"No"
22;"22_H3";"H3";"B329_WT+F16";1022;0.168899998;"H";"3";"y";194.2206;1113.5;NA;NA;0.917826672653794;"No"
22;"22_H4";"H4";"B329_WT+F16";1090;0.178299993;"H";"4";"y";194.2206;1113.5;NA;NA;0.978895374943871;"No"
23;"23_H1";"H1";"B329_WT+F16";1017;0.165800005;"H";"1";"y";119.3493;1087.5;NA;NA;0.935172413793103;"No"
23;"23_H2";"H2";"B329_WT+F16";1041;0.167799994;"H";"2";"y";119.3493;1087.5;NA;NA;0.957241379310345;"No"
23;"23_H3";"H3";"B329_WT+F16";1014;0.159299999;"H";"3";"y";119.3493;1087.5;NA;NA;0.932413793103448;"No"
23;"23_H4";"H4";"B329_WT+F16";1275;0.181700006;"H";"4";"y";119.3493;1087.5;NA;NA;1.17241379310345;"No"
24;"24_H1";"H1";"B329_WT+F16";997;0.1655;"H";"1";"y";112.6776;1022.5;NA;NA;0.975061124694377;"No"
24;"24_H2";"H2";"B329_WT+F16";1031;0.164000005;"H";"2";"y";112.6776;1022.5;NA;NA;1.00831295843521;"No"
24;"24_H3";"H3";"B329_WT+F16";990;0.161699995;"H";"3";"y";112.6776;1022.5;NA;NA;0.968215158924205;"No"
24;"24_H4";"H4";"B329_WT+F16";1043;0.176699996;"H";"4";"y";112.6776;1022.5;NA;NA;1.0200488997555;"No"
25;"25_H1";"H1";"B329_WT+F16";1254;0.157000005;"H";"1";"y";289.107;1070;NA;NA;1.17196261682243;"No"
25;"25_H2";"H2";"B329_WT+F16";986;0.162599996;"H";"2";"y";289.107;1070;NA;NA;0.921495327102804;"No"
25;"25_H3";"H3";"B329_WT+F16";991;0.170499995;"H";"3";"y";289.107;1070;NA;NA;0.926168224299065;"No"
25;"25_H4";"H4";"B329_WT+F16";1069;0.172600001;"H";"4";"y";289.107;1070;NA;NA;0.999065420560748;"No"
26;"26_H1";"H1";"B329_WT+F16";684;0.127299994;"H";"1";"y";100.0755;772.5;NA;NA;0.885436893203884;"No"
26;"26_H2";"H2";"B329_WT+F16";617;0.131400004;"H";"2";"y";100.0755;772.5;NA;NA;0.798705501618123;"No"
26;"26_H3";"H3";"B329_WT+F16";770;0.151899993;"H";"3";"y";100.0755;772.5;NA;NA;0.996763754045307;"No"
26;"26_H4";"H4";"B329_WT+F16";788;0.143999994;"H";"4";"y";100.0755;772.5;NA;NA;1.02006472491909;"No"
27;"27_H1";"H1";"B329_WT+F16";740;0.133300006;"H";"1";"y";95.6277;918.5;NA;NA;0.8056614044638;"No"
27;"27_H2";"H2";"B329_WT+F16";1152;0.136999995;"H";"2";"y";95.6277;918.5;NA;NA;1.25421883505716;"No"
27;"27_H3";"H3";"B329_WT+F16";766;0.142100006;"H";"3";"y";95.6277;918.5;NA;NA;0.833968426782798;"No"
27;"27_H4";"H4";"B329_WT+F16";866;0.148900002;"H";"4";"y";95.6277;918.5;NA;NA;0.942841589548176;"No"
28;"28_H1";"H1";"B329_WT+F16";813;0.122900002;"H";"1";"y";96.369;850;NA;NA;0.956470588235294;"No"
28;"28_H2";"H2";"B329_WT+F16";690;0.131099999;"H";"2";"y";96.369;850;NA;NA;0.811764705882353;"No"
28;"28_H3";"H3";"B329_WT+F16";624;0.121600002;"H";"3";"y";96.369;850;NA;NA;0.734117647058824;"No"
28;"28_H4";"H4";"B329_WT+F16";778;0.190200001;"H";"4";"y";96.369;850;NA;NA;0.915294117647059;"No"
29;"29_H2";"H2";"B329_WT+F16";707;0.128399998;"H";"2";"y";131.9514;868;NA;NA;0.814516129032258;"No"
29;"29_H3";"H3";"B329_WT+F16";615;0.126499996;"H";"3";"y";131.9514;868;NA;NA;0.70852534562212;"No"
29;"29_H4";"H4";"B329_WT+F16";661;0.133300006;"H";"4";"y";131.9514;868;NA;NA;0.761520737327189;"No"
30;"30_H1";"H1";"B329_WT+F16";792;0.140799999;"H";"1";"y";110.4537;914.5;NA;NA;0.866047020229634;"No"
30;"30_H2";"H2";"B329_WT+F16";809;0.134499997;"H";"2";"y";110.4537;914.5;NA;NA;0.884636413340623;"No"
30;"30_H3";"H3";"B329_WT+F16";700;0.122599997;"H";"3";"y";110.4537;914.5;NA;NA;0.765445598687808;"No"
30;"30_H4";"H4";"B329_WT+F16";819;0.137199998;"H";"4";"y";110.4537;914.5;NA;NA;0.895571350464735;"No"
31;"31_H1";"H1";"B329_WT+F16";753;0.144099995;"H";"1";"y";93.4038;846;NA;NA;0.890070921985816;"No"
31;"31_H2";"H2";"B329_WT+F16";763;0.142700002;"H";"2";"y";93.4038;846;NA;NA;0.901891252955083;"No"
31;"31_H3";"H3";"B329_WT+F16";769;0.134800002;"H";"3";"y";93.4038;846;NA;NA;0.908983451536643;"No"
31;"31_H4";"H4";"B329_WT+F16";763;0.140599996;"H";"4";"y";93.4038;846;NA;NA;0.901891252955083;"No"
32;"32_H1";"H1";"B329_WT+F16";768;0.136800006;"H";"1";"y";114.1602;838;NA;NA;0.916467780429594;"No"
32;"32_H2";"H2";"B329_WT+F16";836;0.132100001;"H";"2";"y";114.1602;838;NA;NA;0.997613365155131;"No"
32;"32_H3";"H3";"B329_WT+F16";634;0.121299997;"H";"3";"y";114.1602;838;NA;NA;0.756563245823389;"No"
32;"32_H4";"H4";"B329_WT+F16";718;0.133900002;"H";"4";"y";114.1602;838;NA;NA;0.856801909307876;"No"
33;"33_H1";"H1";"B329_WT+F16";868;0.150299996;"H";"1";"y";186.8076;966.5;NA;NA;0.898085876875323;"No"
33;"33_H2";"H2";"B329_WT+F16";738;0.131400004;"H";"2";"y";186.8076;966.5;NA;NA;0.76357992757372;"No"
33;"33_H3";"H3";"B329_WT+F16";894;0.132400006;"H";"3";"y";186.8076;966.5;NA;NA;0.924987066735644;"No"
33;"33_H4";"H4";"B329_WT+F16";767;0.139300004;"H";"4";"y";186.8076;966.5;NA;NA;0.793585100879462;"No"
34;"34_H1";"H1";"B329_WT+F16";740;0.120399997;"H";"1";"y";114.1602;845;NA;NA;0.875739644970414;"No"
34;"34_H2";"H2";"B329_WT+F16";744;0.135100007;"H";"2";"y";114.1602;845;NA;NA;0.880473372781065;"No"
34;"34_H3";"H3";"B329_WT+F16";779;0.128700003;"H";"3";"y";114.1602;845;NA;NA;0.92189349112426;"No"
34;"34_H4";"H4";"B329_WT+F16";740;0.135000005;"H";"4";"y";114.1602;845;NA;NA;0.875739644970414;"No"
