	Strain	Strain2	Media	Pqq	Plate	Well	OD600	Fluorescens	Rep
722	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	E6	0.083700001	166	R3
672	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	A6	0.081699997	170	R3
710	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	D6	0.0823	171	R3
734	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	F6	0.082400002	171	R3
733	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	F5	0.085100003	173	R3
697	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	C6	0.083700001	175	R3
684	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	B6	0.082500003	179	R3
709	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	D5	0.086499996	182	R3
670	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	A4	0.084600002	183	R3
708	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	D4	0.085299999	184	R3
720	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	E4	0.085600004	184	R3
682	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	B4	0.085699998	187	R3
732	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	F4	0.084899999	190	R3
696	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	C5	0.084700003	192	R3
721	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	E5	0.088	193	R3
162	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	F6	0.083899997	195	R1
695	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	C4	0.084799998	205	R3
683	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	B5	0.098800004	214	R3
161	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	F5	0.084100001	232	R1
112	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	B4	0.082599998	233	R1
100	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	A4	0.086800002	240	R1
113	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	B5	0.0836	240	R1
114	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	B6	0.086000003	252	R1
149	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	E5	0.090000004	252	R1
102	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	A6	0.085600004	261	R1
150	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	E6	0.088399999	261	R1
125	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	C5	0.084600002	264	R1
138	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	D6	0.083400004	267	R1
136	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	D4	0.081100002	271	R1
126	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	C6	0.0867	276	R1
124	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	C4	0.084899999	288	R1
160	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	F4	0.087499999	297	R1
148	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	E4	0.088699996	300	R1
137	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	D5	0.085500002	323	R1
101	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	A5	0.090400003	360	R1
671	Control_Fungi	Control_Fungi	 M9_3OMG_F16 	0	P2	A5	0.115400001	386	R3
760	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	H8	0.081600003	122	R3
674	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	A8	0.081	124	R3
712	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	D8	0.079800002	129	R3
687	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	B8	0.079999998	130	R3
724	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	E8	0.081299998	130	R3
748	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	G8	0.081699997	130	R3
761	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	H9	0.080700003	130	R3
736	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	F8	0.080899999	132	R3
749	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	G9	0.079899997	132	R3
700	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	C8	0.079999998	133	R3
737	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	F9	0.079599999	134	R3
713	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	D9	0.079800002	136	R3
725	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	E9	0.079999998	136	R3
675	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	A9	0.079099998	137	R3
701	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	C9	0.081900001	137	R3
688	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	B9	0.092100002	138	R3
140	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	D8	0.077399999	143	R1
116	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	B8	0.081699997	144	R1
183	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	H9	0.0766	144	R1
141	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	D9	0.077399999	145	R1
153	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	E9	0.086900003	145	R1
182	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	H8	0.076499999	146	R1
165	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	F9	0.077399999	147	R1
129	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	C9	0.076700002	148	R1
172	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	G8	0.076800004	148	R1
173	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	G9	0.076200001	149	R1
104	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	A8	0.080700003	150	R1
128	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	C8	0.077600002	150	R1
164	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	F8	0.077	150	R1
105	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	A9	0.076399997	151	R1
152	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	E8	0.080200002	151	R1
117	Control_no_fungi	Control_no_fungi	 M9_3OMG 	0	P2	B9	0.076200001	152	R1
103	Empty	Empty	 M9_3OMG	0	P2	A7	0.0814	143	R1
127	Empty	Empty	 M9_3OMG_F16 	0	P2	C7	0.081500001	143	R1
151	Empty	Empty	 M9_3OMG_F16 	0	P2	E7	0.084200002	143	R1
163	Empty	Empty	 M9_3OMG_F16 	0	P2	F7	0.089100003	143	R1
115	Empty	Empty	 M9_3OMG_F16 	0	P2	B7	0.081100002	144	R1
180	Empty	Empty	 M9_3OMG	0	P2	H6	0.0814	147	R1
