,Treatment,Pots,Rep,Microbes,Plants,Expe,SFW
1,3OMG,R1,1,MF,5,Fungal SynCom (n=4),19.2
2,3OMG,R1,2,MF,5,Fungal SynCom (n=4),15.7
3,3OMG,R1,3,MF,5,Fungal SynCom (n=4),9.9
4,3OMG,R1,4,MF,5,Fungal SynCom (n=4),13.8
5,3OMG,R1,5,MF,5,Fungal SynCom (n=4),19.3
6,3OMG,R2,1,MF,5,Fungal SynCom (n=4),22.2
7,3OMG,R2,2,MF,5,Fungal SynCom (n=4),26
8,3OMG,R2,3,MF,5,Fungal SynCom (n=4),21.1
9,3OMG,R2,4,MF,5,Fungal SynCom (n=4),18.8
10,3OMG,R2,5,MF,5,Fungal SynCom (n=4),27.3
11,3OMG,R3,1,MF,5,Fungal SynCom (n=4),23
12,3OMG,R3,2,MF,5,Fungal SynCom (n=4),23.3
13,3OMG,R3,3,MF,5,Fungal SynCom (n=4),20.7
14,3OMG,R3,4,MF,5,Fungal SynCom (n=4),21.3
15,3OMG,R3,5,MF,5,Fungal SynCom (n=4),27.8
16,3OMG,R4,1,MF,5,Fungal SynCom (n=4),12.7
17,3OMG,R4,2,MF,5,Fungal SynCom (n=4),26.7
18,3OMG,R4,3,MF,5,Fungal SynCom (n=4),17
19,3OMG,R4,4,MF,5,Fungal SynCom (n=4),22.5
20,3OMG,R4,5,MF,5,Fungal SynCom (n=4),18.9
21,Water,R1,1,MF,5,Fungal SynCom (n=4),10.6
22,Water,R1,2,MF,5,Fungal SynCom (n=4),21.1
23,Water,R1,3,MF,5,Fungal SynCom (n=4),24.8
24,Water,R1,4,MF,5,Fungal SynCom (n=4),16.6
25,Water,R1,5,MF,5,Fungal SynCom (n=4),17.9
26,Water,R2,1,MF,5,Fungal SynCom (n=4),21.1
27,Water,R2,2,MF,5,Fungal SynCom (n=4),24.9
28,Water,R2,3,MF,5,Fungal SynCom (n=4),23.8
29,Water,R2,4,MF,5,Fungal SynCom (n=4),22
30,Water,R2,5,MF,5,Fungal SynCom (n=4),27.5
31,Water,R3,1,MF,5,Fungal SynCom (n=4),27.8
32,Water,R3,2,MF,5,Fungal SynCom (n=4),24.3
33,Water,R3,3,MF,5,Fungal SynCom (n=4),24.4
34,Water,R3,4,MF,5,Fungal SynCom (n=4),28.4
35,Water,R3,5,MF,5,Fungal SynCom (n=4),23
36,Water,R4,1,MF,5,Fungal SynCom (n=4),26.9
37,Water,R4,2,MF,5,Fungal SynCom (n=4),27.4
38,Water,R4,3,MF,5,Fungal SynCom (n=4),24
39,Water,R4,4,MF,5,Fungal SynCom (n=4),22.6
40,Water,R4,5,MF,5,Fungal SynCom (n=4),25.2
41,3OMG,R1,1,FSC,4,Fungal SynCom (n=4),23.6
42,3OMG,R1,2,FSC,4,Fungal SynCom (n=4),25.1
43,3OMG,R1,3,FSC,4,Fungal SynCom (n=4),18.8
44,3OMG,R1,4,FSC,4,Fungal SynCom (n=4),19.5
45,3OMG,R1,5,FSC,4,Fungal SynCom (n=4),0
46,3OMG,R2,1,FSC,5,Fungal SynCom (n=4),16.1
47,3OMG,R2,2,FSC,5,Fungal SynCom (n=4),28.5
48,3OMG,R2,3,FSC,5,Fungal SynCom (n=4),23.1
49,3OMG,R2,4,FSC,5,Fungal SynCom (n=4),31.8
50,3OMG,R2,5,FSC,5,Fungal SynCom (n=4),10.5
55,3OMG,R3,1,FSC,4,Fungal SynCom (n=4),25.3
56,3OMG,R3,2,FSC,4,Fungal SynCom (n=4),32.5
57,3OMG,R3,3,FSC,4,Fungal SynCom (n=4),35.9
58,3OMG,R3,4,FSC,4,Fungal SynCom (n=4),25.9
59,3OMG,R3,5,FSC,4,Fungal SynCom (n=4),0
60,3OMG,R4,1,FSC,5,Fungal SynCom (n=4),23.5
61,3OMG,R4,2,FSC,5,Fungal SynCom (n=4),23.3
62,3OMG,R4,3,FSC,5,Fungal SynCom (n=4),26.9
63,3OMG,R4,4,FSC,5,Fungal SynCom (n=4),23.5
64,3OMG,R4,5,FSC,5,Fungal SynCom (n=4),27.9
65,Water,R1,1,FSC,5,Fungal SynCom (n=4),1.7
66,Water,R1,2,FSC,5,Fungal SynCom (n=4),1.3
67,Water,R1,3,FSC,5,Fungal SynCom (n=4),1.6
68,Water,R1,4,FSC,5,Fungal SynCom (n=4),13
69,Water,R1,5,FSC,5,Fungal SynCom (n=4),22.4
71,Water,R2,1,FSC,4,Fungal SynCom (n=4),6.1
72,Water,R2,2,FSC,4,Fungal SynCom (n=4),15.3
73,Water,R2,3,FSC,4,Fungal SynCom (n=4),18
74,Water,R2,4,FSC,4,Fungal SynCom (n=4),36.7
75,Water,R2,5,FSC,4,Fungal SynCom (n=4),0
77,Water,R3,1,FSC,3,Fungal SynCom (n=4),23.6
78,Water,R3,2,FSC,3,Fungal SynCom (n=4),18.3
79,Water,R3,3,FSC,3,Fungal SynCom (n=4),27.1
80,Water,R3,4,FSC,3,Fungal SynCom (n=4),0
81,Water,R3,5,FSC,3,Fungal SynCom (n=4),0
82,Water,R4,1,FSC,3,Fungal SynCom (n=4),8.3
83,Water,R4,2,FSC,3,Fungal SynCom (n=4),17
84,Water,R4,3,FSC,3,Fungal SynCom (n=4),10.7
85,Water,R4,4,FSC,3,Fungal SynCom (n=4),0
86,Water,R4,5,FSC,3,Fungal SynCom (n=4),0
87,Glucose,R1,1,MF,3,Fungal SynCom (n=4),15.5
88,Glucose,R1,2,MF,3,Fungal SynCom (n=4),17.9
89,Glucose,R1,3,MF,3,Fungal SynCom (n=4),13.6
