Experiment;Treatment;Disease index
1;Rhizoctonia;3
1;Rhizoctonia;0
1;Rhizoctonia;1
1;Rhizoctonia;3
1;Rhizoctonia;0
1;Rhizoctonia;1
1;Rhizoctonia;2
1;Rhizoctonia;3
1;Rhizoctonia;3
1;Rhizoctonia;0
1;Rhizoctonia;0
1;Rhizoctonia;1
1;Rhizoctonia;2
1;Rhizoctonia;3
1;Rhizoctonia;1
1;Rhizoctonia;2
1;Rhizoctonia;1
1;Rhizoctonia;0
1;Rhizoctonia;1
1;Rhizoctonia;3
1;Rhizoctonia;1
1;Rhizoctonia;1
1;Rhizoctonia;3
1;Rhizoctonia;3
1;Rhizoctonia;1
1;Rhizoctonia;1
1;Rhizoctonia;1
1;Rhizoctonia;0
1;Rhizoctonia;1
1;Rhizoctonia;1
1;Rhizoctonia;1
1;Rhizoctonia;1
1;Rhizoctonia;3
1;Rhizoctonia;2
1;Rhizoctonia;3
1;Rhizoctonia;1
1;Rhizoctonia;0
1;Rhizoctonia;2
1;Rhizoctonia;2
1;Rhizoctonia;1
1;Rhizoctonia;2
1;Rhizoctonia;2
1;Rhizoctonia;2
1;Rhizoctonia;1
1;Rhizoctonia;0
1;Rhizoctonia;3
1;Rhizoctonia;3
1;Rhizoctonia;1
1;Rhizoctonia;4
1;Rhizoctonia;4
1;Rhizoctonia;4
1;Rhizoctonia;4
1;Rhizoctonia;4
1;Rhizoctonia;5
1;Rhizoctonia;5
1;Rhizoctonia;5
1;Control;5
1;Control;5
1;Control;5
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;1
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Control;0
1;Rhizoctonia+3-OMG;5
1;Rhizoctonia+3-OMG;5
1;Rhizoctonia+3-OMG;5
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;3
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;2
1;Rhizoctonia+3-OMG;1
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;2
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;1
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;1
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;3
1;Rhizoctonia+3-OMG;1
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;1
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;1
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;2
1;Rhizoctonia+3-OMG;1
1;Rhizoctonia+3-OMG;0
1;Rhizoctonia+3-OMG;1
2;Rhizoctonia;4
2;Rhizoctonia;4
2;Rhizoctonia;4
2;Rhizoctonia;4
2;Rhizoctonia;4
2;Rhizoctonia;4
2;Rhizoctonia;4
2;Rhizoctonia;4
2;Rhizoctonia;4
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;5
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;1
2;Rhizoctonia;1
2;Rhizoctonia;2
2;Rhizoctonia;0
2;Rhizoctonia;1
2;Rhizoctonia;0
