groupe;proportion;Disease_Index;Treatment;number_of_plants;Experiment
1_Control;0.933333333333333;0;Control;n=60;1
1_Rhizoctonia;0.142857142857143;0;Rhizoctonia;n=56;1
1_Rhizoctonia+3-OMG;0.714285714285714;0;Rhizoctonia+3-OMG;n=60;1
2_Control;0.918032786885246;0;Control;n=60;2
2_Rhizoctonia;0.0508474576271186;0;Rhizoctonia;n=60;2
2_Rhizoctonia+3-OMG;0.779661016949153;0;Rhizoctonia+3-OMG;n=58;2
3_Control;0.931034482758621;0;Control;n=60;3
3_Rhizoctonia;0.0666666666666667;0;Rhizoctonia;n=60;3
3_Rhizoctonia+3-OMG;0.533333333333333;0;Rhizoctonia+3-OMG;n=60;3
1_Control;0.0166666666666667;1;Control;n=60;1
1_Rhizoctonia;0.339285714285714;1;Rhizoctonia;n=56;1
1_Rhizoctonia+3-OMG;0.142857142857143;1;Rhizoctonia+3-OMG;n=60;1
2_Control;0.0327868852459016;1;Control;n=60;2
2_Rhizoctonia;0.152542372881356;1;Rhizoctonia;n=60;2
2_Rhizoctonia+3-OMG;0.0338983050847458;1;Rhizoctonia+3-OMG;n=58;2
3_Control;0;1;Control;n=60;3
3_Rhizoctonia;0.166666666666667;1;Rhizoctonia;n=60;3
3_Rhizoctonia+3-OMG;0.133333333333333;1;Rhizoctonia+3-OMG;n=60;3
1_Control;0;2;Control;n=60;1
1_Rhizoctonia;0.160714285714286;2;Rhizoctonia;n=56;1
1_Rhizoctonia+3-OMG;0.0535714285714286;2;Rhizoctonia+3-OMG;n=60;1
2_Control;0.0163934426229508;2;Control;n=60;2
2_Rhizoctonia;0.305084745762712;2;Rhizoctonia;n=60;2
2_Rhizoctonia+3-OMG;0.101694915254237;2;Rhizoctonia+3-OMG;n=58;2
3_Control;0;2;Control;n=60;3
3_Rhizoctonia;0.466666666666667;2;Rhizoctonia;n=60;3
3_Rhizoctonia+3-OMG;0.05;2;Rhizoctonia+3-OMG;n=60;3
1_Control;0;3;Control;n=60;1
1_Rhizoctonia;0.214285714285714;3;Rhizoctonia;n=56;1
1_Rhizoctonia+3-OMG;0.0357142857142857;3;Rhizoctonia+3-OMG;n=60;1
2_Control;0;3;Control;n=60;2
2_Rhizoctonia;0;3;Rhizoctonia;n=60;2
2_Rhizoctonia+3-OMG;0.0169491525423729;3;Rhizoctonia+3-OMG;n=58;2
3_Control;0;3;Control;n=60;3
3_Rhizoctonia;0;3;Rhizoctonia;n=60;3
3_Rhizoctonia+3-OMG;0;3;Rhizoctonia+3-OMG;n=60;3
1_Control;0;4;Control;n=60;1
1_Rhizoctonia;0.0892857142857143;4;Rhizoctonia;n=56;1
1_Rhizoctonia+3-OMG;0;4;Rhizoctonia+3-OMG;n=60;1
2_Control;0.0163934426229508;4;Control;n=60;2
2_Rhizoctonia;0.152542372881356;4;Rhizoctonia;n=60;2
2_Rhizoctonia+3-OMG;0.0169491525423729;4;Rhizoctonia+3-OMG;n=58;2
3_Control;0.0344827586206897;4;Control;n=60;3
3_Rhizoctonia;0.05;4;Rhizoctonia;n=60;3
3_Rhizoctonia+3-OMG;0.0833333333333333;4;Rhizoctonia+3-OMG;n=60;3
1_Control;0.05;5;Control;n=60;1
1_Rhizoctonia;0.0535714285714286;5;Rhizoctonia;n=56;1
1_Rhizoctonia+3-OMG;0.0535714285714286;5;Rhizoctonia+3-OMG;n=60;1
2_Control;0.0163934426229508;5;Control;n=60;2
2_Rhizoctonia;0.338983050847458;5;Rhizoctonia;n=60;2
2_Rhizoctonia+3-OMG;0.0508474576271186;5;Rhizoctonia+3-OMG;n=58;2
3_Control;0.0344827586206897;5;Control;n=60;3
3_Rhizoctonia;0.25;5;Rhizoctonia;n=60;3
3_Rhizoctonia+3-OMG;0.2;5;Rhizoctonia+3-OMG;n=60;3
