	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S3	S4	S5	S6	S7	S8	S9
f0c1a3a2d9a11a4ceb939a01b36ae546	12268.0	97761.0	26576.0	33919.0	13426.0	6526.0	7450.0	7549.0	1071.0	54598.0	79329.0	76551.0	7372.0	14137.0	36244.0	144846.0	27839.0	30.0	51129.0	9409.0	20384.0	40745.0	40148.0	20857.0	12117.0
66fc536374a8cb736235ff6cc165a912	15230.0	22402.0	66555.0	26382.0	18790.0	7954.0	8085.0	7889.0	228.0	143859.0	42460.0	99272.0	1561.0	17302.0	116385.0	24108.0	30997.0	0.0	29955.0	14701.0	28711.0	36574.0	18614.0	8461.0	3313.0
eae24287f917b14fd2b985132d79a4c2	3232.0	7156.0	606.0	101629.0	524.0	533.0	457.0	114.0	31.0	1433.0	273959.0	13726.0	136.0	466.0	691.0	48966.0	7011.0	0.0	3828.0	977.0	1089.0	8458.0	752.0	2440.0	4482.0
6b8c123f247f39f5a41a2d282b1628e3	6009.0	13917.0	6675.0	9886.0	3971.0	5324.0	64694.0	4898.0	301.0	98632.0	12545.0	38331.0	631.0	4688.0	30492.0	13519.0	11992.0	0.0	8522.0	4954.0	10385.0	27651.0	28309.0	3315.0	5485.0
b3d5afe656db169e4554496443a5b075	1100.0	31109.0	40410.0	5310.0	1577.0	2723.0	3557.0	3629.0	33.0	2058.0	1690.0	6408.0	348.0	2358.0	2665.0	66085.0	9895.0	0.0	13077.0	369.0	2436.0	2092.0	1932.0	9665.0	659.0
b46e320af4d2da78ad95c8ef7f24a863	81.0	227.0	152.0	133.0	112.0	99955.0	8653.0	51.0	24.0	272.0	308.0	149.0	234.0	390.0	15492.0	2936.0	27164.0	0.0	184.0	583.0	320.0	1331.0	21961.0	262.0	189.0
18d0ad1e0242c39f3f648c9cfb90cc27	297.0	331.0	507.0	139221.0	741.0	268.0	206.0	0.0	0.0	654.0	2699.0	4982.0	0.0	160.0	551.0	9441.0	7259.0	0.0	544.0	841.0	394.0	1597.0	236.0	470.0	130.0
e5aa9e77823c2a43d1d7fb008367f2bf	20149.0	1756.0	147.0	688.0	20917.0	44022.0	574.0	113.0	11.0	84.0	454.0	1610.0	0.0	1193.0	155.0	294.0	178.0	0.0	667.0	497.0	4474.0	1345.0	604.0	301.0	31763.0
2497f0a74199225a24a2d68c93bb40b5	1091.0	1930.0	122.0	10955.0	128.0	117.0	106.0	35.0	0.0	358.0	76824.0	3099.0	0.0	148.0	144.0	10986.0	337.0	0.0	1046.0	214.0	267.0	1733.0	188.0	2179.0	1140.0
aa6bdb008036184042dc06a30d15c1fb	349.0	1025.0	122.0	333.0	11920.0	5278.0	600.0	1921.0	30.0	278.0	125.0	328.0	581.0	812.0	2255.0	15842.0	10720.0	0.0	1530.0	400.0	293.0	17679.0	2983.0	7170.0	26358.0
