	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S3	S4	S5	S6	S7	S8	S9
fe6e0d84335c1c1de1b254c8c3bcd054	1983.0	283057.0	100193.0	247778.0	26136.0	162209.0	171262.0	162340.0	679.0	3459.0	1384.0	156923.0	438.0	72774.0	263746.0	301756.0	187486.0	94.0	2131.0	780.0	3360.0	4839.0	476.0	7706.0	12439.0
058694092f7489fb5eeecd9e03e31cf8	2101.0	8095.0	4025.0	173271.0	220509.0	167565.0	271598.0	524260.0	1224.0	15037.0	2068.0	1352.0	326.0	1380.0	3654.0	22353.0	19382.0	68.0	1357.0	497.0	466.0	1409.0	496.0	2075.0	10504.0
c726a12fb845c46a9c74d9567e0375a1	12395.0	14721.0	213131.0	2403.0	5837.0	3213.0	2284.0	2096.0	6833.0	185536.0	154018.0	32458.0	1705.0	4467.0	4193.0	3726.0	12357.0	52.0	46105.0	2329.0	3325.0	42319.0	4084.0	85732.0	2318.0
7baf3d1696f5384217d59bb566607ffe	28755.0	19565.0	11922.0	18219.0	4091.0	8535.0	8019.0	11714.0	72137.0	20137.0	61363.0	72111.0	8240.0	16706.0	12246.0	9120.0	29245.0	60.0	22894.0	17665.0	18653.0	92903.0	14703.0	188091.0	9529.0
161fd3fad435356cdc250d8167649c7e	78897.0	12010.0	6782.0	3017.0	1055.0	15149.0	2927.0	10282.0	3427.0	13904.0	27826.0	27420.0	6027.0	2283.0	2239.0	5748.0	7810.0	24.0	12476.0	8974.0	3298.0	21442.0	2324.0	82666.0	3016.0
f66b05ac656f4da4f846f022f3fb2923	12912.0	15990.0	5290.0	3076.0	516.0	16062.0	4390.0	1527.0	1490.0	9439.0	10394.0	40311.0	2236.0	1460.0	3135.0	4218.0	5931.0	17.0	17953.0	4135.0	1874.0	25939.0	5041.0	23243.0	12139.0
7527d3601af0f133280894adf17c08f4	7202.0	3963.0	3134.0	4931.0	1187.0	21694.0	1991.0	11031.0	2130.0	8066.0	2595.0	4515.0	586.0	827.0	682.0	1492.0	23246.0	0.0	2378.0	2735.0	2851.0	13433.0	637.0	55162.0	696.0
99ffe7a8f21dde30f816a56273dfe51a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154411.0
b3b05a3b5d2c434646b20807605b999b	3459.0	390.0	56129.0	1708.0	9283.0	14007.0	264.0	400.0	978.0	15862.0	15743.0	7223.0	321.0	1174.0	1316.0	613.0	1016.0	12.0	744.0	804.0	467.0	1536.0	5194.0	5584.0	382.0
c12d33a891d4f70b5f9ef98d12ae0b7e	82575.0	684.0	432.0	323.0	988.0	804.0	524.0	191.0	1348.0	8792.0	2110.0	8875.0	318.0	74.0	450.0	478.0	494.0	7.0	4078.0	723.0	1001.0	22300.0	330.0	5402.0	305.0
4642decfdeab23ed3b75919ee16ff532	179.0	119.0	96425.0	252.0	296.0	157.0	181.0	272.0	94.0	3003.0	306.0	11424.0	520.0	67.0	100.0	115.0	124.0	6.0	452.0	57.0	58.0	12364.0	46.0	337.0	89.0
890af6b508358747e82b031a6cfd892c	57014.0	107.0	144.0	116.0	106.0	128.0	1372.0	465.0	61.0	5783.0	119.0	1208.0	39.0	49.0	92.0	99.0	103.0	15.0	49199.0	38.0	802.0	4963.0	233.0	1822.0	52.0
32e78844ce16bc3c8312242c5cb49482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118446.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49cb89801f50f413537d4f3b1a1895f2	91300.0	41.0	45.0	26.0	13.0	41.0	1182.0	52.0	18.0	38.0	46.0	55.0	17.0	21.0	32.0	30.0	35.0	0.0	37.0	13.0	14.0	26.0	0.0	38.0	16.0
a1bf81fb41dafcb5ee465dc254bdb6a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91224.0	0.0	0.0	0.0	0.0	0.0	0.0
a3ce3f48e2fd74da26aee97c5a3950a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90475.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
889f67b17525e7926622f1641c2e844e	18762.0	16370.0	2372.0	3450.0	744.0	0.0	0.0	0.0	918.0	0.0	3623.0	5608.0	0.0	0.0	0.0	0.0	0.0	0.0	4899.0	0.0	779.0	0.0	0.0	32208.0	0.0
87809866dcab176345036cb29915f137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88666.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20cabc53511b9b817b515e642cba5c32	0.0	0.0	0.0	0.0	0.0	0.0	83516.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bb0209f50f64f02a2a1a4c1a96b382e1	183.0	2308.0	149.0	129.0	296.0	179.0	502.0	153.0	2158.0	2499.0	7108.0	1415.0	1121.0	1369.0	264.0	3805.0	1122.0	0.0	2135.0	633.0	0.0	7204.0	255.0	1738.0	45764.0
bffd75ffc7f00e4f48ade3dccff041a8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78878.0	0.0	0.0	0.0	0.0	0.0
a531f9e17b82ad984e4382882f07356b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67342.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d3279448e5079b6deac4f1a175eb7492	6196.0	274.0	113.0	230.0	68.0	41325.0	125.0	142.0	8036.0	555.0	90.0	5209.0	325.0	487.0	53.0	509.0	82.0	0.0	91.0	1356.0	603.0	85.0	665.0	131.0	147.0
306ccd0c840309ac9ae708c3e38a94b7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64664.0	0.0	0.0	0.0	0.0
