"total_reads","total_reads_Assigned","total_reads_After_Chloro"
153113,152554,153113
303968,303202,303968
290438,289501,290438
389030,388725,389030
163584,163401,163584
293976,293763,293976
242376,242014,242376
59076,58986,59076
4721,4681,4721
364615,364176,364615
544178,543765,544178
344359,343713,344359
32836,32576,32836
155394,154905,155379
291607,291148,291607
476734,476429,476734
292346,291989,292346
63,59,63
242189,241224,242189
196993,196490,196993
163020,162584,163020
222814,222458,222814
233593,233246,233593
142144,141541,142144
191248,190858,191248
