"total_reads","total_reads_Assigned","total_reads_After_Chloro"
507612,427337,507612
454135,423702,454135
612497,541116,612497
498638,486224,498638
363986,295260,363986
477728,470387,477728
575170,478817,575170
819875,749658,819875
221306,130423,221306
411770,366286,411770
446397,341422,446397
494837,461016,494837
122777,46943,122777
254449,140597,254449
446397,308010,446397
450132,382047,450132
437008,318391,437008
25121,1238,25121
369040,227356,369040
162859,53924,162859
133611,47086,133611
314287,293862,314287
103082,55538,103082
709598,626646,709598
306741,106025,306741
