Rep,Pathogens,Disease,Disease.2,Experiment,Treatment,Date,Foliar.Disk,Sporulation
1,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D1,80
2,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D1,80
3,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D1,90
4,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D2,80
5,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D2,70
6,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D2,60
7,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D3,100
8,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D3,100
9,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D3,100
10,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D4,100
11,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D4,100
12,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D4,100
13,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D5,100
14,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D5,100
15,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D5,100
16,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D6,100
17,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D6,100
18,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D6,100
19,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D7,100
20,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D7,100
21,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D7,100
22,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D8,100
23,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D8,100
24,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D8,100
25,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D9,100
26,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D9,100
27,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,TNT,02.12.25,D9,100
28,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D1,100
29,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D1,100
30,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D1,100
31,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D2,100
32,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D2,100
33,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D2,100
34,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D3,100
35,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D3,100
36,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D3,100
37,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D4,100
38,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D4,100
39,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D4,100
40,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D5,100
41,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D5,100
42,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D5,100
43,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D6,100
44,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D6,100
45,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D6,100
46,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D7,100
47,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D7,100
48,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D7,100
49,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D8,100
50,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D8,100
51,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D8,100
52,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D9,100
53,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D9,100
54,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,1.9mM,02.12.25,D9,100
55,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D1,30
56,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D1,15
57,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D1,10
58,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D2,100
59,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D2,100
60,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D2,100
61,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D3,100
62,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D3,100
63,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D3,100
64,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D4,100
65,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D4,100
66,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D4,100
67,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D5,100
68,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D5,100
69,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D5,100
70,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D6,100
71,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D6,100
72,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D6,100
73,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D7,100
74,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D7,100
75,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D7,100
76,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D8,100
77,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D8,100
78,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D8,100
79,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D9,100
80,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D9,100
81,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,3.75mM,02.12.25,D9,100
