locus_id	protein_id	arath_lfc	arath_padj	barley_lfc	barley_padj	mtom_lfc	mtom_padj	arath_sig	mtom_sig	barley_sig	arath_induced	mtom_induced	barley_induced	induced_all	induced_arath	induced_arath.mtom	induced_mtom	induced_barley	induced_arath.barley	induced_mtom.barley	description	kogid	kogdefline	kogClass	kogGroup	gotermId	goName	gotermType	goAcc	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score	CAZYName	CAZYbitscore	CAZYSubstrate	CAZYEnzymes	CAZYEC	SignalPepProb	Effector	MEROPS_description	MEROPS_unit	clusters
gene_8819	99373	0.670349287	0.367349033	0.060108157	0.952952593	0.735356247	0.390299866	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	ICE2protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR013635	ICE2	HMMPfam	PF08426	ICE2	1	"5,"	"416,"	1.70E-133	NA	NA	NA	NA	NA	0.977	Non-effector	NA	NA	4
gene_8820	99376	-0.170879163	0.789007484	-0.053422339	NA	-0.059843853	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Alpha/Betahydrolasefold	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR029059	Alpha/beta hydrolase fold-5	HMMPfam	PF12695	Alpha/beta hydrolase family	1	"82,"	"294,"	1.60E-08	NA	NA	NA	NA	NA	NA	NA	family S9 unassigned peptidases	peptidase unit: 46-365	4
gene_8821	99380	-0.312199672	0.59591242	-0.262943737	NA	-0.150597849	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	DUF218domain-containingprotein	KOG4533	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR003848	Domain of unknown function DUF218	HMMPfam	PF02698	DUF218 domain	1	"40,"	"148,"	3.60E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8824	99412	2.206646066	0.0094077	0.674995226	0.425552858	0.865826156	0.322036851	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	celldivisioncontrolprotein	KOG0198	MEKK and related serine/threonine protein kinases	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING	3043	protein kinase activity	molecular_function	GO:0004672	NA	NA	NA	NA	NA	NA	NA	NA	IPR000719	Protein kinase domain	HMMPfam	PF00069	Protein kinase domain	1	"60,"	"313,"	3.30E-68	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8829	99457	0.312741793	0.69088425	0.351422389	0.684356844	0.079406725	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8832	99486	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	2196	transcription factor activity	molecular_function	GO:0003700	NA	NA	NA	NA	NA	NA	NA	NA	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	HMMPfam	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	1	"8,"	"44,"	1.10E-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_39	328	-0.449051187	0.48778446	-0.587506636	0.476743982	0.550594424	0.508653586	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8839	99593	0.472481999	0.536725511	-0.212702579	NA	-0.022732845	0.995448083	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	acetyltransferase	NA	NA	NA	NA	5765	N-acetyltransferase activity	molecular_function	GO:0008080	NA	NA	NA	NA	NA	NA	NA	NA	IPR000182	GNAT domain	HMMPfam	PF00583	Acetyltransferase (GNAT) family	1	"148,"	"210,"	4.20E-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8841	99606	2.680205795	2.58E-06	1.521285835	0.042093918	2.138293501	0.003553694	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Rasfamily-domaincontainingprotein	KOG0395	Ras-related GTPase	General function prediction only 	POORLY CHARACTERIZED	3737	GTP binding	molecular_function	GO:0005525	NA	NA	NA	NA	NA	NA	NA	NA	IPR001806	Small GTPase superfamily	HMMPfam	PF00071	Ras family	1	"9,"	"186,"	1.70E-51	GT23	175.6	NA	NA	NA	NA	NA	NA	NA	4
gene_8842	99607	0.984722779	0.062946577	0.216685864	0.796410717	0.637739851	0.356613001	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8843	99629	-0.106249496	NA	-0.065430043	NA	-0.053085468	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8844	99635	0.94616199	0.230458566	0.363065087	NA	-0.094640116	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8845	99638	2.042015177	0.000256407	2.043656986	0.001124666	1.734113228	0.025230788	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8846	99651	-0.504798972	0.365930404	-1.304080256	0.076935935	-0.661560885	0.388566603	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chitinsynthase	KOG2571	Chitin synthase/hyaluronan synthase (glycosyltransferases)	Cell wall/membrane/envelope biogenesis 	CELLULAR PROCESSES AND SIGNALING	2540	chitin synthase activity	molecular_function	GO:0004100	2.4.1.16	Chitin synthase.	"UDP-N-acetyl-D-glucosamine + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N) = UDP + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N+1)."	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC	IPR004834	Fungal chitin synthase	HMMPfam	PF01644	Chitin synthase	1	"231,"	"399,"	3.30E-68	GT2	1432.09	NA	NA	NA	NA	NA	NA	NA	4
gene_8849	99699	0.423400492	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	cytochromeb5-likeHeme/Steroidbindingdomain-containingprotein	KOG1158	NADP/FAD dependent oxidoreductase	Energy production and conversion 	METABOLISM	12251	heme binding	molecular_function	GO:0020037	NA	NA	NA	NA	NA	NA	NA	NA	IPR001199	Cytochrome b5-like heme/steroid binding domain	HMMPfam	PF00173	Cytochrome b5-like Heme/Steroid binding domain	1	"999,"	"1074,"	6.30E-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
