locus_name	CAZYName
gene_8819	NA
gene_8820	NA
gene_8821	NA
gene_8824	NA
gene_8829	NA
gene_8832	NA
gene_39	NA
gene_8839	NA
gene_8841	GT23
gene_8842	NA
gene_8843	NA
gene_8844	NA
gene_8845	NA
gene_8846	GT2
gene_8849	NA
gene_8854	NA
gene_8856	NA
gene_8857	NA
gene_8855	NA
gene_8853	NA
gene_8863	NA
gene_8866	NA
gene_8867	NA
gene_1073	NA
gene_8870	NA
gene_8869	NA
gene_8878	NA
gene_8880	NA
gene_8889	NA
gene_8892	NA
gene_8895	NA
gene_8897	GT31
gene_8894	NA
gene_8893	NA
gene_8896	NA
gene_8901	NA
gene_8906	NA
gene_8908	NA
gene_8909	NA
gene_8912	NA
gene_8918	NA
gene_8921	NA
gene_8926	NA
gene_8927	NA
gene_8931	NA
gene_8933	NA
gene_1082	NA
gene_8938	NA
gene_8949	NA
gene_1080	NA
gene_8951	GH16_20
gene_8953	NA
gene_1083	NA
gene_8956	NA
gene_8959	NA
gene_8961	NA
gene_8963	NA
gene_8966	NA
gene_1081	NA
gene_8967	NA
gene_8976	NA
gene_8972	NA
gene_8970	NA
gene_8973	NA
gene_43	NA
gene_8986	NA
gene_8987	NA
gene_8988	NA
gene_8990	NA
gene_42	NA
gene_8991	NA
gene_8993	NA
gene_1086	NA
gene_8996	NA
gene_9002	NA
gene_9000	NA
gene_9001	NA
gene_9004	NA
gene_9008	NA
gene_9009	NA
gene_9011	NA
gene_1092	NA
gene_9020	NA
gene_9022	NA
gene_9023	NA
gene_9025	GH28
gene_9027	CE8
gene_9031	NA
gene_9033	NA
gene_9036	NA
gene_9040	NA
gene_9047	NA
gene_9057	NA
gene_9058	NA
gene_9065	NA
gene_9067	GT31
gene_9070	NA
gene_9073	NA
gene_9074	NA
gene_1093	NA
gene_1094	NA
gene_9078	NA
gene_9083	NA
gene_9086	NA
gene_9087	NA
gene_9092	NA
gene_9096	NA
gene_9097	NA
gene_9100	NA
gene_9113	NA
gene_1097	NA
gene_9116	NA
gene_9118	NA
gene_9119	NA
gene_9123	NA
gene_9127	GT31
gene_9126	NA
gene_9129	NA
gene_9131	NA
gene_9134	NA
gene_9133	NA
gene_9128	NA
gene_1104	NA
gene_9135	NA
gene_1105	NA
gene_9137	NA
gene_9139	NA
gene_9140	NA
gene_9145	NA
gene_1106	NA
gene_9146	NA
gene_9149	NA
gene_9153	NA
gene_9154	NA
gene_9155	NA
gene_9157	NA
gene_9161	NA
gene_9163	NA
gene_9168	NA
gene_9175	NA
gene_9183	NA
gene_9185	NA
gene_9187	NA
gene_9191	CBM1
gene_9193	NA
gene_9194	NA
gene_9199	NA
gene_1108	NA
gene_9201	NA
gene_1110	NA
gene_9203	NA
gene_9202	NA
gene_9210	NA
gene_9209	NA
gene_9213	NA
gene_9220	NA
gene_9219	NA
gene_1114	NA
gene_9224	NA
gene_9228	NA
gene_9229	NA
gene_9231	NA
gene_9234	NA
gene_9233	NA
gene_1119	NA
gene_1118	NA
gene_9241	NA
gene_9242	NA
gene_9252	NA
gene_9254	NA
gene_9253	NA
gene_9255	NA
gene_1124	NA
gene_9257	NA
gene_9258	NA
gene_9262	NA
gene_9266	NA
gene_1131	NA
gene_9268	NA
gene_9267	NA
gene_9270	NA
gene_9272	NA
gene_9274	NA
gene_9278	NA
gene_9280	NA
gene_9282	NA
gene_9284	NA
gene_9288	NA
gene_9289	NA
gene_9291	NA
gene_1137	NA
gene_9295	NA
gene_9296	NA
gene_9299	CE8
gene_9302	NA
gene_9304	NA
gene_9309	NA
gene_9314	NA
gene_9316	NA
gene_9320	GH37
gene_9322	NA
gene_9324	NA
gene_9327	NA
gene_9326	NA
gene_9330	NA
gene_9335	NA
gene_9334	NA
gene_9340	NA
gene_9341	NA
gene_9345	NA
gene_9351	NA
gene_9354	NA
gene_9361	NA
gene_9362	NA
gene_9364	NA
gene_9366	NA
gene_9365	NA
gene_1159	NA
gene_9373	NA
gene_9375	NA
gene_9374	NA
gene_9378	NA
gene_9382	NA
gene_9384	NA
gene_9385	NA
gene_9390	NA
gene_9394	NA
gene_1164	GH13_39
gene_9398	NA
gene_9399	NA
gene_9400	NA
gene_9402	NA
gene_9404	NA
gene_9415	NA
gene_9414	NA
gene_9416	NA
gene_9418	NA
gene_9419	NA
