locus_name	description	CAZYName
gene_8819	ICE2protein	NA
gene_8820	Alpha/Betahydrolasefold	NA
gene_8821	DUF218domain-containingprotein	NA
gene_8824	celldivisioncontrolprotein	NA
gene_8829	expressedprotein	NA
gene_8832	expressedprotein	NA
gene_39	hypotheticalprotein	NA
gene_8839	acetyltransferase	NA
gene_8841	Rasfamily-domaincontainingprotein	GT23
gene_8842	expressedprotein	NA
gene_8843	expressedprotein	NA
gene_8844	expressedprotein	NA
gene_8845	hypotheticalprotein	NA
gene_8846	chitinsynthase	GT2
gene_8849	cytochromeb5-likeHeme/Steroidbindingdomain-containingprotein	NA
gene_8854	hypotheticalprotein	NA
gene_8856	OTUdomain-containingprotein6B	NA
gene_8857	thiopurineS-methyltransferasefamilyprotein	NA
gene_8855	expressedprotein	NA
gene_8853	expressedprotein	NA
gene_8863	hypotheticalprotein	NA
gene_8866	Marveldomain-containingprotein	NA
gene_8867	hypotheticalprotein	NA
gene_1073	expressedprotein	NA
gene_8870	expressedprotein	NA
gene_8869	FADdependentoxidoreductase	NA
gene_8878	expressedprotein	NA
gene_8880	Uncharacterisedproteinfamily(UPF0041)-domaincontainingprotein	NA
gene_8889	hypotheticalprotein	NA
gene_8892	expressedprotein	NA
gene_8895	hypotheticalprotein	NA
gene_8897	glycolateoxidase	GT31
gene_8894	expressedprotein	NA
gene_8893	expressedprotein	NA
gene_8896	RNAdependentRNApolymerase	NA
gene_8901	hypotheticalprotein	NA
gene_8906	SUR7/PalIfamily-domaincontainingprotein	NA
gene_8908	expressedprotein	NA
gene_8909	hypotheticalprotein	NA
gene_8912	hypotheticalprotein	NA
gene_8918	pyridoxal-dependentdecarboxylase	NA
gene_8921	complexIintermediate-associatedprotein	NA
gene_8926	expressedprotein	NA
gene_8927	hypotheticalprotein	NA
gene_8931	Alpha/Betahydrolasefold	NA
gene_8933	CDP-alcoholphosphatidyltransferase	NA
gene_1082	hypotheticalprotein	NA
gene_8938	Proteinofunknownfunction(DUF3455)-domaincontainingprotein	NA
gene_8949	camp-dependentproteinkinasecatalyticsubunit	NA
gene_1080	expressedprotein	NA
gene_8951	caseinkinaseIisoformepsilon	GH16_20
gene_8953	expressedprotein	NA
gene_1083	fungal-specifictranscriptionfactordomain-containingprotein	NA
gene_8956	Rho1guaninenucleotideexchangefactor3	NA
gene_8959	Superoxidedismutase[Cu-Zn]	NA
gene_8961	tudordomain-containingprotein	NA
gene_8963	ser/Thrproteinphosphatasefamily	NA
gene_8966	ribosomalproteinL24E	NA
gene_1081	expressedprotein	NA
gene_8967	expressedprotein	NA
gene_8976	expressedprotein	NA
gene_8972	expressedprotein	NA
gene_8970	expressedprotein	NA
gene_8973	expressedprotein	NA
gene_43	cystathioninebeta-synthase	NA
gene_8986	expressedprotein	NA
gene_8987	adhesinproteinMad1	NA
gene_8988	aspartyl-tRNAsynthetase	NA
gene_8990	kelchrepeat-containingprotein	NA
gene_42	putativeSRPreceptorbetasubunit	NA
gene_8991	expressedprotein	NA
gene_8993	phenoxybenzoatedioxygenasesubunitbeta	NA
gene_1086	expressedprotein	NA
gene_8996	BARdomain-containingprotein	NA
gene_9002	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein	NA
gene_9000	4-carboxymuconolactonedecarboxylasefamilyprotein	NA
gene_9001	expressedprotein	NA
gene_9004	expressedprotein	NA
gene_9008	MADSboxprotein	NA
gene_9009	lowaffinitycoppertransporter	NA
gene_9011	expressedprotein	NA
gene_1092	Actinfamily	NA
gene_9020	expressedprotein	NA
gene_9022	DASHcomplexsubunitHsk3like-domaincontainingprotein	NA
gene_9023	RNAsePRpr2/Rpp21/SNM1subunitdomain-containingprotein	NA
gene_9025	polygalacturonase	GH28
gene_9027	pectinesterasefamilyprotein	CE8
gene_9031	hypotheticalprotein	NA
gene_9033	chitinbiosynthesisproteinCHS5	NA
gene_9036	expressedprotein	NA
gene_9040	expressedprotein	NA
gene_9047	expressedprotein	NA
gene_9057	TranscriptionalCoactivatorp15(PC4)-domaincontainingprotein	NA
gene_9058	expressedprotein	NA
gene_9065	hypotheticalprotein	NA
gene_9067	Rho1guaninenucleotideexchangefactor1	GT31
gene_9070	hypotheticalprotein	NA
gene_9073	hypotheticalprotein	NA
gene_9074	hypotheticalprotein	NA
gene_1093	Beta-lactamase/transpeptidase-likeprotein	NA
gene_1094	Domainofunknownfunction(DUF4267)-domaincontainingprotein	NA
gene_9078	typeIphosphodiesterase/nucleotidepyrophosphatase	NA
gene_9083	expressedprotein	NA
gene_9086	phosphatidylinositol-specificphospholipaseC	NA
gene_9087	Nucleosidephosphorylasedomain-containingprotein	NA
gene_9092	hypotheticalprotein	NA
gene_9096	expressedprotein	NA
gene_9097	hypotheticalprotein	NA
gene_9100	parasiticphase-specificproteinPSP-1	NA
gene_9113	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein	NA
gene_1097	Ankyrinrepeat-containingdomainprotein	NA
gene_9116	expressedprotein	NA
gene_9118	majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_9119	glucokinase	NA
gene_9123	signalpeptidepeptidasefamilyprotein	NA
gene_9127	dienelactonehydrolasefamilyprotein	GT31
gene_9126	phosphopantetheinyltransferase	NA
gene_9129	expressedprotein	NA
gene_9131	isovaleryl-CoAdehydrogenase	NA
gene_9134	shortchaindehydrogenase	NA
gene_9133	expressedprotein	NA
gene_9128	expressedprotein	NA
gene_1104	expressedprotein	NA
gene_9135	hypotheticalprotein	NA
gene_1105	L-galactosedehydrogenase	NA
gene_9137	GroES(chaperonin10)-likeprotein	NA
gene_9139	hypotheticalprotein	NA
gene_9140	PHD-fingerdomain-containingprotein	NA
gene_9145	expressedprotein	NA
gene_1106	C2H2zincfingerprotein	NA
gene_9146	hypotheticalprotein	NA
gene_9149	expressedprotein	NA
gene_9153	terpenesynthase	NA
gene_9154	expressedprotein	NA
gene_9155	putativecryptochrome	NA
gene_9157	exosomecomplexexonucleaseRRP40	NA
gene_9161	RibonucleasesP/MRPproteinsubunitPOP1-domaincontainingprotein	NA
gene_9163	2-methylcitratedehydratase	NA
gene_9168	IBRdomain-containingprotein	NA
gene_9175	YIF1-domaincontainingprotein	NA
gene_9183	expressedprotein	NA
gene_9185	expressedprotein	NA
gene_9187	expressedprotein	NA
gene_9191	hypotheticalprotein	CBM1
gene_9193	expressedprotein	NA
gene_9194	hypotheticalprotein	NA
gene_9199	expressedprotein	NA
gene_1108	expressedprotein	NA
gene_9201	PeptidaseS8/S53domain-containingprotein	NA
gene_1110	hypotheticalprotein	NA
gene_9203	HDdomain-containingprotein	NA
gene_9202	hypotheticalprotein	NA
gene_9210	Aft1HRAdomain-domaincontainingprotein	NA
gene_9209	expressedprotein	NA
gene_9213	hypotheticalprotein	NA
