locus_name	CAZYName
gene_8819	ICE2protein
gene_8820	Alpha/Betahydrolasefold
gene_8821	DUF218domain-containingprotein
gene_8824	celldivisioncontrolprotein
gene_8829	expressedprotein
gene_8832	expressedprotein
gene_39	hypotheticalprotein
gene_8839	acetyltransferase
gene_8841	Rasfamily-domaincontainingprotein
gene_8842	expressedprotein
gene_8843	expressedprotein
gene_8844	expressedprotein
gene_8845	hypotheticalprotein
gene_8846	chitinsynthase
gene_8849	cytochromeb5-likeHeme/Steroidbindingdomain-containingprotein
gene_8854	hypotheticalprotein
gene_8856	OTUdomain-containingprotein6B
gene_8857	thiopurineS-methyltransferasefamilyprotein
gene_8855	expressedprotein
gene_8853	expressedprotein
gene_8863	hypotheticalprotein
gene_8866	Marveldomain-containingprotein
gene_8867	hypotheticalprotein
gene_1073	expressedprotein
gene_8870	expressedprotein
gene_8869	FADdependentoxidoreductase
gene_8878	expressedprotein
gene_8880	Uncharacterisedproteinfamily(UPF0041)-domaincontainingprotein
gene_8889	hypotheticalprotein
gene_8892	expressedprotein
gene_8895	hypotheticalprotein
gene_8897	glycolateoxidase
gene_8894	expressedprotein
gene_8893	expressedprotein
gene_8896	RNAdependentRNApolymerase
gene_8901	hypotheticalprotein
gene_8906	SUR7/PalIfamily-domaincontainingprotein
gene_8908	expressedprotein
gene_8909	hypotheticalprotein
gene_8912	hypotheticalprotein
gene_8918	pyridoxal-dependentdecarboxylase
gene_8921	complexIintermediate-associatedprotein
gene_8926	expressedprotein
gene_8927	hypotheticalprotein
gene_8931	Alpha/Betahydrolasefold
gene_8933	CDP-alcoholphosphatidyltransferase
gene_1082	hypotheticalprotein
gene_8938	Proteinofunknownfunction(DUF3455)-domaincontainingprotein
gene_8949	camp-dependentproteinkinasecatalyticsubunit
gene_1080	expressedprotein
gene_8951	caseinkinaseIisoformepsilon
gene_8953	expressedprotein
gene_1083	fungal-specifictranscriptionfactordomain-containingprotein
gene_8956	Rho1guaninenucleotideexchangefactor3
gene_8959	Superoxidedismutase[Cu-Zn]
gene_8961	tudordomain-containingprotein
gene_8963	ser/Thrproteinphosphatasefamily
gene_8966	ribosomalproteinL24E
gene_1081	expressedprotein
gene_8967	expressedprotein
gene_8976	expressedprotein
gene_8972	expressedprotein
gene_8970	expressedprotein
gene_8973	expressedprotein
gene_43	cystathioninebeta-synthase
gene_8986	expressedprotein
gene_8987	adhesinproteinMad1
gene_8988	aspartyl-tRNAsynthetase
gene_8990	kelchrepeat-containingprotein
gene_42	putativeSRPreceptorbetasubunit
gene_8991	expressedprotein
gene_8993	phenoxybenzoatedioxygenasesubunitbeta
gene_1086	expressedprotein
gene_8996	BARdomain-containingprotein
gene_9002	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein
gene_9000	4-carboxymuconolactonedecarboxylasefamilyprotein
gene_9001	expressedprotein
gene_9004	expressedprotein
gene_9008	MADSboxprotein
gene_9009	lowaffinitycoppertransporter
gene_9011	expressedprotein
gene_1092	Actinfamily
gene_9020	expressedprotein
gene_9022	DASHcomplexsubunitHsk3like-domaincontainingprotein
gene_9023	RNAsePRpr2/Rpp21/SNM1subunitdomain-containingprotein
gene_9025	polygalacturonase
gene_9027	pectinesterasefamilyprotein
gene_9031	hypotheticalprotein
gene_9033	chitinbiosynthesisproteinCHS5
gene_9036	expressedprotein
gene_9040	expressedprotein
gene_9047	expressedprotein
